season,episode,title,rating,votes,episode_year
1,1,Episode 1,7.6,6673,2020
1,2,Episode 2,8,6203,2020
1,3,Episode 3,8.4,7409,2020
1,4,Episode 4,7.3,5486,2020
1,5,Episode 5,6.9,5368,2020
1,6,Episode 6,7.4,5108,2020
1,7,Episode 7,7.7,5254,2020
1,8,Episode 8,7.8,5553,2020
2,1,Episode 1,7.3,4980,2022
2,2,Episode 2,8,5194,2022
2,3,Episode 3,8.7,6195,2022
2,4,Episode 4,8.1,4938,2022
2,5,Episode 5,7.3,4439,2022
2,6,Episode 6,8,4845,2022
2,7,Episode 7,7.9,5552,2022
2,8,Episode 8,8.2,6262,2022
3,1,Episode 1,7.1,4116,2025
3,2,Episode 2,7.6,3446,2025
3,3,Episode 3,7.8,3386,2025
3,4,Episode 4,7.9,3428,2025
3,5,Episode 5,6.8,3547,2025
3,6,Episode 6,7,3928,2025
