season,episode,title,rating,votes,episode_year
1,1,The Gang Gets Racist,8.1,6605,2005
1,2,Charlie Wants an Abortion,8.1,5850,2005
1,3,Underage Drinking: A National Concern,8.2,5671,2005
1,4,Charlie Has Cancer,8,5274,2005
1,5,Gun Fever,7.8,5008,2005
1,6,The Gang Finds a Dead Guy,8,4905,2005
1,7,Charlie Got Molested,8.4,5229,2005
2,1,Charlie Gets Crippled,8.4,5149,2006
2,2,The Gang Goes Jihad,8.5,5214,2006
2,3,Dennis and Dee Go on Welfare,9,6045,2006
2,4,Mac Bangs Dennis' Mom,9.2,6467,2006
2,5,Hundred Dollar Baby,8.6,5227,2006
2,6,The Gang Gives Back,8.3,4611,2006
2,7,The Gang Exploits a Miracle,7.9,4333,2006
2,8,The Gang Runs for Office,7.9,4261,2006
2,9,Charlie Goes America All Over Everybody's Ass,8.2,4343,2006
2,10,Dennis and Dee Get a New Dad,8.5,4428,2006
3,1,The Gang Finds a Dumpster Baby,8.5,4707,2007
3,2,The Gang Gets Invincible,8.6,4788,2007
3,3,Dennis and Dee's Mom Is Dead,8.2,4146,2007
3,4,The Gang Gets Held Hostage,8.9,5100,2007
3,5,The Aluminum Monster vs. Fatty Magoo,7.9,4116,2007
3,6,The Gang Solves the North Korea Situation,8.3,4178,2007
3,7,The Gang Sells Out,8.1,3868,2007
3,8,Frank Sets Sweet Dee on Fire,8.4,4160,2007
3,9,Sweet Dee's Dating a Retarded Person,9.2,6147,2007
3,10,Mac Is a Serial Killer,9,5009,2007
3,11,Dennis Looks Like a Registered Sex Offender,8.4,3946,2007
3,12,The Gang Gets Whacked: Part 1,8,3723,2007
3,13,The Gang Gets Whacked: Part 2,8.3,3752,2007
3,14,Bums: Making a Mess All Over the City,8.5,3995,2007
3,15,The Gang Dances Their Asses Off,8.9,4709,2007
4,1,Mac and Dennis: Manhunters,8.4,4052,2008
4,2,The Gang Solves the Gas Crisis,9.1,5389,2008
4,3,America's Next Top Paddy's Billboard Model Contest,8.3,3351,2008
4,4,Mac's Banging the Waitress,8.5,3895,2008
4,5,Mac & Charlie Die: Part 1,9,4465,2008
4,6,Mac & Charlie Die: Part 2,8.5,3907,2008
4,7,Who Pooped the Bed?,8.3,4333,2008
4,8,Paddy's Pub: The Worst Bar in Philadelphia,8.5,3848,2008
4,9,Dennis Reynolds: An Erotic Life,8.1,3797,2008
4,10,Sweet Dee Has a Heart Attack,9,4952,2008
4,11,The Gang Cracks the Liberty Bell,7.6,4008,2008
4,12,The Gang Gets Extreme: Home Makeover Edition,8.3,3869,2008
4,13,The Nightman Cometh,9.6,11143,2008
5,1,The Gang Exploits the Mortgage Crisis,8.3,3783,2009
5,2,The Gang Hits the Road,9.1,4841,2009
5,3,The Great Recession,8,3470,2009
5,4,The Gang Gives Frank an Intervention,8.7,4185,2009
5,5,The Waitress Is Getting Married,8.8,4088,2009
5,6,The World Series Defense,8.3,3496,2009
5,7,The Gang Wrestles for the Troops,8.5,3823,2009
5,8,Paddy's Pub: Home of the Original Kitten Mittens,8.9,4224,2009
5,9,Mac and Dennis Break Up,8.5,3690,2009
5,10,The D.E.N.N.I.S. System,9.3,5703,2009
5,11,Mac and Charlie Write a Movie,8,3374,2009
5,12,The Gang Reignites the Rivalry,8.5,3536,2009
6,1,Mac Fights Gay Marriage,7.9,3471,2010
6,2,Dennis Gets Divorced,7.6,3277,2010
6,3,The Gang Buys a Boat,8.9,4333,2010
6,4,Mac's Big Break,8.1,3353,2010
6,5,Mac and Charlie: White Trash,8.2,3415,2010
6,6,Mac's Mom Burns Her House Down,7.6,3169,2010
