season,episode,title,rating,votes,episode_year
1,1,Mole Hunt,7.7,3237,2009
1,2,Training Day,7.5,2672,2010
1,3,Diversity Hire,8.1,2616,2010
1,4,Killing Utne,7.5,2383,2010
1,5,Honeypot,7.9,2428,2010
1,6,Skorpio,8.1,2303,2010
1,7,Skytanic,8.6,2603,2010
1,8,The Rock,7.6,2106,2010
1,9,Job Offer,8,2137,2010
1,10,Dial M for Mother,7.9,2149,2010
2,1,Swiss Miss,8.5,2273,2011
2,2,A Going Concern,7.7,2008,2011
2,3,Blood Test,7.8,2024,2011
2,4,Pipeline Fever,8.2,2119,2011
2,5,The Double Deuce,8,2024,2011
2,6,Tragical History,7.7,1951,2011
2,7,Movie Star,7.7,1960,2011
2,8,Stage Two,8.5,2121,2011
2,9,Placebo Effect,8.9,2678,2011
2,10,El Secuestro,8.6,2088,2011
2,11,Jeu Monegasque,8,1939,2011
2,12,White Nights,8.1,1910,2011
2,13,Double Trouble,8.3,1913,2011
3,1,Heart of Archness: Part I,8.5,2066,2011
3,2,Heart of Archness: Part II,8.1,1913,2011
3,3,Heart of Archness: Part III,8.1,1889,2011
3,4,The Man from Jupiter,8.4,2005,2012
3,5,El Contador,8,1868,2012
3,6,The Limited,8.4,2014,2012
3,7,Drift Problem,7.7,1807,2012
3,8,Lo Scandalo,8.6,2100,2012
3,9,Bloody Ferlin,7.9,1862,2012
3,10,Crossing Over,8,1773,2012
3,11,Skin Game,7.7,1736,2012
3,12,Space Race: Part I,8.3,1826,2012
3,13,Space Race: Part II,8.3,1823,2012
4,1,Fugue and Riffs,8.3,1984,2013
4,2,The Wind Cries Mary,8.2,1861,2013
4,3,Legs,8,1769,2013
4,4,Midnight Ron,7.6,1697,2013
4,5,Viscous Coupling,7.5,1644,2013
4,6,Once Bitten,7.5,1696,2013
4,7,Live and Let Dine,7.8,1755,2013
4,8,Coyote Lovely,7.6,1679,2013
4,9,The Honeymooners,8,1683,2013
4,10,Un Chien Tangerine,7.8,1631,2013
4,11,The Papal Chase,7.8,1652,2013
4,12,Sea Tunt: Part 1,7.7,1625,2013
4,13,Sea Tunt: Part 2,8,1647,2013
5,1,Archer Vice: White Elephant,8.5,1914,2014
5,2,Archer Vice: A Kiss While Dying,7.7,1607,2014
5,3,Archer Vice: A Debt of Honor,7.7,1577,2014
5,4,Archer Vice: House Call,8.1,1592,2014
5,5,Archer Vice: Southbound and Down,7.7,1588,2014
5,6,Archer Vice: Baby Shower,7.7,1546,2014
5,7,Archer Vice: Smugglers' Blues,7.7,1491,2014
5,8,Archer Vice: The Rules of Extraction,8.2,1551,2014
5,9,Archer Vice: On the Carpet,8,1483,2014
5,10,Archer Vice: Palace Intrigue - Part I,8,1481,2014
5,11,Archer Vice: Palace Intrigue: Part II,7.9,1468,2014
5,12,Archer Vice: Filibuster,8,1468,2014
5,13,Archer Vice: Arrival/Departure,8.6,1662,2014
6,1,The Holdout,8.1,1585,2015
6,2,Three to Tango,7.9,1492,2015
6,3,The Archer Sanction,8.2,1546,2015
6,4,Edie's Wedding,8,1513,2015
6,5,Vision Quest,8.7,1767,2015
6,6,Sitting,7.9,1463,2015
6,7,Nellis,7.6,1423,2015
6,8,The Kanes,8.8,1833,2015
6,9,Pocket Listing,8.5,1533,2015
6,10,Reignition Sequence,8.1,1401,2015
6,11,Achub y Morfilod,7.9,1425,2015
6,12,Drastic Voyage: Part 1,7.9,1407,2015
6,13,Drastic Voyage: Part 2,8.4,1444,2015
7,1,The Figgis Agency,7.9,1534,2016
7,2,The Handoff,8,1401,2016
7,3,Deadly Prep,8.4,1432,2016
7,4,Motherless Child,8,1368,2016
7,5,Bel Panto: Part I,8.1,1370,2016
7,6,Bel Panto: Part II,8.3,1403,2016
7,7,Double Indecency,8.4,1433,2016
7,8,Liquid Lunch,7.6,1271,2016
7,9,Deadly Velvet: Part 1,8.1,1320,2016
7,10,Deadly Velvet: Part 2,8.8,1625,2016
8,1,Archer Dreamland: No Good Deed,7.7,1457,2017
8,2,Archer Dreamland: Berenice,7.6,1265,2017
8,3,Archer Dreamland: Jane Doe,7.5,1215,2017
8,4,Archer Dreamland: Ladyfingers,7.5,1198,2017
8,5,Archer Dreamland: Sleepers Wake,7.2,1156,2017
8,6,Archer Dreamland: Waxing Gibbous,7.7,1193,2017
