season,episode,title,rating,votes,episode_year
1,1,"To You, in 2000 Years: The Fall of Shiganshina, Part 1",9.2,57366,2013
1,2,"That Day: The Fall of Shiganshina, Part 2",8.5,41780,2013
1,3,"A Dim Light Amid Despair: Humanity's Comeback, Part 1",8.1,40073,2013
1,4,"The Night of the Closing Ceremony: Humanity's Comeback, Part 2",8.6,37984,2013
1,5,"First Battle: The Struggle for Trost, Part 1",9.3,40535,2013
1,6,"The World the Girl Saw: The Struggle for Trost, Part 2",8.9,38053,2013
1,7,"Small Blade: The Struggle for Trost, Part 3",8.9,37124,2013
1,8,"I Can Hear His Heartbeat: The Struggle for Trost, Part 4",9.2,37277,2013
1,9,"Whereabouts of His Left Arm: The Struggle for Trost, Part 5",8.8,34940,2013
1,10,"Response: The Struggle for Trost, Part 6",8.3,34220,2013
1,11,"Idol: The Struggle for Trost, Part 7",8.3,33628,2013
1,12,"Wound: The Struggle for Trost, Part 8",8.3,33240,2013
1,13,"Primal Desire: The Struggle for Trost, Part 9",9,34746,2013
1,14,"Can't Look Into His Eyes Yet: Eve of The Counterattack, Part 1",8.5,33025,2013
1,15,"Special Operations Squad: Eve of the Counterattack, Part 2",8.1,34179,2013
1,16,"What Needs to Be Done Now: Eve of the Counterattack, Part 3",8.2,32643,2013
1,17,"Female Titan: The 57th Expedition Beyond the Walls, Part 1",9.1,34936,2013
1,18,"Forest of Giant Trees: The 57th Expedition Beyond the Walls, Part 2",8.9,32957,2013
1,19,"Bite: The 57th Exterior Scouting Mission, Part 3",8.9,33335,2013
1,20,"Erwin Smith: The 57th Expedition Beyond the Walls, Part 4",9.1,34002,2013
1,21,"Crushing Blow: The 57th Exterior Scouting Mission, Part 5",9.6,43167,2013
1,22,"The Defeated: The 57th Expedition Beyond the Walls, Part 6",9.1,34312,2013
1,23,"Smile: Raid on Stohess District, Part 1",9,34421,2013
1,24,"Mercy: Raid on Stohess District, Part 2",9.2,34158,2013
1,25,"Wall: Raid on Stohess District, Part 3",9.4,38682,2013
2,1,Beast Titan,9.2,35738,2017
2,2,I'm Home,8.5,31070,2017
2,3,Southwestward,8.6,30656,2017
2,4,Soldier,9.1,32713,2017
2,5,Historia,9.1,33143,2017
2,6,Warrior,9.8,75819,2017
2,7,Close Combat,9.6,41339,2017
2,8,The Hunters,8.4,30507,2017
2,9,Opening,8.6,30522,2017
2,10,Children,9,32829,2017
2,11,Charge,9.6,39160,2017
2,12,Scream,9.7,56005,2017
3,1,Smoke Signal,8.8,34504,2018
3,2,Pain,9.2,36932,2018
3,3,Old Story,8.7,31542,2018
3,4,Trust,8.5,31528,2018
3,5,Reply,9,33049,2018
3,6,Sin,9.2,34764,2018
3,7,Wish,9.5,39458,2018
3,8,Outside the Walls of Orvud District,8.9,32299,2018
3,9,Ruler of the Walls,9.3,33959,2018
3,10,Friends,9.2,33623,2018
3,11,Bystander,9.1,33925,2018
3,12,Night of the Battle to Retake the Wall,8.9,33892,2018
3,13,The Town Where Everything Began,9.6,45344,2019
3,14,Thunder Spears,9.6,43829,2019
3,15,Descent,9.6,45323,2019
3,16,Perfect Game,9.8,123836,2019
3,17,Hero,9.8,170506,2019
3,18,Midnight Sun,9.8,98914,2019
3,19,The Basement,9.2,41096,2019
3,20,That Day,9.8,78611,2019
3,21,Attack Titan,9.6,52222,2019
3,22,The Other Side of the Wall,9.5,46085,2019
4,1,The Other Side of the Sea,9.2,55759,2020
4,2,Midnight Train,8.6,49557,2020
4,3,The Door of Hope,9.2,50653,2020
4,4,From One Hand to Another,8.9,49889,2020
4,5,Declaration of War,9.8,107218,2021
4,6,The War Hammer Titan,9.8,107282,2021
4,7,Assault,9.8,133907,2021
4,8,Assassin's Bullet,9.5,58446,2021
4,9,Brave Volunteers,8.9,46818,2021
4,10,A Sound Argument,8.5,42794,2021
4,11,Deceiver,8.8,41256,2021
4,12,Guides,8.9,42303,2021
4,13,Children of the Forest,9.5,52760,2021
4,14,Savagery,9.7,58492,2021
4,15,Sole Salvation,9.5,49283,2021
4,16,Above and Below,9.4,48588,2021
4,17,Judgment,9.1,57955,2022
4,18,Sneak Attack,9.3,53038,2022
4,19,Two Brothers,9.7,99891,2022
4,20,Memories of the Future,9.8,108834,2022
4,21,"From You, 2000 Years Ago",9.8,106186,2022
4,22,Thaw,9,41375,2022
4,23,Sunset,8.5,34257,2022
4,24,Pride,8.5,34654,2022
4,25,Night of the End,8.6,34552,2022
4,26,Traitor,9.2,37711,2022
4,27,Retrospective,9.5,44135,2022
4,28,The Dawn of Humanity,9.6,55944,2022
4,29,The Final Chapters: Special 1,9.5,72605,2023
4,30,The Final Chapters: Special 2,9,93509,2023
