season,episode,title,rating,votes,episode_year
1,1,Chapter One: Make Your Mark,8.1,7767,2018
1,2,Chapter Two: Use It,7.6,6586,2018
1,3,Chapter Three: Make the Unsafe Choice,7.8,6165,2018
1,4,Chapter Four: Commit... to YOU,7.6,5895,2018
1,5,Chapter Five: Do Your Job,8.2,5931,2018
1,6,"Chapter Six: Listen with Your Ears, React with Your Face",8.3,5977,2018
1,7,"Chapter Seven: Loud, Fast, and Keep Going",9.3,8164,2018
1,8,Chapter Eight: Know Your Truth,8.9,6899,2018
2,1,"The Show Must Go On, Probably?",8.2,5698,2019
2,2,The Power of No,7.8,5379,2019
2,3,Past = Present x Future Over Yesterday,8.4,5532,2019
2,4,What?!,9.1,6570,2019
2,5,ronny/lily,9.7,18092,2019
2,6,The Truth Has a Ring to It,8.4,5293,2019
2,7,The Audition,9,5943,2019
2,8,berkman > block,9.3,7286,2019
3,1,forgiving jeff,8.4,5600,2022
3,2,limonada,8.6,5406,2022
3,3,ben mendelsohn,7.7,4771,2022
3,4,all the sauces,8.6,5052,2022
3,5,crazytimesh*tshow,8.4,4864,2022
3,6,710N,9.4,7123,2022
3,7,candy asses,8.6,4980,2022
3,8,starting now,9.5,8085,2022
4,1,yikes,8.2,5143,2023
4,2,bestest place on the earth,8.3,4948,2023
4,3,you're charming,9,5739,2023
4,4,it takes a psycho,9.1,6225,2023
4,5,tricky legacies,7.4,5737,2023
4,6,the wizard,8.2,4934,2023
4,7,a nice meal,8.6,5014,2023
4,8,wow,8.8,8620,2023
