season,episode,title,rating,votes
1,1,The Cat and the Claw: Part 1,7.7,4472
1,2,On Leather Wings,7.6,5243
1,3,Heart of Ice,9,5376
1,4,Feat of Clay: Part 1,8.3,3911
1,5,Feat of Clay: Part 2,8.6,3919
1,6,It's Never Too Late,7.6,3645
1,7,Joker's Favor,8.5,3884
1,8,The Cat and the Claw: Part 2,7.6,3543
1,9,Pretty Poison,7.9,3880
1,10,Nothing to Fear,8,4132
1,11,Be a Clown,7.5,3434
1,12,Appointment in Crime Alley,7.6,3025
1,13,P.O.V.,7.5,3454
1,14,The Clock King,7.6,2975
1,15,The Last Laugh,7.7,3608
1,16,Eternal Youth,7.3,2762
1,17,Two-Face: Part 1,9.1,4571
1,18,Two-Face: Part 2,9,4298
1,19,Fear of Victory,7.6,2792
1,20,I've Got Batman in My Basement,6.5,3067
1,21,Vendetta,7.5,2734
1,22,Prophecy of Doom,6.7,2685
1,23,The Forgotten,7.2,3092
1,24,Mad as a Hatter,8,2871
1,25,The Cape and Cowl Conspiracy,7.5,2611
1,26,Perchance to Dream,9,3391
1,27,The Underdwellers,6.7,3050
1,28,Night of the Ninja,7.5,2489
1,29,The Strange Secret of Bruce Wayne,8.2,2621
1,30,Tyger Tyger,7,2414
1,31,Dreams in Darkness,8.3,2698
1,32,Beware the Gray Ghost,8.9,3548
1,33,Cat Scratch Fever,7.2,2360
1,34,I Am the Night,8.6,2693
1,35,Almost Got 'im,9.2,3691
1,36,Moon of the Wolf,6.7,2280
1,37,Terror in the Sky,7.3,2267
1,38,Christmas with the Joker,7.9,3873
1,39,Heart of Steel: Part 1,7.8,2362
1,40,Heart of Steel: Part 2,7.9,2354
1,41,"If You're So Smart, Why Aren't You Rich?",8.3,2577
1,42,Joker's Wild,8.2,2457
1,43,His Silicon Soul,8.2,2273
1,44,Off Balance,7.6,2195
1,45,What Is Reality?,7.7,2275
1,46,The Laughing Fish,8.5,2617
1,47,Harley and Ivy,8.6,2531
1,48,The Mechanic,7.5,2122
1,49,The Man Who Killed Batman,8.8,2677
1,50,Zatanna,7.8,2237
1,51,Robin's Reckoning: Part I,8.7,2646
1,52,Birds of a Feather,7.7,2139
1,53,Robin's Reckoning: Part II,8.6,2521
1,54,Blind as a Bat,7.3,2002
1,55,Day of the Samurai,7.8,2152
1,56,See No Evil,7.7,2389
1,57,The Demon's Quest: Part I,8.3,2206
1,58,The Demon's Quest: Part II,8.3,2174
1,59,Read My Lips,8.4,2199
1,60,Fire from Olympus,6.9,2027
2,1,Shadow of the Bat: Part 1,8.3,2218
2,2,Shadow of the Bat: Part 2,8.3,2170
2,3,Mudslide,8.1,2169
2,4,The Worry Men,7.2,1955
2,5,Paging the Crime Doctor,7.5,2005
2,6,House & Garden,8.3,2049
2,7,Sideshow,7.8,1957
2,8,Avatar,7.5,1893
2,9,Trial,9.1,2572
2,10,Harlequinade,8.6,2168
3,1,Bane,8.1,2083
3,2,Second Chance,8.5,2202
3,3,Riddler's Reform,8,1952
3,4,Baby-Doll,7.8,2083
3,5,Time Out of Joint,7.4,1825
3,6,Harley's Holiday,8.6,2115
3,7,Make 'Em Laugh,7.5,1836
3,8,Batgirl Returns,7.6,1823
3,9,Lock-Up,7.5,1838
3,10,Deep Freeze,8.2,1953
4,1,The Terrible Trio,6.7,1837
4,2,Showdown,7.5,1875
4,3,Catwalk,7.7,1826
4,4,A Bullet for Bullock,8.1,1971
4,5,The Lion and the Unicorn,7.2,1743
