season,episode,title,rating,votes
1,1,In Treacherous Waters,7,2773
1,2,...And Be a Villain,7.7,2389
1,3,Kiss of the Catwoman,7.6,2228
1,4,The Night of the Hunters,7.8,2086
1,5,The Stress of Her Regard,7.3,2105
1,6,Night Ride,7,1946
1,7,Moving Target,7.5,1862
1,8,Nocturne,7.4,1818
1,9,The Killer Inside Me,8.3,1797
1,10,Savage Night,8.4,1845
2,1,Brute Force,7.4,706
2,2,Rocket's Red Glare,7.2,619
2,3,Deep Cover,8.1,595
2,4,The Devil's Due,7.4,518
2,5,The Spectral Hand,7.7,506
2,6,Sudden Fear,7.9,500
2,7,Her Dark Reflection,8,472
2,8,Zero Hour,7.4,442
2,9,Dead Before Dawn,8.6,453
2,10,The Laughing Death,8.4,456
