season,episode,title,rating,votes
1,1,Uno,8.4,34804
1,2,Mijo,8.9,32911
1,3,Nacho,8.6,28591
1,4,Hero,8.3,26716
1,5,Alpine Shepherd Boy,8,26515
1,6,Five-O,9.4,37255
1,7,Bingo,8.6,24912
1,8,RICO,8.6,24373
1,9,Pimento,9.4,30866
1,10,Marco,8.6,25739
2,1,Switch,8.2,22595
2,2,Cobbler,8.4,21474
2,3,Amarillo,8.2,20902
2,4,Gloves Off,8.9,22326
2,5,Rebecca,8,22145
2,6,Bali Ha'i,8.4,20448
2,7,Inflatable,8.3,20171
2,8,Fifi,8.3,19931
2,9,Nailed,9.3,23371
2,10,Klick,9,21701
3,1,Mabel,8.1,21094
3,2,Witness,9,21521
3,3,Sunk Costs,8.4,19934
3,4,Sabrosito,8.9,21170
3,5,Chicanery,9.7,43034
3,6,Off Brand,8.4,19618
3,7,Expenses,8.2,19293
3,8,Slip,8.5,19395
3,9,Fall,8.8,19073
3,10,Lantern,9.2,23843
4,1,Smoke,8.2,20150
4,2,Breathe,8.8,19497
4,3,Something Beautiful,8.4,18962
4,4,Talk,8.2,19000
4,5,Quite a Ride,8.4,19154
4,6,Piñata,8.5,18878
4,7,Something Stupid,8.3,18805
4,8,Coushatta,8.8,19368
4,9,Wiedersehen,9.1,20065
4,10,Winner,9.6,30139
5,1,Magic Man,8.7,21974
5,2,50% Off,8.7,21134
5,3,The Guy for This,9,21404
5,4,Namaste,8.5,20233
5,5,Dedicado a Max,8.5,20440
5,6,Wexler v. Goodman,9.3,24552
5,7,JMM,9.1,22704
5,8,Bagman,9.7,39572
5,9,Bad Choice Road,9.7,37700
5,10,Something Unforgivable,9.4,29290
6,1,Wine and Roses,8.8,29073
6,2,Carrot and Stick,9.1,29273
6,3,Rock and Hard Place,9.7,49360
6,4,Hit and Run,8.6,26312
6,5,Black and Blue,8.1,25736
6,6,Axe and Grind,8.2,25130
6,7,Plan and Execution,9.9,87104
6,8,Point and Shoot,9.8,57156
6,9,Fun and Games,9.4,36458
6,10,Nippy,8.5,34298
6,11,Breaking Bad,9,36063
6,12,Waterworks,9.4,38900
6,13,Saul Gone,9.8,79749
