season,episode,title,rating,votes
1,1,Magic Xylophone,7.7,1144
1,2,Hospital,7.8,957
1,3,Keepy Uppy,8.2,939
1,4,Daddy Robot,7.9,852
1,5,Shadowlands,8.3,913
1,6,The Weekend,8.1,812
1,7,BBQ,8.2,831
1,8,Fruitbat,8,819
1,9,Horsey Ride,7.4,718
1,10,Hotel,7.6,702
1,11,Bike,9.1,1016
1,12,Bob Bilby,8.2,722
1,13,Spy Game,7.4,656
1,14,Takeaway,8.8,915
1,15,Butterflies,7.9,662
1,16,Yoga Ball,8.2,679
1,17,Calypso,7.8,685
1,18,The Doctor,7.9,610
1,19,The Claw,8.4,660
1,20,Markets,7.9,618
1,21,Blue Mountains,7.5,620
1,22,The Pool,8.7,759
1,23,Shops,7.4,591
1,24,Wagon Ride,8.3,605
1,25,Taxi,8.2,596
1,26,The Beach,8.7,736
1,27,Pirates,8,571
1,28,Grannies,8.6,783
1,29,The Creek,8.9,803
1,30,Fairies,7.9,599
1,31,Work,7.6,526
1,32,Bumpy and the Wise Old Wolfhound,9.2,844
1,33,Trampoline,7.8,527
1,34,The Dump,8.4,565
1,35,Zoo,7.8,520
1,36,Backpackers,7.7,512
1,37,The Adventure,7.5,488
1,38,Copycat,8.7,647
1,39,The Sleepover,8.5,617
1,40,Early Baby,7.8,528
1,41,Mums and Dads,7.5,501
1,42,Hide and Seek,7.7,485
1,43,Camping,9.6,1838
1,44,Mount Mumandad,7.9,504
1,45,Kids,7.8,494
1,46,Chickenrat,7.4,494
1,47,Neighbours,7.7,475
1,48,Teasing,8.3,528
1,49,Asparagus,8,527
1,50,Shaun,7.6,475
1,51,Daddy Putdown,8.2,434
1,52,Verandah Santa,8.3,460
2,1,Dance Mode,8.9,818
2,2,Hammerbarn,8.6,647
2,3,Featherwand,8.1,523
2,4,Squash,8.3,556
2,5,Hairdressers,7.7,488
2,6,Stumpfest,8.4,589
2,7,Favourite Thing,8,491
2,8,Daddy Dropoff,8.6,593
2,9,Bingo,9.1,946
2,10,Rug Island,8.8,714
2,11,Charades,7.5,500
2,12,Sticky Gecko,8.2,533
2,13,Dad Baby,8.7,537
2,14,Mum School,7.9,465
2,15,Trains,7.7,449
2,16,Army,8.7,701
2,17,Fancy Restaurant,8.3,497
2,18,Piggyback,8,451
2,19,The Show,9,693
2,20,Tickle Crabs,7.4,455
2,21,Escape,8.8,610
2,22,Bus,8.3,510
2,23,Queens,7.5,436
2,24,Flat Pack,9.2,949
2,25,Helicopter,7.5,447
2,26,Sleepytime,9.7,10589
2,27,Grandad,9.2,810
2,28,Seesaw,8.5,521
2,29,Movies,8,530
2,30,Library,7.6,469
2,31,Barky Boats,8.3,515
2,32,Burger Shop,7.6,423
2,33,Circus,7.2,457
2,34,Swim School,7.7,472
2,35,Cafe,8.9,608
2,36,Postman,8,434
2,37,The Quiet Game,8.8,583
2,38,Mr Monkeyjocks,8.2,470
2,39,Double Babysitter,8.8,645
2,40,Bad Mood,7.7,455
2,41,Octopus,8.3,498
2,42,Bin Night,8.7,583
2,43,Muffin Cone,8.4,505
2,44,Duck Cake,8.8,558
2,45,Handstand,8.9,565
2,46,Road Trip,8.2,458
2,47,Ice Cream,8.1,494
2,48,Dunny,7.7,448
2,49,Typewriter,7.4,430
2,50,Baby Race,9.5,2490
2,51,Christmas Swim,8.6,480
2,52,Easter,8.6,439
3,1,Perfect,8.7,574
3,2,Bedroom,9.1,689
3,3,Obstacle Course,8.3,548
3,4,Promises,8.3,491
3,5,Omelette,8.4,551
3,6,Born Yesterday,8.4,549
3,7,Mini Bluey,8.8,669
3,8,Unicorse,8.5,654
3,9,Curry Quest,9,642
3,10,Magic,7.5,505
3,11,Chest,8.4,525
3,12,Sheep Dog,8.2,482
3,13,Housework,8.2,477
3,14,Pass The Parcel,9.1,783
3,15,Explorers,8.3,464
3,16,Phones,8.1,445
3,17,Pavlova,8.5,530
3,18,Rain,9.5,1329
3,19,Pizza Girls,8.2,474
3,20,Driving,7.8,418
3,21,Tina,7.1,491
3,22,Whale Watching,8.3,483
3,23,Family Meeting,8,465
3,24,Faceytalk,9,746
3,25,Ragdoll,8.3,463
3,26,Fairytale,9.4,1010
3,27,Musical Statues,8,460
3,28,Stories,7.8,471
3,29,Puppets,8.4,510
3,30,Turtleboy,9.1,670
3,31,Onesies,9.4,1123
3,32,Tradies,8.8,586
3,33,Granny Mobile,9.2,779
3,34,Space,8.7,610
3,35,Smoochy Kiss,8.3,469
3,36,Dirt,8.2,493
3,37,The Decider,8.6,571
3,38,Cubby,8.1,430
3,39,Exercise,7.9,416
3,40,Relax,8.7,480
3,41,Stickbird,9,554
3,42,Show and Tell,8,390
3,43,Dragon,9.3,816
3,44,Wild Girls,7.1,444
3,45,TV Shop,8.6,499
3,46,Slide,8.6,463
3,47,Cricket,9.6,2833
3,48,Ghostbasket,8,409
3,49,The Sign,9.7,5717
3,50,Surprise!,8.7,499
4,1,Episode #4.1,7.7,90
