season,episode,title,rating,votes,episode_year
1,1,"BoJack Horseman: The BoJack Horseman Story, Chapter One",7.1,10055,2014
1,2,BoJack Hates the Troops,7.6,8996,2014
1,3,Prickly Muffin,7.3,8238,2014
1,4,Zoës and Zeldas,7.4,7936,2014
1,5,"Live Fast, Diane Nguyen",7.3,7617,2014
1,6,Our A-Story Is a 'D' Story,7.8,7625,2014
1,7,Say Anything,7.9,7629,2014
1,8,The Telescope,8.6,8889,2014
1,9,Horse Majeure,7.8,7168,2014
1,10,One Trick Pony,7.6,7052,2014
1,11,Downer Ending,9.2,11233,2014
1,12,Later,8.3,7663,2014
2,1,Brand New Couch,8,7055,2015
2,2,Yesterdayland,7.7,6603,2015
2,3,Still Broken,7.9,6607,2015
2,4,After the Party,7.9,6586,2015
2,5,Chickens,7.7,6756,2015
2,6,Higher Love,7.5,6216,2015
2,7,Hank After Dark,8.2,6637,2015
2,8,Let's Find Out,8.8,8061,2015
2,9,The Shot,8.3,6589,2015
2,10,Yes And,8.5,6905,2015
2,11,Escape from L.A.,9.4,12053,2015
2,12,Out to Sea,8.5,6879,2015
3,1,Start Spreading the News,7.8,6104,2016
3,2,The BoJack Horseman Show,8,6256,2016
3,3,BoJack Kills,7.4,6072,2016
3,4,Fish Out of Water,9.6,17323,2016
3,5,Love And/Or Marriage,8.1,6194,2016
3,6,Brrap Brrap Pew Pew,8,6487,2016
3,7,Stop the Presses,8.3,6284,2016
3,8,Old Acquaintance,7.8,5843,2016
3,9,Best Thing That Ever Happened,8.5,6694,2016
3,10,It's You,8.8,7292,2016
3,11,"That's Too Much, Man!",9.6,14755,2016
3,12,That Went Well,9,7966,2016
4,1,See Mr. Peanutbutter Run,7.5,6240,2017
4,2,The Old Sugarman Place,9.4,12052,2017
4,3,Hooray! Todd Episode!,8.4,6658,2017
4,4,Commence Fracking,7.6,5822,2017
4,5,Thoughts and Prayers,8.1,6177,2017
4,6,Stupid Piece of Sh*t,9.2,9331,2017
4,7,Underground,8.1,6248,2017
4,8,The Judge,7.4,5683,2017
4,9,Ruthie,9,8316,2017
4,10,lovin that cali lifestyle!!,8.4,6172,2017
4,11,Time's Arrow,9.8,20522,2017
4,12,What Time Is It Right Now,9,7149,2017
5,1,The Light Bulb Scene,8,6020,2018
5,2,The Dog Days Are Over,9,7938,2018
5,3,Planned Obsolescence,7.9,5951,2018
5,4,BoJack the Feminist,8,5895,2018
5,5,The Amelia Earhart Story,8.4,6270,2018
5,6,Free Churro,9.8,25661,2018
5,7,INT. SUB,8.8,7080,2018
5,8,Mr. Peanutbutter's Boos,8.5,6154,2018
5,9,Ancient History,8.2,5640,2018
5,10,Head in the Clouds,9,6797,2018
5,11,The Showstopper,9.6,11283,2018
5,12,The Stopped Show,9.1,6764,2018
6,1,A Horse Walks into a Rehab,9.1,7627,2019
6,2,The New Client,8.5,6176,2019
6,3,Feel-Good Story,8,5797,2019
6,4,Surprise!,9,6889,2019
6,5,"A Little Uneven, Is All",8,5395,2019
6,6,The Kidney Stays in the Picture,8.1,5476,2019
6,7,The Face of Depression,9.4,8794,2019
6,8,"A Quick One, While He's Away",8.5,5867,2019
6,9,Intermediate Scene Study w/ BoJack Horseman,8.3,5678,2020
6,10,Good Damage,8.9,6560,2020
6,11,Sunk Cost and All That,8.7,5759,2020
6,12,Xerox of a Xerox,9.3,7372,2020
6,13,The Horny Unicorn,8.6,5713,2020
6,14,Angela,9,6542,2020
6,15,The View from Halfway Down,9.9,34561,2020
6,16,Nice While It Lasted,9.6,14105,2020
