season,episode,title,rating,votes,episode_year
1,1,Ambush,7.3,7841,2008
1,2,Rising Malevolence,7.3,6888,2008
1,3,Shadow of Malevolence,7.3,6443,2008
1,4,Destroy Malevolence,7.4,6285,2008
1,5,Rookies,7.9,6857,2008
1,6,Downfall of a Droid,6.5,5843,2008
1,7,Duel of the Droids,7.1,5794,2008
1,8,Bombad Jedi,6,5890,2008
1,9,Cloak of Darkness,7.9,5913,2008
1,10,Lair of Grievous,8.1,6081,2008
1,11,Dooku Captured,7.3,5492,2009
1,12,The Gungan General,6.9,5344,2009
1,13,Jedi Crash,7.3,5336,2009
1,14,Defenders of Peace,7.4,5285,2009
1,15,Trespass,7.5,5347,2009
1,16,The Hidden Enemy,7.6,5501,2009
1,17,Blue Shadow Virus,6.6,5079,2009
1,18,Mystery of a Thousand Moons,6.9,4962,2009
1,19,Storm Over Ryloth,7.6,5193,2009
1,20,Innocents of Ryloth,7.9,5347,2009
1,21,Liberty on Ryloth,7.6,5076,2009
1,22,Hostage Crisis,7.8,5188,2009
2,1,Holocron Heist,7.8,5112,2009
2,2,Cargo of Doom,8,5032,2009
2,3,Children of the Force,7.6,4868,2009
2,4,Senate Spy,6.8,4689,2009
2,5,Landing at Point Rain,8.2,5365,2009
2,6,Weapons Factory,7.8,4903,2009
2,7,Legacy of Terror,7.6,4793,2009
2,8,Brain Invaders,8,4925,2009
2,9,Grievous Intrigue,7.8,4607,2010
2,10,The Deserter,8.1,4881,2010
2,11,Lightsaber Lost,7.5,4683,2010
2,12,The Mandalore Plot,8,4972,2010
2,13,Voyage of Temptation,8.1,4931,2010
2,14,Duchess of Mandalore,7.6,4652,2010
2,15,Senate Murders,6.7,4301,2010
2,16,Cat and Mouse,7.5,4879,2010
2,17,Bounty Hunters,7.5,4512,2010
2,18,The Zillo Beast,7.3,4459,2010
2,19,The Zillo Beast Strikes Back,7.6,4489,2010
2,20,Death Trap,7.7,4482,2010
2,21,R2 Come Home,7.5,4378,2010
2,22,Lethal Trackdown,7.9,4440,2010
3,1,Clone Cadets,7.8,5488,2010
3,2,ARC Troopers,8.6,5377,2010
3,3,Supply Lines,6.9,4615,2010
3,4,Sphere of Influence,6.9,4147,2010
3,5,Corruption,6.6,4289,2010
3,6,The Academy,6.9,4253,2010
3,7,Assassin,7.5,4265,2010
3,8,Evil Plans,6.1,4154,2010
3,9,Hunt for Ziro,7,4220,2010
3,10,Heroes on Both Sides,7.5,4326,2010
3,11,Pursuit of Peace,7.1,4172,2010
3,12,Nightsisters,8.6,5182,2011
3,13,Monster,8.7,5169,2011
3,14,Witches of the Mist,8.9,5277,2011
3,15,Overlords,8.9,5886,2011
3,16,Altar of Mortis,8.6,5413,2011
3,17,Ghosts of Mortis,8.9,5868,2011
3,18,The Citadel,8.1,4538,2011
3,19,Counter Attack,8,4390,2011
3,20,Citadel Rescue,8.2,4431,2011
3,21,Padawan Lost,7.6,4226,2011
3,22,Wookiee Hunt,7.9,4279,2011
4,1,Water War,7,4151,2011
4,2,Gungan Attack,7,4027,2011
4,3,Prisoners,7.1,3987,2011
4,4,Shadow Warrior,7.1,3918,2011
4,5,Mercy Mission,6.1,3930,2011
4,6,Nomad Droids,6.2,3899,2011
4,7,Darkness on Umbara,8.5,5299,2011
4,8,The General,8.6,5250,2011
4,9,Plan of Dissent,8.8,5266,2011
4,10,Carnage of Krell,9.4,6682,2011
4,11,Kidnapped,7.6,4031,2011
4,12,Slaves of the Republic,7.8,4094,2011
4,13,Escape from Kadavo,8.1,4128,2012
4,14,A Friend in Need,7.9,4136,2012
4,15,Deception,8.3,4372,2012
4,16,Friends and Enemies,8.3,4294,2012
4,17,The Box,8.7,4779,2012
4,18,Crisis on Naboo,8.3,4260,2012
4,19,Massacre,8.1,4367,2012
4,20,Bounty,8.2,4330,2012
4,21,Brothers,8.2,4624,2012
4,22,Revenge,9.1,5496,2012
5,1,Revival,8.8,5234,2012
5,2,A War on Two Fronts,7.3,4003,2012
5,3,Front Runners,7.3,3919,2012
5,4,The Soft War,7.4,3892,2012
5,5,Tipping Points,7.9,4013,2012
5,6,The Gathering,7.8,4176,2012
5,7,A Test of Strength,7.6,3947,2012
5,8,Bound for Rescue,7.3,3857,2012
5,9,A Necessary Bond,7.9,3963,2012
5,10,Secret Weapons,6.3,3865,2012
5,11,A Sunny Day in the Void,6,3961,2012
5,12,Missing in Action,7.2,3918,2013
5,13,Point of No Return,7,3746,2013
5,14,Eminence,8.8,5215,2013
5,15,Shades of Reason,9.1,5673,2013
5,16,The Lawless,9.7,8635,2013
5,17,Sabotage,8.1,4750,2013
5,18,The Jedi Who Knew Too Much,9.1,5747,2013
5,19,To Catch a Jedi,9.1,5553,2013
5,20,The Wrong Jedi,9.7,9899,2013
6,1,The Unknown,8.2,4555,2014
6,2,Conspiracy,8.2,4486,2014
6,3,Fugitive,8.4,4506,2014
6,4,Orders,9,5430,2014
6,5,An Old Friend,7,3742,2014
6,6,The Rise of Clovis,7.2,3745,2014
6,7,Crisis at the Heart,7.4,3730,2014
6,8,The Disappeared: Part 1,6.4,3676,2014
6,9,The Disappeared: Part 2,6.6,3648,2014
6,10,The Lost One,8.6,4430,2014
6,11,Voices,8.8,4814,2014
6,12,Destiny,8.7,4679,2014
6,13,Sacrifice,9.2,5471,2014
7,1,The Bad Batch,8.2,6554,2020
7,2,A Distant Echo,8.1,5937,2020
7,3,On the Wings of Keeradaks,7.7,5722,2020
7,4,Unfinished Business,8.5,6032,2020
7,5,Gone with a Trace,6.4,6018,2020
7,6,Deal No Deal,6.1,5918,2020
7,7,Dangerous Debt,6,5949,2020
7,8,Together Again,7,5675,2020
7,9,Old Friends Not Forgotten,9.7,16351,2020
7,10,The Phantom Apprentice,9.8,21580,2020
7,11,Shattered,9.8,19758,2020
7,12,Victory and Death,9.9,25207,2020
