season,episode,title,rating,votes
1,1,Wolferton Splash,8.2,7841
1,2,Hyde Park Corner,8.9,7869
1,3,Windsor,8.1,6191
1,4,Act of God,8.6,6377
1,5,Smoke and Mirrors,8.5,5978
1,6,Gelignite,8,5493
1,7,Scientia Potentia Est,8.7,5870
1,8,Pride & Joy,8.3,5410
1,9,Assassins,9,6695
1,10,Gloriana,8.5,5380
2,1,Misadventure,8.1,5023
2,2,A Company of Men,8.1,4861
2,3,Lisbon,8.3,4778
2,4,Beryl,8.5,5450
2,5,Marionettes,8.9,5475
2,6,Vergangenheit,9.1,5936
2,7,Matrimonium,8.1,4755
2,8,Dear Mrs. Kennedy,9.1,6263
2,9,Paterfamilias,8.7,5595
2,10,Mystery Man,8.3,4679
3,1,Olding,7.9,5547
3,2,Margaretology,8.4,5269
3,3,Aberfan,9.3,7922
3,4,Bubbikins,8.6,5517
3,5,Coup,8,4778
3,6,Tywysog Cymru,9.1,6597
3,7,Moondust,8.1,5445
3,8,Dangling Man,8.1,4473
3,9,Imbroglio,8,4136
3,10,Cri de Coeur,8.2,4340
4,1,Gold Stick,8.4,4916
4,2,The Balmoral Test,8.6,4867
4,3,Fairytale,8.7,4803
4,4,Favourites,8.2,4396
4,5,Fagan,8.5,4737
4,6,Terra Nullius,8.8,4771
4,7,The Hereditary Principle,8.2,4302
4,8,48:1,8.5,4193
4,9,Avalanche,8.2,3927
4,10,War,8.7,4307
5,1,Queen Victoria Syndrome,7.4,4190
5,2,The System,7.6,3608
5,3,Mou Mou,8.4,4552
5,4,Annus Horribilis,7.9,3548
5,5,The Way Ahead,7.6,3310
5,6,Ipatiev House,7.9,3461
5,7,No Woman's Land,7.5,3080
5,8,Gunpowder,8.2,3240
5,9,Couple 31,7.8,3038
5,10,Decommissioned,7.3,3053
6,1,Persona Non Grata,7.8,3137
6,2,Two Photographs,7.8,2933
6,3,Dis-Moi Oui,8.1,3292
6,4,Aftermath,8.2,3513
6,5,Willsmania,7.6,2795
6,6,Ruritania,7.4,2627
6,7,Alma Mater,7.4,2588
6,8,Ritz,8.6,3490
6,9,Hope Street,8,2460
6,10,"Sleep, Dearie Sleep",9,4100
