season,episode,title,rating,votes
1,1,Into the Ring,8.4,20029
1,2,Cut Man,8.9,19267
1,3,Rabbit in a Snowstorm,8.2,16317
1,4,In the Blood,8.6,15849
1,5,World on Fire,8.7,15343
1,6,Condemned,8.9,15725
1,7,Stick,8.5,15089
1,8,Shadows in the Glass,8.9,15251
1,9,Speak of the Devil,9.1,15733
1,10,Nelson v. Murdock,8.4,14535
1,11,The Path of the Righteous,8.7,14375
1,12,The Ones We Leave Behind,8.6,14001
1,13,Daredevil,9.3,17970
2,1,Bang,8.8,14967
2,2,Dogs to a Gunfight,8.6,13556
2,3,New York's Finest,9.4,17714
2,4,Penny and Dime,9.4,16893
2,5,Kinbaku,8.1,14668
2,6,Regrets Only,8.4,12110
2,7,Semper Fidelis,8.5,11990
2,8,Guilty as Sin,9,13020
2,9,Seven Minutes in Heaven,9.4,15262
2,10,The Man in the Box,9,12542
2,11,.380,8.6,11735
2,12,The Dark at the End of the Tunnel,8.8,11980
2,13,A Cold Day in Hell's Kitchen,9.1,14196
3,1,Resurrection,8.2,11493
3,2,Please,8.5,10785
3,3,No Good Deed,8.4,10425
3,4,Blindsided,9.5,16855
3,5,The Perfect Game,8.8,11222
3,6,The Devil You Know,9.5,13758
3,7,Aftermath,8.7,10502
3,8,Upstairs/Downstairs,9,10716
3,9,Revelations,9.1,10663
3,10,Karen,8.6,11455
3,11,Reunion,9.1,10570
3,12,One Last Shot,9.3,11415
3,13,A New Napkin,9.6,16622
