season,episode,title,rating,votes
1,1,Rebirth,8.4,11512
1,2,Confrontation,9,11445
1,3,Dealings,8.4,8936
1,4,Pursuit,8.8,9209
1,5,Tactics,8.5,8719
1,6,Unraveling,8.2,8297
1,7,Overcast,9.2,11316
1,8,Glare,8.4,8049
1,9,Encounter,8.6,8203
1,10,Doubt,8.2,7788
1,11,Assault,8.7,8199
1,12,Love,8.3,7589
1,13,Confession,8.3,7485
1,14,Friend,8.2,7396
1,15,Wager,8.9,8462
1,16,Decision,8.3,7344
1,17,Execution,8,7328
1,18,Ally,7.3,7147
1,19,Matsuda,7.6,7093
1,20,Makeshift,7.3,6997
1,21,Performance,7.8,6944
1,22,Guidance,8.2,7013
1,23,Frenzy,8.9,8094
1,24,Revival,9.4,11508
1,25,Silence,9.6,17146
1,26,Renewal,7,8664
1,27,Abduction,7.2,6713
1,28,Impatience,7.3,6545
1,29,Father,8,8947
1,30,Justice,7.6,6416
1,31,Transfer,7.6,6448
1,32,Selection,7.8,6545
1,33,Scorn,7.1,6391
1,34,Vigilance,7.2,6292
1,35,Malice,8,6634
1,36,1.28,9,8999
1,37,New World,8.8,11480
