director_rank,director_display_name,n_films,first_year,last_year,lifetime_revenue,lifetime_revenue_2025,avg_revenue_per_film,avg_revenue_per_film_2025,avg_vote
1,Steven Spielberg,36,1971,2026,11046383757,25480538671.667595,306843993.25,728015390.6190742,7.202861111111111
2,James Cameron,11,1984,2026,10300517581,16055354027.597115,936410689.1818181,1605535402.7597115,7.584
3,Russo Brothers,7,2002,2022,6857152975,8882475790.504366,979593282.1428572,1268925112.9291952,7.182
4,Peter Jackson,14,1989,2022,6562166710,10403892245.62427,468726193.5714286,743135160.4017335,7.463384615384616
5,Michael Bay,14,1995,2022,6505294280,10165460332.01955,464663877.14285713,726104309.4299679,6.613642857142858
6,David Yates,8,2007,2022,6396174415,9027223724.666245,799521801.875,1128402965.5832806,7.233625
7,Christopher Nolan,14,1999,2026,7859957741,8512578437.720369,561425552.9285715,654813725.9784899,7.848
8,Ridley Scott,29,1979,2026,5015732106,7892677512.273201,172956279.5172414,281881339.7240429,6.788344827586207
9,Tim Burton,20,1985,2024,4931254540,8290436071.843541,246562727,414521803.5921771,6.96185
10,J.J. Abrams,6,2006,2019,4655168567,6388191233.170374,775861427.8333334,1064698538.8617289,6.961666666666667
