season,episode,title,rating,votes,episode_year
1,1,Death Has a Shadow,7.6,5650,1999
1,2,I Never Met the Dead Man,7.4,4363,1999
1,3,Chitty Chitty Death Bang,7.5,4083,1999
1,4,Mind Over Murder,7.4,3837,1999
1,5,A Hero Sits Next Door,7.4,3716,1999
1,6,The Son Also Draws,7.1,3563,1999
1,7,Brian: Portrait of a Dog,7.4,3603,1999
2,1,"Peter, Peter, Caviar Eater",7.5,3419,1999
2,2,Holy Crap,7.2,3213,1999
2,3,Da Boom,8.1,3853,1999
2,4,Brian in Love,7.4,3124,2000
2,5,Love Thy Trophy,7.6,3107,2000
2,6,Death Is a Bitch,8.2,3558,2000
2,7,The King Is Dead,7.2,2932,2000
2,8,"I Am Peter, Hear Me Roar",8,3210,2000
2,9,"If I'm Dyin', I'm Lyin'",7.2,2842,2000
2,10,Running Mates,7.3,2812,2000
2,11,A Picture Is Worth a Thousand Bucks,7,2809,2000
2,12,Fifteen Minutes of Shame,7.5,2785,2000
2,13,Road to Rhode Island,8.2,3328,2000
2,14,Let's Go to the Hop,7.7,2796,2000
2,15,Dammit Janet!,7.3,2665,2000
2,16,There's Something About Paulie,6.9,2778,2000
2,17,He's Too Sexy for His Fat,7.7,2746,2000
2,18,E. Peterbus Unum,8.1,2932,2000
2,19,The Story on Page One,7.3,2531,2000
2,20,Wasted Talent,8,2848,2000
2,21,Fore Father,7.1,2499,2000
3,1,The Thin White Line,8,2872,2001
3,2,Brian Does Hollywood,7.6,2644,2001
3,3,Mr. Griffin Goes to Washington,7.5,2519,2001
3,4,"One If by Clam, Two If by Sea",7.5,2541,2001
3,5,And the Wiener Is...,7.6,2512,2001
3,6,Death Lives,8,2636,2001
3,7,Lethal Weapons,7.3,2606,2001
3,8,The Kiss Seen Round the World,6.7,2587,2001
3,9,Mr. Saturday Knight,7.3,2433,2001
3,10,A Fish Out of Water,7.1,2523,2001
3,11,Emission Impossible,8.1,2662,2001
3,12,To Love and Die in Dixie,8.1,2755,2001
3,13,Screwed the Pooch,7.3,2343,2001
3,14,"Peter Griffin: Husband, Father... Brother?",7.6,2370,2001
3,15,"Ready, Willing and Disabled",7.5,2321,2001
3,16,A Very Special Family Guy Freakin' Christmas,7.6,2519,2001
3,17,Brian Wallows and Peter's Swallows,7.5,2511,2002
3,18,From Method to Madness,7.4,2320,2002
3,19,"Stuck Together, Torn Apart",7.6,2284,2002
3,20,Road to Europe,7.8,2478,2002
3,21,Family Guy Viewer Mail #1,7.4,2392,2002
3,22,When You Wish Upon a Weinstein,7.3,2380,2003
4,1,North by North Quahog,7.7,2707,2005
4,2,Fast Times at Buddy Cianci Jr. High,7.5,2437,2005
4,3,Blind Ambition,7.5,2362,2005
4,4,Don't Make Me Over,7.4,2414,2005
4,5,The Cleveland-Loretta Quagmire,7.6,2427,2005
4,6,Petarded,8.2,3045,2005
4,7,Brian the Bachelor,7.4,2318,2005
4,8,8 Simple Rules for Buying My Teenage Daughter,7.5,2336,2005
4,9,Breaking Out Is Hard to Do,7.6,2288,2005
4,10,Model Misbehavior,7.2,2207,2005
4,11,Peter's Got Woods,7.5,2333,2005
4,12,The Perfect Castaway,7.6,2259,2005
4,13,Jungle Love,7.2,2195,2005
4,14,PTV,8.5,3482,2005
4,15,Brian Goes Back to College,7.6,2245,2005
4,16,The Courtship of Stewie's Father,7.7,2240,2005
4,17,Fat Guy Strangler,8,2551,2005
4,18,"The Father, the Son and the Holy Fonz",7.2,2196,2005
4,19,Brian Sings and Swings,7.2,2183,2006
4,20,Patriot Games,7.7,2495,2006
4,21,"I Take Thee, Quagmire",7.5,2187,2006
4,22,Sibling Rivalry,7.5,2174,2006
4,23,Deep Throats,7.4,2146,2006
4,24,Peterotica,7.5,2149,2006
4,25,You May Now Kiss the... Uh... Guy Who Receives,7.1,2138,2006
4,26,Petergeist,7.8,2361,2006
4,27,Untitled Griffin Family History,7.7,2215,2006
4,28,Stewie B. Goode,7.6,1968,2006
4,29,Bango Was His Name Oh!,7.6,1952,2006
4,30,Stu & Stewie's Excellent Adventure,7.8,2075,2006
5,1,Stewie Loves Lois,8.2,2698,2006
5,2,Mother Tucker,7.4,2202,2006
5,3,Hell Comes to Quahog,7.5,2152,2006
5,4,Saving Private Brian,7.6,2319,2006
5,5,Whistle While Your Wife Works,7.6,2147,2006
5,6,Prick Up Your Ears,7.3,2093,2006
5,7,Chick Cancer,7.4,2129,2006
5,8,Barely Legal,7.8,2318,2006
5,9,Road to Rupert,7.9,2307,2007
5,10,Peter's Two Dads,7.6,2187,2007
5,11,The Tan Aquatic with Steve Zissou,7.6,2086,2007
5,12,Airport '07,7.7,2179,2007
5,13,Bill & Peter's Bogus Journey,7.2,2052,2007
5,14,No Meals on Wheels,7.2,1979,2007
5,15,Boys Do Cry,7.3,1989,2007
5,16,No Chris Left Behind,7.3,2022,2007
5,17,"It Takes a Village Idiot, and I Married One",7.5,2001,2007
5,18,Meet the Quagmires,8.4,2878,2007
6,1,Blue Harvest,8.2,8818,2007
6,2,Movin' Out (Brian's Song),7.2,2100,2007
6,3,"Believe It or Not, Joe's Walking on Air",7.4,2123,2007
