season,episode,title,rating,votes,episode_year
1,1,Winter Is Coming,8.9,82037,2011
1,2,The Kingsroad,8.6,62301,2011
1,3,Lord Snow,8.5,59064,2011
1,4,"Cripples, Bastards, and Broken Things",8.6,56369,2011
1,5,The Wolf and the Lion,9,59312,2011
1,6,A Golden Crown,9.1,58282,2011
1,7,You Win or You Die,9.2,59064,2011
1,8,The Pointy End,8.9,55162,2011
1,9,Baelor,9.6,80745,2011
1,10,Fire and Blood,9.4,67919,2011
2,1,The North Remembers,8.6,50872,2012
2,2,The Night Lands,8.3,48394,2012
2,3,What Is Dead May Never Die,8.6,47815,2012
2,4,Garden of Bones,8.6,46775,2012
2,5,The Ghost of Harrenhal,8.6,46968,2012
2,6,The Old Gods and the New,8.9,48883,2012
2,7,A Man Without Honor,8.8,47341,2012
2,8,The Prince of Winterfell,8.6,46544,2012
2,9,Blackwater,9.7,87943,2012
2,10,Valar Morghulis,9.3,57254,2012
3,1,Valar Dohaeris,8.6,48838,2013
3,2,"Dark Wings, Dark Words",8.4,45689,2013
3,3,Walk of Punishment,8.7,46262,2013
3,4,And Now His Watch Is Ended,9.5,63810,2013
3,5,Kissed by Fire,8.9,48564,2013
3,6,The Climb,8.7,47062,2013
3,7,The Bear and the Maiden Fair,8.6,45573,2013
3,8,Second Sons,8.9,46913,2013
3,9,The Rains of Castamere,9.9,187778,2013
3,10,Mhysa,9.1,53375,2013
4,1,Two Swords,9,55832,2014
4,2,The Lion and the Rose,9.7,91110,2014
4,3,Breaker of Chains,8.8,49154,2014
4,4,Oathkeeper,8.7,47476,2014
4,5,First of His Name,8.6,46827,2014
4,6,The Laws of Gods and Men,9.7,94166,2014
4,7,Mockingbird,9,51656,2014
4,8,The Mountain and the Viper,9.7,91395,2014
4,9,The Watchers on the Wall,9.6,83882,2014
4,10,The Children,9.7,82564,2014
5,1,The Wars to Come,8.3,48064,2015
5,2,The House of Black and White,8.3,44689,2015
5,3,High Sparrow,8.3,43601,2015
5,4,Sons of the Harpy,8.5,44560,2015
5,5,Kill the Boy,8.5,44734,2015
5,6,"Unbowed, Unbent, Unbroken",7.9,52157,2015
5,7,The Gift,8.8,47210,2015
5,8,Hardhome,9.8,146029,2015
5,9,The Dance of Dragons,9.4,67751,2015
5,10,Mother's Mercy,9.2,66493,2015
6,1,The Red Woman,8.4,58572,2016
6,2,Home,9.2,67653,2016
6,3,Oathbreaker,8.6,53028,2016
6,4,Book of the Stranger,9,57876,2016
6,5,The Door,9.7,111192,2016
6,6,Blood of My Blood,8.3,51940,2016
6,7,The Broken Man,8.5,51223,2016
6,8,No One,8.3,55943,2016
6,9,Battle of the Bastards,9.9,314757,2016
6,10,The Winds of Winter,9.9,232933,2016
7,1,Dragonstone,8.5,70009,2017
7,2,Stormborn,8.7,63046,2017
7,3,The Queen's Justice,9.1,66959,2017
7,4,The Spoils of War,9.7,127380,2017
7,5,Eastwatch,8.6,62788,2017
7,6,Beyond the Wall,9,89531,2017
7,7,The Dragon and the Wolf,9.4,91192,2017
8,1,Winterfell,7.6,161614,2019
8,2,A Knight of the Seven Kingdoms,7.9,161618,2019
8,3,The Long Night,7.5,257627,2019
8,4,The Last of the Starks,5.5,196832,2019
8,5,The Bells,5.9,228907,2019
8,6,The Iron Throne,4,308206,2019
