season,episode,title,rating,votes
1,1,Tourist Trapped,8.2,6367
1,2,The Legend of the Gobblewonker,7.7,5788
1,3,Headhunters,7.9,5483
1,4,The Hand That Rocks the Mabel,7.6,5251
1,5,The Inconveniencing,8.5,5380
1,6,Dipper vs. Manliness,7.7,5137
1,7,Double Dipper,8.6,5297
1,8,Irrational Treasure,8.1,4947
1,9,The Time Traveler's Pig,9,5462
1,10,Fight Fighters,8.5,5042
1,11,Little Dipper,7.8,4704
1,12,Summerween,8.6,5093
1,13,Boss Mabel,7.7,4683
1,14,Bottomless Pit!,8,4711
1,15,The Deep End,7.6,4668
1,16,Carpet Diem,8.5,4677
1,17,Boyz Crazy,7.2,4707
1,18,Land Before Swine,8.3,4587
1,19,Dreamscaperers,9.3,5492
1,20,Gideon Rises,9.3,5421
2,1,Scary-oke,8.8,5037
2,2,Into the Bunker,9.3,5392
2,3,The Golf War,8.1,4689
2,4,Sock Opera,8.7,4956
2,5,Soos and the Real Girl,8.6,4826
2,6,Little Gift Shop of Horrors,7.7,4509
2,7,Society of the Blind Eye,9.2,5199
2,8,Blendin's Game,9,4881
2,9,The Love God,7.5,4484
2,10,Northwest Mansion Mystery,9.2,5678
2,11,Not What He Seems,9.8,11059
2,12,A Tale of Two Stans,9.6,6727
2,13,"Dungeons, Dungeons, and More Dungeons",8.3,4550
2,14,The Stanchurian Candidate,8,4356
2,15,The Last Mabelcorn,8.8,4722
2,16,Roadside Attraction,7.8,4464
2,17,Dipper and Mabel vs. the Future,9.3,5405
2,18,Weirdmageddon Part 1,9.5,6009
2,19,Weirdmageddon 2: Escape from Reality,9.4,5605
2,20,Weirdmageddon 3: Take Back the Falls,9.7,11291
2,21,Weirdmageddon 4: Somewhere in the Woods,9.8,8098
