season,episode,title,rating,votes
1,1,A Hard Day's Night,8.3,3614
1,2,The First Cut Is the Deepest,8.1,2509
1,3,"Winning a Battle, Losing the War",8,2323
1,4,No Man's Land,8,2191
1,5,Shake Your Groove Thing,8,2113
1,6,If Tomorrow Never Comes,8.1,2040
1,7,The Self-Destruct Button,8.1,2008
1,8,Save Me,7.9,1990
1,9,Who's Zoomin' Who?,8.6,2232
2,1,Raindrops Keep Falling on My Head,8.3,2008
2,2,Enough Is Enough,8,1853
2,3,Make Me Lose Control,8.6,2022
2,4,"Deny, Deny, Deny",8.3,1899
2,5,Bring the Pain,8.5,1924
2,6,Into You Like a Train,9,2546
2,7,Something to Talk About,8.1,1727
2,8,Let It Be,7.8,1709
2,9,Thanks for the Memories,8.3,1787
2,10,Much Too Much,8,1710
2,11,Owner of a Lonely Heart,8.1,1674
2,12,Grandma Got Run Over by a Reindeer,8.1,1698
2,13,Begin the Begin,8.2,1759
2,14,Tell Me Sweet Little Lies,7.8,1673
2,15,Break on Through,8.3,1755
2,16,It's the End of the World,9.4,3655
2,17,As We Know It,9.4,3550
2,18,Yesterday,8.3,1772
2,19,What Have I Done to Deserve This?,8,1688
2,20,Band-Aid Covers the Bullet Hole,7.9,1633
2,21,Superstition,8.1,1625
2,22,The Name of the Game,8.1,1640
2,23,Blues for Sister Someone,7.9,1656
2,24,Damage Case,8.4,1747
2,25,17 Seconds,9,2213
2,26,Deterioration of the Fight or Flight Response,9,2201
2,27,Losing My Religion,9.2,2903
3,1,Time Has Come Today,8.3,1976
3,2,I Am a Tree,8.1,1565
3,3,Sometimes a Fantasy,8,1578
3,4,What I Am,8.2,1645
3,5,"Oh, the Guilt",8,1485
3,6,Let the Angels Commit,7.9,1635
3,7,Where the Boys Are,7.9,1650
3,8,Staring at the Sun,7.9,1592
3,9,From a Whisper to a Scream,8.6,1807
3,10,Don't Stand So Close to Me,8.1,1516
3,11,Six Days: Part 1,8.2,1709
3,12,Six Days: Part 2,8.6,1792
3,13,Great Expectations,8.2,1532
3,14,Wishin' and Hopin',8.4,1561
3,15,Walk on Water,8.8,1918
3,16,Drowning on Dry Land,9,2091
3,17,Some Kind of Miracle,8.4,2050
3,18,Scars and Souvenirs,8.1,1625
3,19,My Favorite Mistake,8,1501
3,20,Time After Time,8,1485
3,21,Desire,7.9,1488
3,22,"The Other Side of This Life, Part 1",6.8,1779
3,23,"The Other Side of This Life, Part 2",7.1,1646
3,24,Testing 1-2-3,8.3,1500
3,25,Didn't We Almost Have It All?,8.7,2033
4,1,A Change Is Gonna Come,8,1630
4,2,Love/Addiction,7.7,1426
4,3,Let the Truth Sting,7.9,1447
4,4,The Heart of the Matter,7.9,1474
4,5,Haunt You Every Day,7.8,1440
4,6,Kung Fu Fighting,7.8,1376
4,7,Physical Attraction... Chemical Reaction,7.7,1388
4,8,Forever Young,7.9,1452
4,9,Crash Into Me: Part 1,8.5,1609
4,10,Crash Into Me: Part 2,8.4,1524
4,11,Lay Your Hands on Me,7.9,1430
4,12,Where the Wild Things Are,8,1380
