season,episode,title,rating,votes,episode_year
1,1,Apéritif,8.3,12248,2013
1,2,Amuse-Bouche,8.1,10296,2013
1,3,Potage,8.1,9586,2013
1,4,Oeuf,7.7,8738,2013
1,5,Coquilles,7.9,8877,2013
1,6,Entrée,8.5,8677,2013
1,7,Sorbet,8.6,8842,2013
1,8,Fromage,9,9396,2013
1,9,Trou Normand,8.2,8183,2013
1,10,Buffet Froid,8.7,8558,2013
1,11,Rôti,8.5,8089,2013
1,12,Relevés,8.8,8233,2013
1,13,Savoureux,9.2,9971,2013
2,1,Kaiseki,8.8,8842,2014
2,2,Sakizuke,9,8563,2014
2,3,Hassun,8.6,7994,2014
2,4,Takiawase,9.2,8756,2014
2,5,Mukozuke,9.3,8826,2014
2,6,Futamono,9.2,8662,2014
2,7,Yakimono,9.2,8499,2014
2,8,Su-zakana,8.3,7654,2014
2,9,Shiizakana,8.5,7559,2014
2,10,Naka-Choko,8.8,7931,2014
2,11,Ko no Mono,8.9,7813,2014
2,12,Tome-wan,9.2,8648,2014
2,13,Mizumono,9.8,28282,2014
3,1,Antipasto,8.1,8432,2015
3,2,Primavera,7.9,7395,2015
3,3,Secondo,7.9,6847,2015
3,4,Aperitivo,7.8,6683,2015
3,5,Contorno,9,7666,2015
3,6,Dolce,8.6,6800,2015
3,7,Digestivo,9.3,8521,2015
3,8,The Great Red Dragon,8.4,6133,2015
3,9,...And the Woman Clothed with the Sun,8.2,5795,2015
3,10,...And the Woman Clothed in Sun,8.4,5846,2015
3,11,...And the Beast from the Sea,8.5,5842,2015
3,12,The Number of the Beast Is 666,8.8,6324,2015
3,13,The Wrath of the Lamb,9.7,18373,2015
