season,episode,title,rating,votes
1,1,Pilot,8.4,8510
1,2,Purple Giraffe,8,6595
1,3,The Sweet Taste of Liberty,8,6265
1,4,Return of the Shirt,7.8,5879
1,5,Okay Awesome,8.1,5989
1,6,The Slutty Pumpkin,7.9,5815
1,7,Matchmaker,7.5,5493
1,8,The Duel,8,5453
1,9,Belly Full of Turkey,7.9,5431
1,10,The Pineapple Incident,9.1,8070
1,11,The Limo,8.2,5731
1,12,The Wedding,8,5312
1,13,"Drumroll, Please",8.7,6048
1,14,"Zip, Zip, Zip",8.1,5208
1,15,Game Night,9,6748
1,16,Cupcake,7.7,4972
1,17,Life Among the Gorillas,7.5,4929
1,18,Nothing Good Happens After 2 AM,8.3,5453
1,19,Mary the Paralegal,8.7,5749
1,20,Best Prom Ever,7.7,4895
1,21,Milk,7.9,4945
1,22,Come On,8.8,5980
2,1,Where Were We?,8,4896
2,2,The Scorpion and the Toad,8.1,4759
2,3,Brunch,8.4,4967
2,4,"Ted Mosby, Architect",8.7,5474
2,5,World's Greatest Couple,8.7,5304
2,6,Aldrin Justice,8,4753
2,7,Swarley,8.9,6337
2,8,Atlantic City,7.8,4665
2,9,Slap Bet,9.4,9276
2,10,Single Stamina,8,4720
2,11,How Lily Stole Christmas,7.9,4702
2,12,First Time in New York,8,4760
2,13,Columns,7.7,4427
2,14,Monday Night Football,8.3,4765
2,15,Lucky Penny,8.3,4677
2,16,Stuff,8.3,4880
2,17,"Arrivederci, Fiero",8.1,4709
2,18,Moving Day,7.9,4386
2,19,Bachelor Party,8.3,4650
2,20,Showdown,8.8,5099
2,21,Something Borrowed,8.7,4854
2,22,Something Blue,8.7,4943
3,1,Wait for It,8.1,4751
3,2,We're Not from Here,7.5,4299
3,3,Third Wheel,8,4499
3,4,Little Boys,7.5,4274
3,5,How I Met Everyone Else,8.9,5812
3,6,I'm Not That Guy,7.9,4228
3,7,Dowisetrepla,7.8,4283
3,8,Spoiler Alert,9,5946
3,9,Slapsgiving,8.9,5564
3,10,The Yips,7.8,4331
3,11,The Platinum Rule,8.4,4519
3,12,No Tomorrow,8,4361
3,13,Ten Sessions,8.7,5117
3,14,The Bracket,8.6,4614
3,15,The Chain of Screaming,7.8,4181
3,16,Sandcastles in the Sand,8.1,4571
