season,episode,title,rating,votes
1,1,The Heirs of the Dragon,8.7,85783
1,2,The Rogue Prince,8.3,68641
1,3,Second of His Name,8.7,70002
1,4,King of the Narrow Sea,8.4,59337
1,5,We Light the Way,8.8,60075
1,6,The Princess and the Queen,8,53412
1,7,Driftmark,9.1,59836
1,8,The Lord of the Tides,9.3,66472
1,9,The Green Council,8.7,52010
1,10,The Black Queen,9.3,53569
2,1,A Son for a Son,8.2,45791
2,2,Rhaenyra the Cruel,8.2,39965
2,3,The Burning Mill,7.6,38160
2,4,The Red Dragon and the Gold,9.4,66966
2,5,Regent,7.3,36766
2,6,Smallfolk,6.3,57639
2,7,The Red Sowing,8.8,43843
2,8,The Queen Who Ever Was,6.5,50139
3,1,"Salt and Sea, Fire and Blood",9.2,35556
3,2,Queen's Landing,9.4,10099
