season,episode,title,rating,votes
1,1,Pilot,8.4,8532
1,2,Paternity,8,6336
1,3,Occam's Razor,8,5910
1,4,Maternity,8.3,5771
1,5,Damned If You Do,8,5522
1,6,The Socratic Method,8.3,5422
1,7,Fidelity,8,5241
1,8,Poison,7.9,5012
1,9,DNR,8.7,5765
1,10,Histories,8.4,5307
1,11,Detox,8.6,5288
1,12,Sports Medicine,7.8,4656
1,13,Cursed,8,4678
1,14,Control,8.5,4953
1,15,Mob Rules,7.8,4560
1,16,Heavy,8.2,4545
1,17,Role Model,8.4,4700
1,18,Babies & Bathwater,8.8,5141
1,19,Kids,8.2,4527
1,20,Love Hurts,8.1,4557
1,21,Three Stories,9.6,12232
1,22,Honeymoon,8.6,4871
2,1,Acceptance,8.3,4694
2,2,Autopsy,9.1,6769
2,3,Humpty Dumpty,7.8,4285
2,4,TB or Not TB,7.9,4318
2,5,Daddy's Boy,8,4178
2,6,Spin,7.7,4027
2,7,Hunting,8.2,4179
2,8,The Mistake,8.8,4857
2,9,Deception,8.3,4103
2,10,Failure to Communicate,8.4,4187
2,11,Need to Know,8,3984
2,12,Distractions,8.4,4153
2,13,Skin Deep,8.5,4728
2,14,Sex Kills,8.3,4029
2,15,Clueless,8.4,4066
2,16,Safe,8.6,4436
2,17,All In,8.9,5128
2,18,Sleeping Dogs Lie,8,3953
2,19,House vs. God,8.4,4370
2,20,Euphoria: Part 1,9.1,5583
2,21,Euphoria: Part 2,9.3,6208
2,22,Forever,7.9,3894
2,23,Who's Your Daddy?,7.6,3879
2,24,No Reason,9.4,7913
3,1,Meaning,8.8,4907
3,2,Cane and Able,8.3,4052
3,3,Informed Consent,8.5,4174
3,4,Lines in the Sand,8.9,5034
3,5,Fools for Love,8.2,3835
3,6,Que Será Será,8,3902
3,7,Son of Coma Guy,8.8,4909
3,8,Whac-A-Mole,7.9,3743
3,9,Finding Judas,8.4,3836
3,10,Merry Little Christmas,8.6,4033
3,11,Words and Deeds,8.4,3966
3,12,"One Day, One Room",9,7960
3,13,Needle in a Haystack,7.8,3768
3,14,Insensitive,8.6,4139
3,15,Half-Wit,8.9,5090
3,16,Top Secret,7.9,3723
3,17,Fetal Position,8.4,4030
3,18,Airborne,8.9,4824
3,19,Act Your Age,8,3641
3,20,House Training,8.1,3780
3,21,Family,8.2,3625
3,22,Resignation,8.2,3596
3,23,The Jerk,8.2,3700
3,24,Human Error,8.8,4369
4,1,Alone,8.8,4846
4,2,The Right Stuff,8.7,4268
4,3,97 Seconds,8.6,4096
4,4,Guardian Angels,8.3,3734
4,5,Mirror Mirror,8.7,4237
4,6,Whatever It Takes,8.5,3887
4,7,Ugly,8.1,3777
4,8,You Don't Want to Know,8.4,3765
4,9,Games,8.5,3888
4,10,It's a Wonderful Lie,8.2,3621
4,11,Frozen,9.1,5143
4,12,Don't Ever Change,7.8,3635
4,13,No More Mr. Nice Guy,7.9,3506
4,14,Living the Dream,8.1,3580
4,15,House's Head,9.7,15485
4,16,Wilson's Heart,9.7,14045
5,1,Dying Changes Everything,8.2,3915
5,2,Not Cancer,8.1,3525
5,3,Adverse Events,7.9,3404
5,4,Birthmarks,8.9,4445
5,5,Lucky Thirteen,8.4,3711
5,6,Joy,8.4,3637
5,7,The Itch,8.1,3318
5,8,Emancipation,7.9,3270
5,9,Last Resort,8.9,4937
5,10,Let Them Eat Cake,8.1,3286
5,11,Joy to the World,8.2,3592
5,12,Painless,7.9,3272
5,13,Big Baby,7.8,3153
5,14,The Greater Good,7.8,3141
5,15,Unfaithful,8.3,3438
5,16,The Softer Side,8.4,3449
5,17,The Social Contract,8.6,3563
5,18,Here Kitty,8,3339
5,19,Locked In,9.1,5303
5,20,Simple Explanation,9.1,5551
5,21,Saviors,8.2,3350
5,22,House Divided,9,4398
5,23,Under My Skin,9.2,4779
5,24,Both Sides Now,9.6,8726
6,1,Broken,9.6,12852
6,2,Epic Fail,8.4,3815
6,3,The Tyrant,8.9,4326
6,4,Instant Karma,8.3,3324
6,5,Brave Heart,8.3,3258
6,6,Known Unknowns,8.2,3236
6,7,Teamwork,8,3276
6,8,Ignorance Is Bliss,8.2,3224
6,9,Wilson,8.8,4134
6,10,The Down Low,8.8,3910
6,11,Remorse,8.6,3451
6,12,Moving the Chains,7.8,3091
6,13,5 to 9,8.6,4485
6,14,Private Lives,7.9,3212
6,15,Black Hole,7.8,3151
6,16,Lockdown,8.8,4300
6,17,Knight Fall,7.7,3055
6,18,Open and Shut,7.7,3010
6,19,The Choice,7.9,3140
6,20,Baggage,8.8,3931
6,21,Help Me,9.5,7110
7,1,Now What?,8.2,3735
7,2,Selfish,8.5,3371
7,3,Unwritten,8.1,3073
7,4,Massage Therapy,7.7,2898
7,5,Unplanned Parenthood,8.1,3059
7,6,Office Politics,7.9,2922
7,7,A Pox on Our House,8.6,3473
7,8,Small Sacrifices,7.6,2881
7,9,Larger Than Life,8.2,3023
7,10,Carrot or Stick,7.8,2866
7,11,Family Practice,8.5,3277
7,12,You Must Remember This,7.7,2819
7,13,Two Stories,8.8,4329
7,14,Recession Proof,7.8,2860
7,15,Bombshells,8.5,3921
7,16,Out of the Chute,8.7,3797
7,17,Fall from Grace,8.3,3180
7,18,The Dig,8.8,3610
7,19,Last Temptation,8.3,3033
7,20,Changes,7.7,2702
7,21,The Fix,7.6,2710
7,22,After Hours,9.1,4359
7,23,Moving On,8.4,3767
8,1,Twenty Vicodin,8.8,4241
8,2,Transplant,8.1,3155
8,3,Charity Case,8,3009
8,4,Risky Business,7.7,2836
8,5,The Confession,8.2,2931
8,6,Parents,7.8,2716
8,7,Dead & Buried,8.1,2850
8,8,Perils of Paranoia,7.6,2734
8,9,Better Half,7.8,2840
8,10,Runaways,7.6,2697
8,11,Nobody's Fault,9.1,4380
8,12,Chase,8.8,3837
8,13,Man of the House,7.9,2714
8,14,Love Is Blind,7.8,2810
8,15,Blowing the Whistle,7.3,2679
8,16,Gut Check,7.5,2652
8,17,We Need the Eggs,7.7,2686
8,18,Body and Soul,7.8,2871
8,19,The C Word,9,4141
8,20,Post Mortem,8.8,3274
8,21,Holding On,9,3903
8,22,Everybody Dies,9.3,7880
8,23,House M.D. Swan Song,8.4,179
