season,episode,title,rating,votes
1,1,It's About Time,9,31331
1,2,Here Goes Nothing,8.4,22722
1,3,Who You Calling Ugly?,8.1,21366
1,4,"Neil Armstrong, Eat Your Heart Out",7.7,21067
1,5,That Actually Hurt,9.1,24209
1,6,You Look Kinda Dead,7.6,21345
1,7,We Need to Talk,9.6,32742
1,8,Where I Really Come From,9.8,41505
2,1,A Lesson for Your Next Life,8.1,18328
2,2,In About Six Hours I Lose My Virginity to a Fish,7.2,17063
2,3,"This Missive, This Machination!",8.1,17275
2,4,It's Been a While,9.2,22642
2,5,This Must Come as a Shock,8.7,16866
2,6,It's Not That Simple,7.8,15785
2,7,I'm Not Going Anywhere,8.7,17708
2,8,I Thought You Were Stronger,9.1,22253
3,1,You're Not Laughing Now,8,19280
3,2,A Deal with the Devil,9.1,22697
3,3,"You Want a Real Costume, Right?",8.4,19117
3,4,You Were My Hero,9.1,23197
3,5,This Was Supposed to Be Easy,7.4,19646
3,6,All I Can Say Is I'm Sorry,8.7,23471
3,7,What Have I Done?,9.7,49004
3,8,I Thought You'd Never Shut Up,9.9,100084
4,1,Making the World a Better Place,8.2,22352
4,2,I'll Give You the Grand Tour,9.3,27293
4,3,I Gotta Get Some Air,8,21275
4,4,Hurm,6.5,29168
4,5,Give Us a Moment,9.7,46796
4,6,You Look Horrible,9.1,27950
4,7,Don't Do Anything Rash,9.9,52133
4,8,Don't Leave Me Hanging Here,8.9,27719
