season,episode,title,rating,votes
1,1,Smoke Gets in Your Eyes,8.1,6830
1,2,Ladies Room,7.5,5152
1,3,Marriage of Figaro,7.6,4779
1,4,New Amsterdam,7.9,4546
1,5,5G,8.1,4455
1,6,Babylon,7.8,4361
1,7,Red in the Face,8,4174
1,8,The Hobo Code,8.3,4317
1,9,Shoot,8.2,4127
1,10,Long Weekend,8.2,4011
1,11,Indian Summer,8.1,3813
1,12,Nixon vs. Kennedy,9,4687
1,13,The Wheel,9,4878
2,1,For Those Who Think Young,7.6,3549
2,2,Flight 1,7.8,3440
2,3,The Benefactor,7.8,3381
2,4,Three Sundays,8.1,3381
2,5,The New Girl,8.3,3445
2,6,Maidenform,7.9,3278
2,7,The Gold Violin,8.4,3379
2,8,A Night to Remember,8.3,3306
2,9,Six Month Leave,8.5,3380
2,10,The Inheritance,7.9,3161
2,11,The Jet Set,8.3,3492
2,12,The Mountain King,8.5,3380
2,13,Meditations in an Emergency,8.9,3686
3,1,Out of Town,8.1,3250
3,2,Love Among the Ruins,7.7,3032
3,3,My Old Kentucky Home,8,3236
3,4,The Arrangements,8,3027
3,5,The Fog,8,3056
3,6,Guy Walks Into an Advertising Agency,9.1,4114
3,7,Seven Twenty Three,8.4,3129
3,8,Souvenir,7.9,2998
3,9,Wee Small Hours,8.1,2951
3,10,The Color Blue,8.3,3024
3,11,The Gypsy and the Hobo,9.2,4097
3,12,The Grown-Ups,8.9,3482
3,13,Shut the Door. Have a Seat,9.7,6863
4,1,Public Relations,8.5,3283
4,2,Christmas Comes But Once a Year,8.2,3000
4,3,The Good News,8.7,3299
4,4,The Rejected,8.2,2955
4,5,The Chrysanthemum and the Sword,8.6,3094
4,6,Waldorf Stories,8.6,3130
4,7,The Suitcase,9.7,7984
4,8,The Summer Man,8.6,3241
4,9,The Beautiful Girls,8.8,3264
4,10,Hands and Knees,8.7,2988
4,11,Chinese Wall,8.3,2792
4,12,Blowing Smoke,8.8,3050
4,13,Tomorrowland,9,3491
5,1,"A Little Kiss, Part 1",8.5,3333
5,2,"A Little Kiss, Part 2",8.4,3016
5,3,Tea Leaves,7.8,2889
5,4,Mystery Date,8.6,3150
5,5,Signal 30,9,3826
5,6,Far Away Places,9.1,4164
5,7,At the Codfish Ball,8.7,3173
5,8,Lady Lazarus,8.2,2889
5,9,Dark Shadows,8,2732
5,10,Christmas Waltz,8.2,2855
5,11,The Other Woman,9.4,4434
5,12,Commissions and Fees,9.4,4271
5,13,The Phantom,8.6,3159
6,1,"The Doorway, Part 1",7.5,3002
6,2,"The Doorway, Part 2",7.6,2813
6,3,Collaborators,7.8,2748
6,4,To Have and to Hold,8,2708
6,5,The Flood,8.2,2842
6,6,For Immediate Release,8.8,3238
6,7,Man with a Plan,7.9,2716
6,8,The Crash,8.7,3560
6,9,The Better Half,8.3,2787
6,10,A Tale of Two Cities,8.1,2628
6,11,Favors,8.7,2961
6,12,The Quality of Mercy,8.5,2671
6,13,In Care Of,9.1,3423
7,1,Time Zones,7.9,2915
7,2,A Day's Work,8.3,2801
7,3,Field Trip,8.5,2894
7,4,The Monolith,8.5,2765
7,5,The Runaways,8.5,2815
7,6,The Strategy,8.9,3224
7,7,Waterloo,9.5,4571
7,8,Severance,8.1,2893
7,9,New Business,7.8,2747
7,10,The Forecast,8.2,2746
7,11,Time & Life,8.9,2989
7,12,Lost Horizon,9,3227
7,13,The Milk and Honey Route,9.1,3528
7,14,Person to Person,9.3,5820
