date,tournament,round,mol_score,sets_result,winner
2022-08-17,European Championship,Pool,"22-20, 21-16",2-0,Mol/Sorum
2022-08-21,European Championship,Semi,"16-21, 23-21, 13-15",1-2,Åhman/Hellvig
2022-11-06,Cape Town Elite16,Gold,"21-19, 21-19",2-0,Mol/Sorum
2023-02-01,Doha Elite16,Pool,"15-21, 21-18, 15-13",2-1,Mol/Sorum
2023-02-05,Doha Elite16,Gold,"21-19, 21-19",2-0,Mol/Sorum
2023-03-26,Tepic Elite16,Gold,"16-21, 15-21",0-2,Åhman/Hellvig
2023-12-07,Doha Finals,Pool,"21-16, 21-16",2-0,Mol/Sorum
2023-12-09,Doha Finals,Gold,"16-21, 17-21",0-2,Åhman/Hellvig
2024-06-09,Ostrava Elite16,Semi,"21-23, 18-21",0-2,Åhman/Hellvig
2024-10-20,Joao Pessoa Elite16,Semi,"22-20, 18-21, 15-10",2-1,Mol/Sorum
2024-12-05,Doha Finals,Pool,"21-15, 17-21, 8-15",1-2,Åhman/Hellvig
2024-12-07,Doha Finals,Gold,"21-18, 22-20",2-0,Mol/Sorum
2025-04-13,Saquarema Elite,Gold,"21-18, 21-15",2-0,Mol/Sorum
2025-06-01,Ostrava Elite,Gold,"30-28, 17-21, 7-15",1-2,Åhman/Hellvig
2025-08-03,European Championship,Gold,"17-21, 21-15, 15-11",2-1,Mol/Sorum
