season,episode,title,rating,votes,episode_year
1,1,Izuku Midoriya: Origin,7.6,5081,2016
1,2,What It Takes to Be a Hero,8.2,4849,2016
1,3,Roaring Muscles,7.7,4006,2016
1,4,Start Line,8.3,4362,2016
1,5,What I Can Do for Now,7.8,3764,2016
1,6,"Rage, You Damn Nerd",7.7,3628,2016
1,7,Deku vs. Kacchan,8.6,4347,2016
1,8,Bakugo's Start Line,7.5,3543,2016
1,9,"Yeah, Just Do Your Best, Iida!",7.2,3446,2016
1,10,Encounter with the Unknown,8,3558,2016
1,11,Game Over,8.6,3912,2016
1,12,All Might,9.3,5633,2016
1,13,Upon Each of Their Hearts,8.5,3910,2016
2,0,Hero Notebook,6,2014,2017
2,1,"That's the Idea, Ochaco",7.1,3163,2017
2,2,Roaring Sports Festival,7.5,3060,2017
2,3,In Their Own Quirky Ways,8.2,3416,2017
2,4,"Strategy, Strategy, Strategy",8,3133,2017
2,5,Cavalry Battle Finale,8.5,3598,2017
2,6,The Boy Born with Everything,7.6,3046,2017
2,7,Victory or Defeat,8,3123,2017
2,8,"Battle On, Challengers!",7.6,2963,2017
2,9,Bakugo vs. Uraraka,8.6,3734,2017
2,10,Shoto Todoroki: Origin,9.6,7975,2017
2,11,"Fight On, Iida",8,3020,2017
2,12,Todoroki vs. Bakugo,8.6,3587,2017
2,13,Time to Pick Some Names,7.4,2921,2017
2,14,Bizarre! Gran Torino Appears,7.6,2935,2017
2,15,Midoriya and Shigaraki,7.9,2961,2017
2,16,Hero Killer: Stain vs U.A. Students,9.1,4260,2017
2,17,Climax,9.2,4455,2017
2,18,The Aftermath of Hero Killer: Stain,7.6,2866,2017
2,19,Everyone's Internships,6.6,2889,2017
2,20,Listen Up!! A Tale from the Past,7.9,2917,2017
2,21,Gear Up for Final Exams,7.3,2783,2017
2,22,Yaoyorozu: Rising,8,2943,2017
2,23,Stripping the Varnish,7.4,2790,2017
2,24,Katsuki Bakugo: Origin,8.9,3927,2017
2,25,Encounter,8.1,3061,2017
3,1,Game Start,6.4,2907,2018
3,2,"Wild, Wild Pussycats",7.2,2863,2018
3,3,Kota,7.5,2896,2018
3,4,My Hero,9.5,7104,2018
3,5,"Drive It Home, Iron Fist!!!",8.6,3318,2018
3,6,Roaring Upheaval,8.5,3272,2018
3,7,What a Twist!,8.1,3042,2018
3,8,From Iida to Midoriya,7.8,2862,2018
3,9,All For One,9,4170,2018
3,10,Symbol of Peace,9.5,5517,2018
3,11,One For All,9.8,16356,2018
3,12,"End of the Beginning, Beginning of the End",8.2,3219,2018
3,13,Moving Into Dorms,7.2,2755,2018
3,14,Create Those Ultimate Moves,7.5,2677,2018
3,15,The Test,7.5,2636,2018
3,16,Shiketsu High Lurking,7.6,2644,2018
3,17,Class 1-A,7.7,2644,2018
3,18,RUSH!,8,2716,2018
3,19,Rescue Exercises,7.3,2575,2018
3,20,Special Episode - Save the World with Love!,6.3,2383,2018
3,21,What's the Big Idea?,8.1,2890,2018
3,22,A Talk About Your Quirk,8,2754,2018
3,23,"Deku vs. Kacchan, Part 2",9.4,5224,2018
3,24,A Season for Encounters,7.4,2585,2018
3,25,Unrivaled,8,2852,2018
4,1,The Scoop on U.A. Class 1-A,7,2725,2019
4,2,Overhaul,7.8,2781,2019
4,3,Boy Meets...,7.6,2656,2019
4,4,Fighting Fate,8.3,3065,2019
4,5,"Let's Go, Gutsy Red Riot",8.5,3208,2019
4,6,An Unpleasant Talk,7.5,2643,2019
4,7,Go!!,7.7,2606,2019
4,8,Suneater of the Big Three,8.3,3136,2019
4,9,Red Riot,9,4227,2019
4,10,Temp Squad,7.9,2693,2019
4,11,Lemillion,9.6,6761,2019
4,12,Unforeseen Hope,9.3,4441,2020
4,13,Infinite 100%,9.7,9364,2020
4,14,Bright Future,9.1,3965,2020
4,15,Smoldering Flames,7.3,2487,2020
4,16,Win Those Kids' Hearts,6.5,2560,2020
4,17,Relief for License Trainees,7,2515,2020
4,18,School Festival,6.7,2484,2020
4,19,Prepping for the School Festival Is the Funnest Part,6.8,2463,2020
4,20,Golden Tips Imperial,6.4,2457,2020
4,21,Deku vs. Gentle Criminal,7.3,2562,2020
4,22,School Festival Start!,8.2,3127,2020
4,23,Let It Flow! School Festival!,8.4,3477,2020
4,24,Japanese Hero Billboard Chart,7.5,2573,2020
4,25,His Start,9.7,10375,2020
5,1,All Hands on Deck! Class 1-A,6.5,2944,2021
5,2,Vestiges,8,2906,2021
5,3,Clash! Class A vs. Class B!,7.1,2525,2021
5,4,"Make It Happen, Shinso!",7.6,2552,2021
5,5,Operation New Improv Moves,7.3,2483,2021
5,6,Foresight,6.9,2474,2021
5,7,Match 3,7,2418,2021
5,8,Match 3 Conclusion,8.2,2964,2021
5,9,Early Bird!,8.6,3191,2021
5,10,That Which Is Inherited,8.8,3444,2021
5,11,Our Brawl,7.9,2560,2021
5,12,The New Power and All For One,7.4,2433,2021
5,13,Have a Merry Christmas!,6.8,2439,2021
5,14,Off to Endeavor's Agency!,7.5,2369,2021
5,15,One Thing at a Time,7.5,2348,2021
5,16,"Long Time No See, Selkie",5.5,2492,2021
5,17,The Hellish Todoroki Family,7.4,2443,2021
5,18,The Unforgiven,8.3,2804,2021
5,19,More of a Hero Than Anyone,8.6,3015,2021
5,20,My Villain Academia,7.7,2434,2021
5,21,Revival Party,7.9,2621,2021
5,22,Sad Man's Parade,8.4,2965,2021
5,23,Tenko Shimura: Origin,9.5,5549,2021
5,24,Tomura Shigaraki: Origin,9.1,3786,2021
5,25,"The High, Deep Blue Sky",7.5,2356,2021
6,1,A Quiet Beginning,8.1,3297,2022
6,2,"Mirko, the No. 5 Hero",8.6,3499,2022
6,3,One's Justice,9.3,4249,2022
6,4,Inheritance,8.8,3354,2022
6,5,The Thrill of Destruction,9.3,3919,2022
6,6,"Encounter, Part 2",9.1,3583,2022
6,7,Disaster Walker,8.8,3204,2022
6,8,League of Villains vs. U.A. Students,9.3,3726,2022
6,9,Katsuki Bakugo: Rising,9.6,4967,2022
6,10,The Ones Within Us,8.4,3132,2022
6,11,Dabi's Dance,9.5,4900,2022
6,12,Threads of Hope,8.9,3192,2022
6,13,Final Performance,8.4,2908,2022
6,14,Hellish Hell,7,2925,2023
6,15,Tartarus,8.2,2830,2023
6,16,"The Hellish Todoroki Family, Part 2",8.1,2802,2023
6,17,The Wrong Way to Put Out a Fire,9,3508,2023
6,18,Izuku Midoriya and Tomura Shigaraki,8.6,2968,2023
6,19,Full Power!!,8.7,3142,2023
6,20,Hired Gun,8.2,2838,2023
6,21,The Lovely Lady Nagant,9.2,3873,2023
6,22,Friend,8.7,3106,2023
6,23,Deku vs. Class A,9.5,4974,2023
6,24,A Young Woman's Declaration,8.8,3443,2023
6,25,No Man Is an Island,8,2720,2023
7,1,In the Nick of Time! A Big-Time Maverick from the West!,8.5,3611,2024
7,2,Specter,9.1,4158,2024
7,3,Villain,8,3210,2024
7,4,The Story of How We All Became Heroes,7.2,2942,2024
7,5,Let You Down,7.9,2967,2024
7,6,Division,8.8,3344,2024
7,7,Inflation,7.8,2975,2024
7,8,Two Flashfires,9.2,4400,2024
7,9,Extras,8.5,3095,2024
7,10,"Wounded Hero, Burning Bright and True!!",9.3,4128,2024
7,11,Light Fades to Rain,9.7,7082,2024
7,12,"Those Who Defend, Those Who Violate",9,3755,2024
7,13,"A Chain of Events, Across the Ages",9.5,4988,2024
7,14,Together with Shoji,8.1,3133,2024
7,15,Butterfly Effect,8.1,2871,2024
7,16,The Chain Thus Far,9,3836,2024
7,17,Hopes,8.7,3087,2024
7,18,It's a Small World,8.8,3209,2024
7,19,I Am Here,9.8,7480,2024
7,20,A Girl's Ego,8.7,4434,2024
7,21,Battle Without a Quirk,9.4,4702,2024
8,1,Toshinori Yagi: Rising/Origin,9.1,14023,2025
8,2,"The End of an Era, and the Beginning",9.6,15938,2025
8,3,The Final Boss!!,9.8,22061,2025
8,4,Quirk: Explosion!!,9.8,17227,2025
8,5,History's Greatest Villain,9.1,13586,2025
8,6,"Wrench It Open, Izuku Midoriya!!",9.3,13335,2025
8,7,From Aizawa,9.6,14369,2025
8,8,Izuku Midoriya: Rising,9.8,31150,2025
8,9,"Epilogue, The Hellish Todoroki Family: Final",9.2,12986,2025
8,10,The Girl Who Loves Smiles,9,9736,2025
8,11,My Hero Academia,9.4,10190,2025
