season,episode,title,rating,votes
1,1,Pilot,7.6,3289
1,2,Kryptonite,7.2,2406
1,3,Wedding,7.5,2311
1,4,Naked,7.9,2277
1,5,Cece Crashes,7.7,2081
1,6,Thanksgiving,7.7,2070
1,7,Bells,7,1977
1,8,Bad in Bed,7.4,1940
1,9,The 23rd,7.6,1915
1,10,The Story of the 50,7.6,1945
1,11,Jess & Julia,7.8,1896
1,12,The Landlord,8,2039
1,13,Valentine's Day,7.7,1835
1,14,Bully,7.3,1697
1,15,Injured,7.8,1939
1,16,Control,7.3,1669
1,17,Fancyman Part 1,7.8,1770
1,18,Fancyman Part 2,7.9,1706
1,19,Secrets,8.1,1801
1,20,Normal,7.6,1639
1,21,Kids,7.8,1704
1,22,Tomatoes,7.5,1646
1,23,Backslide,7.5,1613
1,24,See Ya,7.8,1719
2,1,Re-launch,7.3,1721
2,2,Katie,7.7,1743
2,3,Fluffer,7.6,1602
2,4,Neighbors,7.1,1594
2,5,Models,7.7,1626
2,6,Halloween,7.8,1606
2,7,Menzies,7.8,1650
2,8,Parents,7.7,1542
2,9,Eggs,7.5,1500
2,10,Bathtub,7.7,1496
2,11,Santa,8.1,1650
2,12,Cabin,7.7,1553
2,13,A Father's Love,7,1445
2,14,Pepperwood,7.9,1637
2,15,Cooler,9.1,2991
2,16,Table 34,8.1,1593
2,17,Parking Spot,8.1,1588
2,18,Tinfinity,7.7,1459
2,19,Quick Hardening Caulk,8.4,1847
2,20,Chicago,7.6,1603
2,21,First Date,7.7,1493
2,22,Bachelorette Party,7.5,1394
2,23,Virgins,8.4,1923
2,24,Winston's Birthday,8,1498
2,25,Elaine's Big Day,8.6,1911
3,1,All In,7.7,1561
3,2,Nerd,7.5,1370
3,3,Double Date,7.6,1375
3,4,The Captain,7.4,1325
3,5,The Box,7.1,1293
3,6,Keaton,7.5,1304
3,7,Coach,7.6,1333
3,8,Menus,7.3,1263
3,9,Longest Night Ever,7.4,1251
3,10,Thanksgiving III,7.3,1252
3,11,Clavado En Un Bar,7.4,1253
3,12,Basketsball,7.2,1185
3,13,Birthday,8.3,1543
3,14,Prince,8.6,2150
3,15,Exes,7.5,1211
3,16,Sister,7.2,1195
3,17,Sister II,7.1,1144
3,18,Sister III,7.2,1125
3,19,Fired Up,7.6,1130
3,20,Mars Landing,7.2,1196
3,21,Big News,7.5,1152
3,22,Dance,7.4,1124
3,23,Cruise,7.7,1161
4,1,The Last Wedding,7.6,1286
4,2,Dice,7.5,1208
4,3,Julie Berkman's Older Sister,7.2,1147
4,4,Micro,7.2,1163
4,5,Landline,7.9,1272
4,6,Background Check,8.7,2033
4,7,Goldmine,8.1,1325
4,8,Teachers,7.9,1221
4,9,Thanksgiving IV,8.1,1239
4,10,Girl Fight,7.6,1114
4,11,LAXmas,7.5,1160
4,12,Shark,7.3,1037
4,13,Coming Out,7.1,1028
4,14,Swuit,7.1,1035
4,15,The Crawl,7.6,1097
4,16,Oregon,7.4,1072
4,17,Spiderhunt,8.2,1316
4,18,Walk of Shame,7.5,1114
4,19,The Right Thing,7.3,1042
4,20,Par 5,7.3,1048
4,21,Panty Gate,7.6,1062
4,22,Clean Break,9,2099
5,1,Big Mama P,7.8,1248
5,2,What About Fred,7.2,1070
5,3,Jury Duty,7.5,1038
5,4,No Girl,7.3,1065
5,5,Bob & Carol & Nick & Schmidt,7.3,1063
5,6,Reagan,7.5,1208
5,7,Wig,7.2,1064
5,8,The Decision,7.3,1042
5,9,Heat Wave,7.3,1048
5,10,Goosebumps Walkaway,7.4,1050
5,11,The Apartment,7.3,977
5,12,D-Day,7.8,1024
5,13,"Sam, Again",7.1,991
5,14,300 Feet,7,1003
5,15,Jeff Day,7.1,969
5,16,Helmet,7.5,963
5,17,Road Trip,7.6,1107
5,18,A Chill Day In,8.1,1155
5,19,Dress,7.2,908
5,20,Return to Sender,7.4,922
5,21,Wedding Eve,8.2,1086
5,22,Landing Gear,8.8,1477
6,1,House Hunt,7.5,1002
6,2,Hubbedy Bubby,6.5,1231
6,3,Single and Sufficient,7.1,920
6,4,Homecoming,7.5,1142
6,5,Jaipur Aviv,7.4,903
6,6,Ready,7.2,881
6,7,Last Thanksgiving,7.1,874
6,8,James Wonder,7.3,886
6,9,Es Good,7.1,861
6,10,Christmas Eve Eve,7.5,923
6,11,Raisin's Back,7.3,873
6,12,The Cubicle,7.2,833
6,13,Cece's Boys,7.3,887
6,14,The Hike,7.4,883
6,15,Glue,7.7,895
6,16,Operation: Bobcat,7.8,905
6,17,Rumspringa,7,846
6,18,Young Adult,7.5,842
6,19,Socalyalcon VI,7.5,865
6,20,Misery,7.4,856
6,21,San Diego,8.1,948
6,22,Five Stars for Beezus,9.1,1822
7,1,About Three Years Later,7.2,1061
7,2,Tuesday Meeting,7,885
7,3,Lillypads,7.2,874
7,4,Where the Road Goes,7.4,904
7,5,Godparents,7.2,847
7,6,Mario,7.8,886
7,7,The Curse of the Pirate Bride,7.9,950
7,8,Engram Pattersky,8.3,1364
