season,episode,title,rating,votes,episode_year
1,1,Pilot,6.9,4736,2009
1,2,Canvassing,7,4039,2009
1,3,The Reporter,7.1,3788,2009
1,4,Boys' Club,7.2,3676,2009
1,5,The Banquet,7.1,3546,2009
1,6,Rock Show,7.6,3575,2009
2,1,Pawnee Zoo,7.8,3715,2009
2,2,The Stakeout,8,3540,2009
2,3,Beauty Pageant,7.6,3403,2009
2,4,Practice Date,8.2,3477,2009
2,5,Sister City,7.6,3666,2009
2,6,Kaboom,7.5,3207,2009
2,7,Greg Pikitis,8.2,3487,2009
2,8,Ron and Tammy,8.3,3500,2009
2,9,The Camel,7.7,3166,2009
2,10,Hunting Trip,8.6,3782,2009
2,11,Tom's Divorce,7.7,3083,2009
2,12,Christmas Scandal,7.9,3121,2009
2,13,The Set Up,7.9,3129,2010
2,14,Leslie's House,7.8,3041,2010
2,15,Sweetums,7.7,2995,2010
2,16,Galentine's Day,7.5,3005,2010
2,17,Woman of the Year,7.9,2985,2010
2,18,The Possum,7.9,2987,2010
2,19,Park Safety,8,3082,2010
2,20,Summer Catalog,7.7,2923,2010
2,21,94 Meetings,8.4,3170,2010
2,22,Telethon,8.2,3048,2010
2,23,The Master Plan,8.4,3124,2010
2,24,Freddy Spaghetti,8.5,3166,2010
3,1,Go Big or Go Home,8.1,3026,2011
3,2,Flu Season,8.9,3824,2011
3,3,Time Capsule,8,2973,2011
3,4,Ron & Tammy 2,8.5,3232,2011
3,5,Media Blitz,7.9,2918,2011
3,6,Indianapolis,8,2896,2011
3,7,Harvest Festival,8.7,3305,2011
3,8,Camping,7.9,2904,2011
3,9,Andy and April's Fancy Party,8.9,3684,2011
3,10,Soulmates,8.4,3052,2011
3,11,Jerry's Painting,8.6,3077,2011
3,12,Eagleton,8.1,2919,2011
3,13,The Fight,8.8,3698,2011
3,14,Road Trip,8.4,3096,2011
3,15,The Bubble,8.1,2810,2011
3,16,Li'l Sebastian,8.8,3316,2011
4,1,I'm Leslie Knope,8,2826,2011
4,2,Ron and Tammys,8.6,3086,2011
4,3,Born and Raised,8,2757,2011
4,4,Pawnee Rangers,8.2,3015,2011
4,5,Meet 'N' Greet,7.7,2704,2011
4,6,End of the World,8.4,3066,2011
4,7,The Treaty,7.8,2758,2011
4,8,Smallest Park,7.9,2719,2011
4,9,The Trial of Leslie Knope,8.4,2834,2011
4,10,Citizen Knope,8.4,2761,2011
4,11,The Comeback Kid,8.5,3101,2012
4,12,Campaign Ad,8.3,2697,2012
4,13,Bowling for Votes,8.5,2812,2012
4,14,Operation Ann,8.1,2651,2012
4,15,Dave Returns,7.8,2572,2012
4,16,Sweet Sixteen,7.6,2537,2012
4,17,Campaign Shake-Up,7.9,2523,2012
4,18,Lucky,7.8,2536,2012
4,19,Live Ammo,7.8,2505,2012
4,20,The Debate,8.7,2923,2012
4,21,Bus Tour,8.2,2600,2012
4,22,"Win, Lose or Draw",9,3134,2012
5,1,Ms. Knope Goes to Washington,7.8,2597,2012
5,2,Soda Tax,7.8,2550,2012
5,3,How a Bill Becomes a Law,7.9,2523,2012
5,4,Sex Education,8,2560,2012
5,5,Halloween Surprise,8.6,2833,2012
5,6,Ben's Parents,7.7,2488,2012
5,7,Leslie vs. April,7.7,2461,2012
5,8,Pawnee Commons,7.7,2435,2012
5,9,Ron and Diane,8.9,3132,2012
5,10,Two Parties,8.8,3046,2013
5,11,Women in Garbage,8,2495,2013
5,12,Ann's Decision,7.6,2409,2013
5,13,Emergency Response,8.5,2580,2013
5,14,Leslie and Ben,9.2,3462,2013
5,15,Correspondents' Lunch,7.7,2320,2013
5,16,Bailout,8,2400,2013
5,17,Partridge,7.5,2296,2013
5,18,Animal Control,8.2,2395,2013
5,19,Article Two,7.9,2329,2013
5,20,Jerry's Retirement,8,2335,2013
5,21,Swing Vote,7.5,2246,2013
5,22,Are You Better Off?,8.2,2380,2013
6,1,London: Part 1,8.5,2683,2013
6,2,London: Part 2,8.6,2513,2013
6,3,The Pawnee-Eagleton Tip Off Classic,7.6,2325,2013
6,4,Doppelgängers,7.9,2416,2013
6,5,Gin It Up!,7.7,2263,2013
6,6,Filibuster,8,2328,2013
6,7,Recall Vote,7.5,2230,2013
6,8,Fluoride,7.6,2275,2013
6,9,The Cones of Dunshire,8.1,2350,2013
6,10,Second Chunce,7.5,2222,2014
6,11,New Beginnings,7.6,2193,2014
6,12,Farmers Market,7.6,2239,2014
6,13,Ann and Chris,8.8,2897,2014
6,14,Anniversaries,7.8,2233,2014
6,15,The Wall,7.6,2143,2014
6,16,New Slogan,7.4,2132,2014
6,17,Galentine's Day,7.5,2131,2014
6,18,Prom,7.6,2139,2014
6,19,Flu Season 2,8.3,2366,2014
6,20,"One in 8,000",8.1,2170,2014
6,21,Moving Up: Part 1,8.8,2714,2014
6,22,Moving Up: Part 2,9.2,3560,2014
7,1,2017,7.5,2550,2015
7,2,Ron & Jammy,8.1,2463,2015
7,3,William Henry Harrison,7.2,2282,2015
7,4,Leslie and Ron,9.5,5016,2015
7,5,Gryzzlbox,8.1,2262,2015
7,6,Save JJ's,7.9,2214,2015
7,7,Donna and Joe,8.3,2306,2015
7,8,Ms. Ludgate-Dwyer Goes to Washington,8,2266,2015
7,9,Pie-Mary,8.2,2355,2015
7,10,The Johnny Karate Super Awesome Musical Explosion Show,8.3,3128,2015
7,11,Two Funerals,8.4,2398,2015
7,12,One Last Ride,9.5,5857,2015
