season,episode,title,rating,votes
1,1,Pilot,8.2,7496
1,2,Ghosts,7.9,5720
1,3,Mission Creep,8,5167
1,4,Cura Te Ipsum,8.3,5024
1,5,Judgement,8.2,4833
1,6,The Fix,8.5,5092
1,7,Witness,8.8,5380
1,8,Foe,8.1,4681
1,9,Get Carter,8.6,4852
1,10,Number Crunch,9,5507
1,11,Super,8.6,4662
1,12,Legacy,8.2,4237
1,13,Root Cause,8.7,4792
1,14,Wolf and Cub,8,4210
1,15,Blue Code,8.5,4288
1,16,Risk,8.2,4125
1,17,Baby Blue,8.5,4382
1,18,Identity Crisis,8.3,4113
1,19,Flesh and Blood,8.9,4708
1,20,Matsya Nyaya,8.7,4390
1,21,Many Happy Returns,9.1,5052
1,22,No Good Deed,9,4523
1,23,Firewall,9.6,8583
2,1,The Contingency,8.9,4922
2,2,Bad Code,9,4479
2,3,Masquerade,8.2,3797
2,4,Triggerman,8,3653
2,5,Bury the Lede,8.6,3952
2,6,The High Road,8.3,3590
2,7,Critical,8.3,3719
2,8,Til Death,8,3640
2,9,C.O.D.,8,3463
2,10,Shadow Box,8.7,3936
2,11,2 Pi R,8.8,4235
2,12,Prisoner's Dilemma,9.4,5115
2,13,Dead Reckoning,9.2,4468
2,14,One Percent,8.2,3542
2,15,Booked Solid,8.4,3597
2,16,Relevance,9.2,5540
2,17,Proteus,8.4,3693
2,18,All In,8.1,3353
2,19,Trojan Horse,8.6,3582
2,20,In Extremis,8.7,3715
2,21,Zero Day,9.4,4879
2,22,God Mode,9.4,5850
3,1,Liberty,8.2,3793
3,2,Nothing to Hide,8.3,3432
3,3,Lady Killer,8.5,3723
3,4,Reasonable Doubt,7.9,3549
3,5,Razgovor,9.1,4305
3,6,Mors Praematura,8.9,3950
3,7,The Perfect Mark,8.5,3583
3,8,Endgame,9.4,5088
3,9,The Crossing,9.7,8600
3,10,The Devil's Share,9.6,8367
3,11,Lethe,9.1,4134
3,12,Aletheia,9.1,4021
3,13,4C,8.8,3985
3,14,Provenance,8,3347
3,15,Last Call,8.4,3439
3,16,RAM,9.2,4460
3,17,Root Path,9,3886
3,18,Allegiance,8.1,3151
3,19,Most Likely to...,8.5,3358
3,20,Death Benefit,9.1,3924
3,21,Beta,9.2,3994
3,22,A House Divided,9.1,3870
3,23,Deus Ex Machina,9.6,7578
4,1,Panopticon,8.8,4170
4,2,Nautilus,8.8,3853
4,3,Wingman,8.4,3345
4,4,Brotherhood,8.2,3324
4,5,Prophets,9,3936
4,6,Pretenders,8.6,3507
4,7,Honor Among Thieves,8.5,3447
4,8,Point of Origin,8.6,3477
4,9,The Devil You Know,9.4,4736
4,10,The Cold War,9.1,4052
4,11,If-Then-Else,9.8,15149
4,12,Control-Alt-Delete,9.1,4291
4,13,M.I.A.,8.7,3543
4,14,Guilty,8.3,3159
4,15,Q & A,8.6,3299
4,16,Blunt,7.8,3230
4,17,Karma,8.2,3056
4,18,Skip,8.6,3519
4,19,Search and Destroy,8.7,3458
4,20,Terra Incognita,8.8,4658
4,21,Asylum,9.4,5261
4,22,YHWH,9.7,9471
5,1,B.S.O.D.,9.1,5154
5,2,SNAFU,9.1,4194
5,3,Truth Be Told,8.5,3775
5,4,"6,741",9.3,6134
5,5,ShotSeeker,8.7,3701
5,6,A More Perfect Union,8.3,3577
5,7,QSO,8.8,3780
5,8,Reassortment,8.7,3678
5,9,Sotto Voce,9.2,4255
5,10,The Day the World Went Away,9.7,7932
5,11,Synecdoche,9.2,4286
5,12,.exe,9.5,4943
5,13,Return 0,9.7,14619
