season,episode,title,rating,votes,episode_year
1,1,Pilot,7.6,2451,2010
1,2,The Jenna Thing,7.5,1544,2010
1,3,To Kill a Mocking Girl,7.5,1375,2010
1,4,Can You Hear Me Now?,7.6,1290,2010
1,5,Reality Bites Me,7.5,1252,2010
1,6,There's No Place Like Homecoming,8,1259,2010
1,7,The Homecoming Hangover,7.5,1187,2010
1,8,"Please, Do Talk About Me When I'm Gone",7.5,1159,2010
1,9,The Perfect Storm,7.9,1189,2010
1,10,Keep Your Friends Close,8.2,1234,2010
1,11,Moments Later,7.8,1130,2011
1,12,Salt Meets Wound,7.6,1096,2011
1,13,Know Your Frenemies,8,1251,2011
1,14,Careful What U Wish 4,7.7,1079,2011
1,15,"If at First You Don't Succeed, Lie, Lie Again",7.7,1081,2011
1,16,Je Suis Une Amie,7.7,1052,2011
1,17,The New Normal,7.7,1040,2011
1,18,The Badass Seed,7.8,1055,2011
1,19,A Person of Interest,8,1077,2011
1,20,Someone to Watch Over Me,7.9,1031,2011
1,21,Monsters in the End,8.1,1048,2011
1,22,For Whom the Bell Tolls,8.4,1188,2011
2,1,It's Alive,8,1183,2011
2,2,The Goodbye Look,7.6,974,2011
2,3,My Name Is Trouble,7.7,945,2011
2,4,Blind Dates,8,949,2011
2,5,The Devil You Know,7.9,949,2011
2,6,Never Letting Go,7.9,957,2011
2,7,Surface Tension,7.7,902,2011
2,8,Save the Date,7.9,930,2011
2,9,Picture This,8,933,2011
2,10,Touched by an 'A'-ngel,7.8,914,2011
2,11,I Must Confess,8.1,928,2011
2,12,Over My Dead Body,8.6,1301,2011
2,13,The First Secret,8.5,1249,2011
2,14,"Through Many Dangers, Toils, and Snares",8.4,1069,2012
2,15,A Hot Piece of A,8.2,988,2012
2,16,Let the Water Hold Me Down,7.7,898,2012
2,17,Blond Leading the Blind,7.8,896,2012
2,18,A Kiss Before Lying,7.8,902,2012
2,19,The Naked Truth,8.2,952,2012
2,20,CTRL:A,8.1,926,2012
2,21,Breaking the Code,8.1,907,2012
2,22,Father Knows Best,7.8,889,2012
2,23,Eye of the Beholder,7.9,893,2012
2,24,If These Dolls Could Talk,8.5,1063,2012
2,25,unmAsked,9,1540,2012
3,1,It Happened 'That Night',8.1,1260,2012
3,2,Blood Is the New Black,8,936,2012
3,3,Kingdom of the Blind,8,887,2012
3,4,Birds of a Feather,7.7,878,2012
3,5,That Girl Is Poison,7.7,884,2012
3,6,The Remains of the 'A',7.6,865,2012
3,7,Crazy,8,873,2012
3,8,Stolen Kisses,7.7,892,2012
3,9,The Kahn Game,7.8,879,2012
3,10,What Lies Beneath,7.7,844,2012
3,11,Single Fright Female,7.8,858,2012
3,12,The Lady Killer,8.9,1317,2012
3,13,This Is a Dark Ride,8.9,1455,2012
3,14,She's Better Now,7.9,899,2013
3,15,Mona-Mania,7.9,843,2013
3,16,Misery Loves Company,8.4,960,2013
3,17,"Out of the Frying Pan, Into the Inferno",8,836,2013
3,18,Dead to Me,7.8,823,2013
3,19,What Becomes of the Broken-Hearted,8,841,2013
3,20,Hot Water,7.9,809,2013
3,21,"Out of Sight, Out of Mind",8,813,2013
3,22,Will the Circle Be Unbroken?,7.7,785,2013
3,23,I'm Your Puppet,8.2,845,2013
3,24,A Dangerous gAme,8.6,1144,2013
4,1,A Is for A-l-i-v-e,8.2,1263,2013
4,2,Turn of the Shoe,7.8,810,2013
4,3,Cat's Cradle,7.4,806,2013
4,4,Face Time,7.7,778,2013
4,5,Gamma Zeta Die!,7.8,789,2013
4,6,Under the Gun,7.7,784,2013
4,7,"Crash and Burn, Girl!",7.9,777,2013
4,8,The Guilty Girl's Handbook,7.9,779,2013
4,9,Into the Deep,7.8,734,2013
4,10,The Mirror Has Three Faces,7.9,782,2013
4,11,Bring Down the Hoe,7.8,790,2013
4,12,"Now You See Me, Now You Don't",8.8,1327,2013
4,13,Grave New World,8.4,1171,2013
4,14,Who's in the Box?,7.6,827,2014
4,15,"Love ShAck, Baby",7.8,757,2014
4,16,Close Encounters,7.7,731,2014
4,17,Bite Your Tongue,8.1,804,2014
