fips,county_name,rdc_period,rdc_median_list,rdc_median_list_yoy,rdc_dom,rdc_active_listings,rdc_new_listings,rdc_pending_listings,rdc_price_reduced_share,rdc_pending_ratio,rdc_hotness_score,rdc_supply_score,rdc_demand_score,rdc_hotness_rank
56029,"park, wy",202603,549750,-0.0714,66,139,50,34,0.1992,0.241,56.62128712871287,36.20049504950495,77.04207920792079,619
05067,"jackson, ar",202603,134975,0.0391,72,39,12,11,0.0691,0.2727,NA,NA,NA,NA
42053,"forest, pa",202603,217425,0.1301,133,22,8,12,0.0455,0.5349,NA,NA,NA,NA
21013,"bell, ky",202603,194600,-0.127,91,44,12,20,0.1045,0.4483,NA,NA,NA,NA
13155,"irwin, ga",202603,230475,0.0243,97,11,2,5,0.225,0.4545,NA,NA,NA,NA
29079,"grundy, mo",202603,169900,-0.2003,111,22,8,11,0.1565,0.4773,NA,NA,NA,NA
24045,"wicomico, md",202603,309900,0.0333,66,280,128,150,0.1659,0.5349,36.16955445544554,36.07673267326732,36.26237623762376,1114
36109,"tompkins, ny",202603,416750,-0.1551,33,107,90,168,0.05,1.5775,85.30321782178217,95.48267326732672,75.12376237623762,130
13171,"lamar, ga",202603,350000,0.0638,54,77,48,38,0.1779,0.4902,NA,NA,NA,NA
39077,"huron, oh",202603,250725,0.1143,41,73,42,58,0.1155,0.8,91.46039603960396,86.38613861386139,96.53465346534654,52
27149,"stevens, mn",202603,203650,-0.1564,21,15,14,14,0,0.931,NA,NA,NA,NA
17085,"jo daviess, il",202603,330675,-0.0271,62,109,46,52,0.0773,0.4771,NA,NA,NA,NA
21239,"woodford, ky",202603,549225,0.0827,76,71,34,61,0.1654,0.8582,36.4480198019802,21.782178217821784,51.113861386138616,1104
55007,"bayfield, wi",202603,466225,0.0157,94,57,22,27,0.0781,0.4779,NA,NA,NA,NA
28047,"harrison, ms",202603,299999,0.0033,75,997,314,418,0.1894,0.4188,25.618811881188115,22.896039603960396,28.34158415841584,1366
29205,"shelby, mo",202603,142950,-0.1831,41,11,4,4,0.2353,0.3333,NA,NA,NA,NA
53053,"pierce, wa",202603,644384,0.0124,39,1652,1098,1182,0.1704,0.7154,46.72029702970297,88.79950495049505,4.641089108910891,846
48351,"newton, tx",202603,239675,0.2044,104,72,14,7,0.174,0.0979,NA,NA,NA,NA
54067,"nicholas, wv",202603,196250,-0.0138,91,53,20,9,0.0976,0.1714,41.089108910891085,11.757425742574256,70.42079207920791,975
45087,"union, sc",202603,205000,0.0677,79,67,22,23,0.2655,0.3383,32.363861386138616,19.8019801980198,44.92574257425743,1212
40021,"cherokee, ok",202603,302500,0.0298,58,151,56,49,0.1844,0.3212,34.77722772277228,51.98019801980198,17.574257425742573,1158
30071,"phillips, mt",202603,217500,-0.1212,167,13,2,1,0,0.0769,NA,NA,NA,NA
49041,"sevier, ut",202603,417750,0.0853,55,87,36,31,0.103,0.3506,NA,NA,NA,NA
27071,"koochiching, mn",202603,252000,0.327,118,39,8,10,0.0708,0.2436,NA,NA,NA,NA
28125,"sharkey, ms",202603,191225,0.2141,51,3,0,2,0,0.6,NA,NA,NA,NA
48207,"haskell, tx",202603,149375,-0.1582,171,14,8,6,0,0.3929,NA,NA,NA,NA
51075,"goochland, va",202603,703199,0.0885,53,67,42,100,0.0776,1.5038,59.9009900990099,63.242574257425744,56.559405940594054,542
45081,"saluda, sc",202603,530750,0.1293,79,23,10,11,0.1014,0.4565,NA,NA,NA,NA
34029,"ocean, nj",202603,535000,-0.1082,49,1965,1056,1191,0.1107,0.6059,66.6769801980198,72.71039603960396,60.64356435643564,419
17171,"scott, il",202603,57400,-0.5986,69,4,6,3,0,0.75,NA,NA,NA,NA
23029,"washington, me",202603,309225,0.0833,146,207,40,17,0.1215,0.0823,36.50990099009901,0.3094059405940594,72.71039603960396,1103
47181,"wayne, tn",202603,299950,0.0659,117,51,16,14,0.1242,0.2745,NA,NA,NA,NA
40051,"grady, ok",202603,348500,0.0723,63,285,100,119,0.2107,0.4165,27.846534653465348,41.76980198019802,13.923267326732674,1321
37095,"hyde, nc",202603,537500,0.5716,109,31,6,8,0.0385,0.2623,NA,NA,NA,NA
21195,"pike, ky",202603,257475,0.034,102,97,28,33,0.1026,0.342,31.404702970297027,6.126237623762377,56.68316831683168,1232
27137,"st. louis, mn",202603,322000,0.0769,54,347,190,180,0.1184,0.5173,79.1769801980198,61.50990099009901,96.8440594059406,220
22083,"richland, la",202603,305000,0.1091,162,39,8,16,0.1736,0.3974,NA,NA,NA,NA
19115,"louisa, ia",202603,199000,0.0763,81,29,10,7,0.0911,0.2456,NA,NA,NA,NA
20165,"rush, ks",202603,124975,0.3584,52,8,2,3,0,0.375,NA,NA,NA,NA
39111,"monroe, oh",202603,169500,-0.1032,78,21,8,6,0.125,0.2857,NA,NA,NA,NA
42029,"chester, pa",202603,616200,-0.0061,36,563,514,622,0.072,1.1058,90.0680693069307,91.89356435643565,88.24257425742574,69
48175,"goliad, tx",202603,375000,0.1542,153,37,6,5,0.3502,0.1351,NA,NA,NA,NA
38025,"dunn, nd",202603,379000,1.1114,100,8,0,2,0.2222,0.1875,NA,NA,NA,NA
48385,"real, tx",202603,476250,-0.0104,82,57,10,5,0.0548,0.0789,NA,NA,NA,NA
39147,"seneca, oh",202603,189900,0.0411,45,44,30,27,0.1071,0.6092,88.64480198019803,78.5891089108911,98.70049504950497,82
36111,"ulster, ny",202603,599000,0.0911,103,415,138,184,0.1103,0.4434,31.683168316831683,5.693069306930694,57.67326732673267,1225
32033,"white pine, nv",202603,190500,-0.1496,137,35,12,3,0.0897,0.0857,NA,NA,NA,NA
37027,"caldwell, nc",202603,339000,-0.0314,74,201,96,106,0.1903,0.5249,53.496287128712865,24.93811881188119,82.05445544554455,686
39107,"mercer, oh",202603,299450,0.4614,40,32,32,36,0.0582,1.1094,88.11881188118812,87.5,88.73762376237624,90
08071,"las animas, co",202603,299000,-0.08,126,141,24,24,0.1507,0.1702,NA,NA,NA,NA
45071,"newberry, sc",202603,462500,0.2235,40,87,44,45,0.1203,0.5115,67.48143564356435,87.06683168316832,47.8960396039604,404
28105,"oktibbeha, ms",202603,399500,0.0165,57,122,56,36,0.0979,0.2963,50.40222772277228,55.25990099009901,45.54455445544555,759
49017,"garfield, ut",202603,602000,0.0946,96,47,8,5,0.1652,0.0957,NA,NA,NA,NA
48253,"jones, tx",202603,229999,-0.0263,86,41,18,38,0.1085,0.9146,NA,NA,NA,NA
48177,"gonzales, tx",202603,331000,0.0032,146,72,16,6,0.1365,0.0764,NA,NA,NA,NA
48017,"bailey, tx",202603,237000,-0.0885,65,21,8,5,0.1112,0.2381,NA,NA,NA,NA
22037,"east feliciana, la",202603,256250,-0.2882,102,43,8,11,0.1988,0.2588,NA,NA,NA,NA
17007,"boone, il",202603,352153,0.0956,55,50,46,82,0.1273,1.6465,78.03217821782178,60.3960396039604,95.66831683168316,230
40065,"jackson, ok",202603,227450,0.1816,68,93,38,39,0.1551,0.414,NA,NA,NA,NA
04007,"gila, az",202603,502225,0.008,62,328,124,88,0.1967,0.2672,44.987623762376245,44.36881188118812,45.60643564356436,887
17081,"jefferson, il",202603,213625,0.2214,54,72,36,31,0.1059,0.4336,59.03465346534654,62.12871287128713,55.940594059405946,564
05033,"crawford, ar",202603,298000,0.0447,60,165,68,17,0.1931,0.1003,54.88861386138613,46.59653465346535,63.180693069306926,656
31041,"custer, ne",202603,213650,-0.0354,89,35,12,7,0.0858,0.2,NA,NA,NA,NA
40069,"johnston, ok",202603,330124,-0.0766,124,30,8,5,0.0953,0.1695,NA,NA,NA,NA
51009,"amherst, va",202603,318725,0.1698,50,55,42,41,0.098,0.7523,70.63737623762376,69.92574257425743,71.3490099009901,351
17147,"piatt, il",202603,236250,0.2441,50,30,18,23,0.2039,0.7627,NA,NA,NA,NA
27019,"carver, mn",202603,509550,-0.0899,36,245,218,215,0.0711,0.8773,69.46163366336634,92.14108910891088,46.78217821782179,373
09120,"greater bridgeport planning region, ct",202603,542940,0.0881,40,313,256,319,0.0599,1.0176,91.24381188118812,87.5,94.98762376237624,55
08051,"gunnison, co",202603,1547500,0.5553,107,233,40,43,0.1048,0.1849,NA,NA,NA,NA
39165,"warren, oh",202603,462000,0.0043,55,429,330,388,0.1286,0.9044,66.46039603960396,60.3960396039604,72.52475247524752,421
55085,"oneida, wi",202603,435000,-0.0091,103,84,40,60,0.076,0.7143,49.628712871287135,5.693069306930694,93.56435643564356,775
17015,"carroll, il",202603,299975,0.143,46,48,22,18,0.2099,0.3789,NA,NA,NA,NA
29159,"pettis, mo",202603,253675,0.0482,57,82,52,59,0.1567,0.7195,67.20297029702971,56.86881188118812,77.53712871287128,410
47079,"henry, tn",202603,291925,0.0445,96,141,40,31,0.196,0.2163,25.340346534653463,8.725247524752474,41.95544554455445,1371
30093,"silver bow, mt",202603,367250,0.0496,61,125,58,49,0.1031,0.3896,54.67202970297029,45.8539603960396,63.49009900990099,658
56027,"niobrara, wy",202603,148750,-0.0789,35,6,0,1,0,0.1667,NA,NA,NA,NA
36091,"saratoga, ny",202603,676960,0.0819,66,408,206,432,0.0651,1.0588,47.98886138613861,35.086633663366335,60.89108910891089,824
48179,"gray, tx",202603,122475,-0.1835,73,103,32,18,0.1873,0.1748,NA,NA,NA,NA
40135,"sequoyah, ok",202603,221438,-0.1316,87,198,32,14,0.1923,0.0709,10.148514851485148,14.294554455445544,6.002475247524752,1574
20005,"atchison, ks",202603,166975,-0.2049,57,43,30,16,0.1582,0.3647,NA,NA,NA,NA
19007,"appanoose, ia",202603,199700,0.1747,106,90,22,12,0.132,0.1341,NA,NA,NA,NA
41003,"benton, or",202603,649278,-0.0087,51,155,70,65,0.1629,0.4161,44.30693069306931,67.94554455445545,20.668316831683168,901
48119,"delta, tx",202603,192000,-0.1983,77,26,10,6,0.2506,0.2115,NA,NA,NA,NA
46093,"meade, sd",202603,509900,0.053,62,87,30,52,0.1392,0.592,37.68564356435643,43.93564356435643,31.435643564356436,1077
17155,"putnam, il",202603,233250,0.0849,60,19,6,10,0.0417,0.5135,NA,NA,NA,NA
49003,"box elder, ut",202603,471175,0.0199,49,193,88,79,0.1903,0.4078,45.637376237623755,72.02970297029702,19.245049504950497,866
37175,"transylvania, nc",202603,625000,-0.0741,107,255,104,58,0.1208,0.2275,19.461633663366335,4.207920792079208,34.71534653465346,1468
39011,"auglaize, oh",202603,277450,-0.0088,68,42,30,44,0.0847,1.0482,60.64356435643565,32.17821782178218,89.10891089108911,528
31127,"nemaha, ne",202603,153500,-0.3282,70,27,8,7,0.0455,0.2593,NA,NA,NA,NA
25025,"suffolk, ma",202603,894250,-0.0805,36,1232,902,125,0.1071,0.1011,59.03465346534654,92.759900990099,25.30940594059406,564
29133,"mississippi, mo",202603,180000,0.6744,101,42,8,10,0.0684,0.2262,NA,NA,NA,NA
55105,"rock, wi",202603,354671,0.05,45,252,176,219,0.0842,0.8708,88.0878712871287,78.46534653465346,97.71039603960396,92
29225,"webster, mo",202603,309225,0.0141,64,120,44,71,0.1533,0.5941,49.59777227722772,39.17079207920792,60.02475247524752,779
08019,"clear creek, co",202603,729950,0.123,63,78,28,13,0.1638,0.1613,NA,NA,NA,NA
27161,"waseca, mn",202603,299900,0.3255,47,23,18,23,0.1583,0.9783,NA,NA,NA,NA
22091,"st. helena, la",202603,407500,0.3042,78,15,2,3,0.2995,0.2069,NA,NA,NA,NA
30111,"yellowstone, mt",202603,459725,0.0218,50,491,220,247,0.1388,0.502,76.33044554455445,71.10148514851485,81.55940594059405,258
31069,"garden, ne",202603,162000,-0.594,116,7,2,1,0,0.1429,NA,NA,NA,NA
26069,"iosco, mi",202603,202250,-0.0134,87,131,40,27,0.1458,0.2031,43.50247524752476,14.0470297029703,72.95792079207921,917
48055,"caldwell, tx",202603,318398,-0.0771,87,206,52,89,0.2124,0.4307,10.024752475247524,14.294554455445544,5.754950495049505,1575
12097,"osceola, fl",202603,420000,-0.023,84,4034,1050,1184,0.188,0.2935,10.860148514851486,16.76980198019802,4.9504950495049505,1564
54045,"logan, wv",202603,130000,-0.2571,92,22,8,20,0.1617,0.8864,23.824257425742573,11.076732673267326,36.57178217821782,1397
51193,"westmoreland, va",202603,382500,0.0932,72,166,68,57,0.1569,0.3434,NA,NA,NA,NA
38075,"renville, nd",202603,189000,-0.2974,69,9,2,6,0.1538,0.6111,NA,NA,NA,NA
53001,"adams, wa",202603,355000,-0.0379,96,57,14,12,0.2057,0.2105,NA,NA,NA,NA
40105,"nowata, ok",202603,245625,0.31,101,22,10,12,0.1429,0.5455,NA,NA,NA,NA
