season,episode,title,rating,votes,episode_year
1,1,My First Day,8.3,3143,2001
1,2,My Mentor,8,2450,2001
1,3,My Best Friend's Mistake,7.8,2306,2001
1,4,My Old Lady,9.1,3435,2001
1,5,My Two Dads,8.1,2104,2001
1,6,My Bad,8.1,2075,2001
1,7,My Super Ego,7.9,1986,2001
1,8,My Fifteen Minutes,8,1970,2001
1,9,My Day Off,8,1902,2001
1,10,My Nickname,8,1928,2001
1,11,My Own Personal Jesus,7.7,1957,2001
1,12,My Blind Date,8.1,1862,2002
1,13,My Balancing Act,7.8,1816,2002
1,14,My Drug Buddy,8.1,1841,2002
1,15,My Bed Banter & Beyond,8.4,1995,2002
1,16,My Heavy Meddle,7.7,1718,2002
1,17,My Student,7.8,1739,2002
1,18,My Tuscaloosa Heart,7.7,1710,2002
1,19,My Old Man,8,1719,2002
1,20,My Way or the Highway,7.8,1636,2002
1,21,My Sacrificial Clam,7.6,1625,2002
1,22,My Occurrence,9,2338,2002
1,23,My Hero,8.7,1927,2002
1,24,My Last Day,8.7,1787,2002
2,1,My Overkill,8.5,1918,2002
2,2,My Nightingale,7.8,1560,2002
2,3,My Case Study,7.9,1508,2002
2,4,My Big Mouth,7.7,1495,2002
2,5,My New Coat,7.7,1480,2002
2,6,My Big Brother,7.8,1505,2002
2,7,My First Step,7.9,1478,2002
2,8,My Fruit Cups,8.1,1513,2002
2,9,My Lucky Day,8,1488,2002
2,10,My Monster,8,1504,2002
2,11,My Sex Buddy,8.1,1472,2003
2,12,My New Old Friend,8,1449,2003
2,13,My Philosophy,8.5,1720,2003
2,14,"My Brother, My Keeper",7.8,1453,2003
2,15,His Story,8.6,1612,2003
2,16,My Karma,8,1414,2003
2,17,My Own Private Practice Guy,7.9,1407,2003
2,18,My T.C.W.,8.5,1593,2003
2,19,My Kingdom,7.8,1374,2003
2,20,My Interpretation,8.2,1444,2003
2,21,My Drama Queen,7.9,1372,2003
2,22,My Dream Job,8.5,1536,2003
3,1,My Own American Girl,8,1425,2003
