season,episode,title,rating,votes
1,1,"Good News, Bad News",7.3,7545
1,2,The Stakeout,7.5,6433
1,3,The Robbery,7.4,5900
1,4,Male Unbonding,7.2,5739
1,5,The Stock Tip,7.3,5545
2,1,The Ex-Girlfriend,7.5,5417
2,2,The Pony Remark,7.8,5634
2,3,The Jacket,8.2,5758
2,4,The Phone Message,8.3,5563
2,5,The Apartment,7.7,5091
2,6,The Statue,7.8,5134
2,7,The Revenge,8.2,5255
2,8,The Heart Attack,7.8,5179
2,9,The Deal,8.2,5213
2,10,The Baby Shower,7.4,4965
2,11,The Chinese Restaurant,8.6,6245
2,12,The Busboy,7.6,4965
3,1,The Note,8.2,5323
3,2,The Truth,7.7,4797
3,3,The Pen,8.2,5390
3,4,The Dog,7.1,5170
3,5,The Library,8.5,5869
3,6,The Parking Garage,8.7,6379
3,7,The Cafe,8.3,5029
3,8,The Tape,8.7,5465
3,9,The Nose Job,7.8,4899
3,10,The Stranded,7.4,4791
3,11,The Alternate Side,8.2,4887
3,12,The Red Dot,8.3,4914
3,13,The Subway,8.7,5711
3,14,The Pez Dispenser,8.4,4955
3,15,The Suicide,7.4,4487
3,16,The Fix Up,8.4,4993
3,17,The Boyfriend,8.6,5626
3,18,The Limo,8.9,6382
3,19,The Good Samaritan,7.8,4479
3,20,The Letter,7.8,4360
3,21,The Parking Space,8.2,4656
3,22,The Keys,8.2,4537
4,1,The Trip: Part 1,8,4591
4,2,The Trip: Part 2,8.3,4549
4,3,The Pitch,8.5,4695
4,4,The Ticket,8.2,4313
4,5,The Wallet,7.9,4271
4,6,The Watch,8,4182
4,7,The Bubble Boy,8.7,5695
4,8,The Cheever Letters,8.5,4629
4,9,The Opera,8.2,4486
4,10,The Virgin,8.1,4365
4,11,The Contest,9.5,10122
4,12,The Airport,8.9,5534
4,13,The Pick,8.5,4636
4,14,The Movie,8.1,4444
4,15,The Visa,8,4177
4,16,The Shoes,8.1,4406
4,17,The Outing,9.4,7537
4,18,The Old Man,8,4417
4,19,The Implant,8.6,4704
4,20,The Junior Mint,8.7,5159
4,21,The Smelly Car,8.3,4459
4,22,The Handicap Spot,8.2,4276
4,23,The Pilot,8.6,4708
5,1,The Mango,8.5,4703
5,2,The Puffy Shirt,8.8,5487
5,3,The Glasses,8.3,4450
5,4,The Sniffing Accountant,8.1,4296
5,5,The Bris,8,4529
5,6,The Lip Reader,8.4,4372
5,7,The Non-Fat Yogurt,8.3,4627
5,8,The Barber,8.3,4466
5,9,The Masseuse,7.7,4180
5,10,The Cigar Store Indian,8.4,4567
5,11,The Conversion,8.1,4172
5,12,The Stall,8.6,4591
5,13,The Dinner Party,8.2,4318
5,14,The Marine Biologist,9.2,6749
5,15,The Pie,8.5,4367
5,16,The Stand-In,7.6,4026
5,17,The Wife,7.9,4161
5,18,The Raincoats,8.3,4234
5,19,The Fire,8.6,4618
5,20,The Hamptons,9.1,5773
5,21,The Opposite,9.5,8023
6,1,The Chaperone,7.8,4048
6,2,The Big Salad,8,4240
6,3,The Pledge Drive,8.2,4170
6,4,The Chinese Woman,8.1,4133
6,5,The Couch,8,4094
6,6,The Gymnast,8.2,4193
6,7,The Soup,8,4025
6,8,The Mom and Pop Store,8,4077
6,9,The Secretary,8,3861
6,10,The Race,8.9,5343
6,11,The Switch,8.9,5218
6,12,The Label Maker,8.5,4111
6,13,The Scofflaw,8,3830
6,14,The Highlights of a Hundred,6.9,3559
6,15,The Beard,8.2,3977
6,16,The Kiss Hello,8.1,3889
6,17,The Doorman,8.2,4031
