season,episode,title,rating,votes,episode_year
1,1,Simpsons Roasting on an Open Fire,8.1,10598,1989
1,2,Bart the Genius,7.6,7395,1990
1,3,Homer's Odyssey,7.3,6593,1990
1,4,There's No Disgrace Like Home,7.6,6387,1990
1,5,Bart the General,7.9,6592,1990
1,6,Moaning Lisa,7.6,6294,1990
1,7,The Call of the Simpsons,7.7,5979,1990
1,8,The Telltale Head,7.6,5780,1990
1,9,Life on the Fast Lane,7.4,5748,1990
1,10,Homer's Night Out,7.3,5565,1990
1,11,The Crepes of Wrath,7.7,5597,1990
1,12,Krusty Gets Busted,8.3,6092,1990
1,13,Some Enchanted Evening,7.7,5758,1990
2,1,Bart Gets an F,8.3,6182,1990
2,2,Simpson and Delilah,8.2,5937,1990
2,3,Treehouse of Horror,8.2,6455,1990
2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8,5293,1990
2,5,Dancin' Homer,7.3,5095,1990
2,6,Dead Putting Society,7.9,4982,1990
2,7,Bart vs. Thanksgiving,7.6,4934,1990
2,8,Bart the Daredevil,8.3,5261,1990
2,9,Itchy & Scratchy & Marge,8,5166,1990
2,10,Bart Gets Hit by a Car,7.7,4793,1991
2,11,"One Fish, Two Fish, Blowfish, Blue Fish",8.8,6096,1991
2,12,The Way We Was,8.3,5036,1991
2,13,Homer vs. Lisa and the 8th Commandment,8,4709,1991
2,14,Principal Charming,7.4,4523,1991
2,15,"Oh Brother, Where Art Thou?",8.3,4966,1991
2,16,Bart's Dog Gets an F,7.4,4431,1991
2,17,Old Money,7.6,4413,1991
2,18,Brush with Greatness,7.9,4449,1991
2,19,Lisa's Substitute,8.6,5741,1991
2,20,The War of the Simpsons,7.7,4344,1991
2,21,Three Men and a Comic Book,8.2,4848,1991
2,22,Blood Feud,7.8,4267,1991
3,1,Stark Raving Dad,8.6,5621,1991
3,2,Mr. Lisa Goes to Washington,7.7,4582,1991
3,3,When Flanders Failed,8.2,4760,1991
3,4,Bart the Murderer,8.6,5281,1991
3,5,Homer Defined,8.3,4962,1991
3,6,"Like Father, Like Clown",7.5,4401,1991
3,7,Treehouse of Horror II,8.2,5004,1991
3,8,Lisa's Pony,7.8,4326,1991
3,9,Saturdays of Thunder,7.8,4270,1991
3,10,Flaming Moe's,8.8,5495,1991
3,11,Burns Verkaufen der Kraftwerk,8.2,4395,1991
3,12,I Married Marge,8.3,4313,1991
3,13,Radio Bart,8.5,4638,1992
3,14,Lisa the Greek,8,4122,1992
3,15,Homer Alone,8,4114,1992
3,16,Bart the Lover,8.3,4583,1992
3,17,Homer at the Bat,8.7,5380,1992
3,18,Separate Vocations,8.2,4131,1992
3,19,Dog of Death,7.7,3931,1992
3,20,Colonel Homer,8,4294,1992
3,21,Black Widower,8.3,4289,1992
3,22,The Otto Show,7.6,4010,1992
3,23,Bart's Friend Falls in Love,7.7,3999,1992
3,24,"Brother, Can You Spare Two Dimes?",8.2,4136,1992
4,1,Kamp Krusty,8.5,4922,1992
4,2,A Streetcar Named Marge,8.1,4473,1992
4,3,Homer the Heretic,8.9,5837,1992
4,4,Lisa the Beauty Queen,7.7,4058,1992
4,5,Treehouse of Horror III,8.4,4803,1992
4,6,Itchy & Scratchy: The Movie,8.2,4326,1992
4,7,Marge Gets a Job,7.7,3943,1992
4,8,New Kid on the Block,8.2,4293,1992
4,9,Mr. Plow,8.8,5328,1992
4,10,Lisa's First Word,8.7,4598,1992
4,11,Homer's Triple Bypass,8.6,4728,1992
4,12,Marge vs. the Monorail,9.1,6691,1993
4,13,Selma's Choice,8,3989,1993
4,14,Brother from the Same Planet,8.1,3994,1993
4,15,I Love Lisa,8.4,4375,1993
4,16,Duffless,8.3,4092,1993
4,17,Last Exit to Springfield,9,6036,1993
4,18,So It's Come to This: A Simpsons Clip Show,6.9,3703,1993
4,19,The Front,8,3799,1993
4,20,Whacking Day,8.1,4038,1993
4,21,Marge in Chains,7.7,3734,1993
4,22,Krusty Gets Kancelled,8.1,4063,1993
5,1,Homer's Barbershop Quartet,8.5,4861,1993
5,2,Cape Feare,9.2,6793,1993
5,3,Homer Goes to College,8.6,4813,1993
5,4,Rosebud,8.8,4913,1993
5,5,Treehouse of Horror IV,8.8,5084,1993
5,6,Marge on the Lam,8,3953,1993
5,7,Bart's Inner Child,7.6,3720,1993
5,8,Boy Scoutz 'n the Hood,8.6,4455,1993
5,9,The Last Temptation of Homer,8.5,4367,1993
5,10,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.6,4336,1993
5,11,Homer the Vigilante,8.2,3987,1994
5,12,Bart Gets Famous,8.1,3876,1994
5,13,Homer and Apu,8.2,3912,1994
5,14,Lisa vs. Malibu Stacy,8.1,4071,1994
5,15,Deep Space Homer,8.8,4954,1994
5,16,Homer Loves Flanders,8.6,4222,1994
5,17,Bart Gets an Elephant,7.8,3731,1994
5,18,Burns' Heir,8.3,3909,1994
5,19,Sweet Seymour Skinner's Baadasssss Song,8.3,3983,1994
5,20,The Boy Who Knew Too Much,8.3,3735,1994
5,21,Lady Bouvier's Lover,7.5,3402,1994
