season,episode,title,rating,votes
1,1,Pilot,8.7,5979
1,2,The Will,8,4077
1,3,The Foot,8.3,3895
1,4,Familia,8.3,3765
1,5,An Open Book,8.2,3564
1,6,The Room,8.6,3720
1,7,Brotherhood,7.9,3297
1,8,Crossroads,8,3188
1,9,Life's Too Short,8.5,3337
1,10,The New Person,8.3,3118
1,11,The Trip,8.3,3085
1,12,A Private Life,8.9,3508
1,13,"Knock, Knock",8.7,3351
2,1,In the Game,8.3,2986
2,2,"Out, Out, Brief Candle",8.2,2751
2,3,The Plan,8.2,2687
2,4,Driving Mr. Mossback,8.4,2744
2,5,The Invisible Woman,8.4,2697
2,6,In Place of Anger,8.1,2546
2,7,Back to the Garden,8,2594
2,8,It's the Most Wonderful Time of the Year,9,3247
2,9,Someone Else's Eyes,7.9,2533
2,10,The Secret,8.1,2514
2,11,The Liar and the Whore,8.3,2507
2,12,I'll Take You,9,3056
2,13,The Last Time,9.2,3342
3,1,Perfect Circles,8.2,2782
3,2,You Never Know,7.8,2394
3,3,The Eye Inside,7.7,2364
3,4,Nobody Sleeps,8.6,2729
3,5,The Trap,7.8,2329
3,6,Making Love Work,7.9,2421
3,7,Timing & Space,8,2332
3,8,"Tears, Bones and Desire",7.8,2347
3,9,The Opening,8,2272
3,10,Everyone Leaves,8.4,2419
3,11,Death Works Overtime,8.9,2685
3,12,Twilight,8.4,2431
3,13,"I'm Sorry, I'm Lost",9.2,3446
4,1,Falling into Place,9.1,3414
4,2,In Case of Rapture,7.8,2270
4,3,Parallel Play,8,2346
4,4,Can I Come Up Now?,7.7,2229
4,5,That's My Dog,8.8,3786
4,6,Terror Starts at Home,8.3,2330
4,7,The Dare,7.9,2223
4,8,Coming and Going,7.9,2207
4,9,Grinding the Corn,7.6,2215
4,10,The Black Forest,7.6,2169
4,11,Bomb Shelter,8,2200
4,12,Untitled,9.1,3179
5,1,A Coat of White Primer,8.5,2553
5,2,Dancing for Me,7.9,2375
5,3,Hold My Hand,8.2,2302
5,4,Time Flies,8.7,2670
5,5,Eat a Peach,8.1,2266
5,6,The Rainbow of Her Reasons,8.5,2457
5,7,The Silence,8,2296
5,8,Singing for Our Lives,8.7,2608
5,9,Ecotone,9.6,4710
5,10,All Alone,9.7,6643
5,11,Static,9.1,3687
5,12,Everyone's Waiting,9.9,19166
