season,episode,title,rating,votes
1,0,Unaired Pilot,7.5,1695
1,1,Cartman Gets an Anal Probe,7.8,6680
1,2,Volcano,7.6,5137
1,3,Weight Gain 4000,7.5,5325
1,4,Big Gay Al's Big Gay Boat Ride,7.6,4884
1,5,An Elephant Makes Love to a Pig,7.4,4594
1,6,Death,8,4750
1,7,Pinkeye,8.3,4873
1,8,Starvin' Marvin,8.1,4772
1,9,"Mr. Hankey, the Christmas Poo",8.1,4689
1,10,Damien,7.8,4338
1,11,Tom's Rhinoplasty,7.9,4310
1,12,Mecha-Streisand,7.5,4327
1,13,Cartman's Mom Is a Dirty Slut,8.6,5002
2,1,Terrance and Phillip in Not Without My Anus,6.2,4412
2,2,Cartman's Mom is Still a Dirty Slut,8.2,4385
2,3,Ike's Wee Wee,8,4014
2,4,Chickenlover,8,4095
2,5,Conjoined Fetus Lady,7.6,3803
2,6,The Mexican Staring Frog of Southern Sri Lanka,7.5,3683
2,7,City on the Edge of Forever,7.2,3750
2,8,Summer Sucks,7.3,3534
2,9,Chef's Chocolate Salty Balls,7.5,3591
2,10,Chickenpox,7.9,3620
2,11,Roger Ebert Should Lay Off the Fatty Foods,7.5,3496
2,12,Clubhouses,7.9,3530
2,13,Cow Days,7.5,3398
2,14,Chef Aid,7.8,3510
2,15,Spookyfish,8.4,3962
2,16,Merry Christmas Charlie Manson!,8.1,3647
2,17,Gnomes,8.2,3771
2,18,Prehistoric Ice Man,7.8,3424
3,1,Rainforest Shmainforest,8.4,4270
3,2,Spontaneous Combustion,8.1,3651
3,3,The Succubus,8,3721
3,4,Jakovasaurs,6.4,3683
3,5,Tweek vs. Craig,7.6,3611
3,6,Sexual Harassment Panda,8.2,3876
3,7,Cat Orgy,7.9,3579
3,8,Two Guys Naked in a Hot Tub,8,3552
3,9,Jewbilee,7.4,3349
3,10,Korn's Groovy Pirate Ghost Mystery,7.7,3691
3,11,Chinpokomon,8.7,4512
3,12,Hooked on Monkey Fonics,8,3354
3,13,Starvin' Marvin in Space,8,3281
3,14,The Red Badge of Gayness,8.3,3522
3,15,Mr. Hankey's Christmas Classics,7.2,3367
3,16,"Are You There God? It's Me, Jesus",7.8,3158
3,17,World Wide Recorder Concert,8.1,3257
4,1,The Tooth Fairy's Tats 2000,8.2,3587
4,2,Cartman's Silly Hate Crime 2000,8.6,3858
4,3,Timmy 2000,8.1,3495
4,4,Quintuplets 2000,7.3,3154
4,5,Cartman Joins NAMBLA,9,4971
4,6,Cherokee Hair Tampons,8,3292
4,7,Chef Goes Nanners,8.2,3366
4,8,Something You Can Do with Your Finger,8,3360
4,9,Do the Handicapped Go to Hell?,8.3,3454
4,10,Probably,8.2,3313
4,11,4th Grade,8.1,3246
4,12,Trapper Keeper,8,3230
4,13,Helen Keller! The Musical,7.7,3068
4,14,Pip,6.6,3370
4,15,Fat Camp,8.4,3651
4,16,The Wacky Molestation Adventure,8.7,3936
4,17,A Very Crappy Christmas,7.4,2930
5,1,It Hits the Fan,8.3,3803
5,2,Cripple Fight,8.3,3767
5,3,Super Best Friends,8.2,3200
5,4,Scott Tenorman Must Die,9.6,12302
5,5,Terrance and Phillip: Behind the Blow,6.9,3199
5,6,Cartmanland,8.9,4891
5,7,Proper Condom Use,8.6,3878
5,8,Towelie,8.3,3950
5,9,Osama Bin Laden Has Farty Pants,7.8,3713
5,10,How to Eat with Your Butt,8,3521
5,11,The Entity,8.2,3506
5,12,Here Comes the Neighborhood,8,3359
5,13,Kenny Dies,8.8,4740
5,14,Butters' Very Own Episode,9,5311
6,1,Jared Has Aides,8,3491
6,2,Asspen,8.3,3943
6,3,Freak Strike,7.9,3262
6,4,Fun with Veal,7.9,3311
6,5,The New Terrance and Phillip Movie Trailer,8,3536
6,6,Professor Chaos,8.5,3792
6,7,The Simpsons Already Did It,8.8,4620
6,8,Red Hot Catholic Love,8.2,3544
6,9,Free Hat,8.2,3465
6,10,Bebe's Boobs Destroy Society,8.2,3616
6,11,Child Abduction Is Not Funny,8.5,3636
6,12,A Ladder to Heaven,8.7,4064
6,13,The Return of the Fellowship of the Ring to the Two Towers,9.4,6879
6,14,The Death Camp of Tolerance,8.7,3990
6,15,The Biggest Douche in the Universe,8.6,3749
6,16,My Future Self n' Me,8.6,3678
6,17,Red Sleigh Down,8,3210
7,1,Cancelled,8.4,3755
7,2,Krazy Kripples,8.3,3702
7,3,Toilet Paper,8.3,3543
7,4,I'm a Little Bit Country,8,3331
7,5,Fat Butt and Pancake Head,8.4,3810
7,6,Lil' Crime Stoppers,8.6,3707
7,7,Red Man's Greed,7.6,3125
7,8,South Park Is Gay,8.1,3552
7,9,Christian Rock Hard,9,5114
7,10,Grey Dawn,8.1,3238
7,11,Casa Bonita,9.2,5995
7,12,All About Mormons,8.9,4840
7,13,Butt Out,7.9,3281
7,14,Raisins,8.6,3818
7,15,It's Christmas in Canada,7.5,3034
8,1,Good Times with Weapons,9.2,6230
8,2,Up the Down Steroid,8.6,3932
8,3,The Passion of the Jew,8.6,4407
8,4,You Got F'd in the A,8.1,3508
8,5,AWESOM-O,9.2,6209
8,6,The Jeffersons,8.6,4131
8,7,Goobacks,8.3,3822
8,8,Douche and Turd,8.4,3634
8,9,Something Wall-Mart This Way Comes,8.6,3761
8,10,Pre-School,8.4,3576
8,11,Quest for Ratings,8.2,3344
8,12,Stupid Spoiled Whore Video Playset,8.4,3776
8,13,Cartman's Incredible Gift,8.6,3697
8,14,Woodland Critter Christmas,9.1,5936
9,1,Mr. Garrison's Fancy New Vagina,7.6,3765
9,2,"Die Hippie, Die",8.6,4123
9,3,Wing,7.4,3106
9,4,Best Friends Forever,8.5,3701
9,5,The Losing Edge,8.8,4108
9,6,The Death of Eric Cartman,9.2,5356
9,7,Erection Day,7.6,3231
9,8,Two Days Before the Day After Tomorrow,8.5,3651
9,9,Marjorine,8.8,4107
9,10,Follow That Egg,8,3064
9,11,Ginger Kids,8.8,4183
9,12,Trapped in the Closet,9.1,6115
9,13,Free Willzyx,8.1,3439
9,14,Bloody Mary,7.9,3260
10,1,The Return of Chef,8.1,3772
10,2,Smug Alert!,8.1,3472
10,3,Cartoon Wars: Part 1,8.7,3916
10,4,Cartoon Wars: Part 2,8.8,3808
10,5,A Million Little Fibers,6.1,4014
10,6,ManBearPig,7.9,3805
10,7,Tsst,9.1,5481
10,8,"Make Love, Not Warcraft",9.5,10291
10,9,Mystery of the Urinal Deuce,8.2,3570
10,10,Miss Teacher Bangs a Boy,8.5,4030
10,11,Hell on Earth 2006,8,3401
10,12,Go God Go,8.5,3778
10,13,Go God Go XII,8.6,3670
10,14,Stanley's Cup,7.4,3839
11,1,With Apologies to Jesse Jackson,8.9,5086
11,2,Cartman Sucks,8.9,4838
11,3,Lice Capades,8,3669
11,4,The Snuke,8.1,3609
11,5,Fantastic Easter Special,8.1,3406
11,6,D-Yikes!,7.6,3479
11,7,Night of the Living Homeless,8.7,4384
11,8,Le Petit Tourette,9,4873
11,9,More Crap,8.1,3729
11,10,Imaginationland,9,5410
11,11,Imaginationland: Episode II,9,4759
11,12,Imaginationland: Episode III,9,4743
11,13,Guitar Queer-o,8.4,3994
11,14,The List,8.5,3862
12,1,Tonsil Trouble,8,3656
12,2,Britney's New Look,7.1,3653
12,3,Major Boobage,8.7,4534
