season,episode,title,rating,votes
1,1,The Red Serpent,7.6,5778
1,2,Sacramentum Gladiatorum,7.9,4427
1,3,Legends,8,4141
1,4,The Thing in the Pit,8.3,4113
1,5,Shadow Games,8.9,4603
1,6,Delicate Things,8.5,4032
1,7,Great and Unfortunate Things,8.2,3741
1,8,Mark of the Brotherhood,8.2,3735
1,9,Whore,8.7,4078
1,10,Party Favors,9,4359
1,11,Old Wounds,8.6,3855
1,12,Revelations,9,4113
1,13,Kill Them All,9.6,7901
2,1,Fugitivus,8,3947
2,2,A Place in This World,8,3129
2,3,The Greater Good,8.2,3092
2,4,Empty Hands,8,2980
2,5,Libertus,9.2,4340
2,6,Chosen Path,8,2913
2,7,Sacramentum,8.5,3098
2,8,Balance,8.3,2901
2,9,Monsters,8.8,3305
2,10,Wrath of the Gods,9.3,4935
3,1,Enemies of Rome,8.5,3770
3,2,Wolves at the Gate,8.4,3069
3,3,Men of Honor,8.2,2932
3,4,Decimation,8.4,2952
3,5,Blood Brothers,8.8,3172
3,6,Spoils of War,8.6,2993
3,7,Mors Indecepta,8.4,2884
3,8,Separate Paths,8.9,3546
3,9,The Dead and the Dying,9.1,3677
3,10,Victory,9.7,9002
