season,episode,title,rating,votes,episode_year
1,1,Chapter One: The Vanishing of Will Byers,8.6,59478,2016
1,2,Chapter Two: The Weirdo on Maple Street,8.3,50306,2016
1,3,"Chapter Three: Holly, Jolly",8.8,49596,2016
1,4,Chapter Four: The Body,8.9,49002,2016
1,5,Chapter Five: The Flea and the Acrobat,8.6,46762,2016
1,6,Chapter Six: The Monster,8.8,46654,2016
1,7,Chapter Seven: The Bathtub,9.1,48838,2016
1,8,Chapter Eight: The Upside Down,9.3,56075,2016
2,1,Chapter One: MADMAX,8.1,44835,2017
2,2,"Chapter Two: Trick or Treat, Freak",8.2,42935,2017
2,3,Chapter Three: The Pollywog,8.5,41976,2017
2,4,Chapter Four: Will the Wise,8.5,41976,2017
2,5,Chapter Five: Dig Dug,8.7,42184,2017
2,6,Chapter Six: The Spy,9.1,45834,2017
2,7,Chapter Seven: The Lost Sister,6,61707,2017
2,8,Chapter Eight: The Mind Flayer,9.2,48567,2017
2,9,Chapter Nine: The Gate,9.3,51742,2017
3,1,"Chapter One: Suzie, Do You Copy?",7.8,46883,2019
3,2,Chapter Two: The Mall Rats,7.9,44229,2019
3,3,Chapter Three: The Case of the Missing Lifeguard,8.2,42519,2019
3,4,Chapter Four: The Sauna Test,8.9,45198,2019
3,5,Chapter Five: The Flayed,8.5,41858,2019
3,6,Chapter Six: E Pluribus Unum,8.5,42100,2019
3,7,Chapter Seven: The Bite,8.7,43143,2019
3,8,Chapter Eight: The Battle of Starcourt,9.3,58979,2019
4,1,Chapter One: The Hellfire Club,8.1,49208,2022
4,2,Chapter Two: Vecna's Curse,8.1,44939,2022
4,3,Chapter Three: The Monster and the Superhero,8.3,43835,2022
4,4,Chapter Four: Dear Billy,9.5,74497,2022
4,5,Chapter Five: The Nina Project,8.1,43108,2022
4,6,Chapter Six: The Dive,8.5,43736,2022
4,7,Chapter Seven: The Massacre at Hawkins Lab,9.6,83897,2022
4,8,Chapter Eight: Papa,8.7,47360,2022
4,9,Chapter Nine: The Piggyback,9.2,65170,2022
5,1,Chapter One: The Crawl,7.8,84064,2025
5,2,Chapter Two: The Vanishing of Holly Wheeler,8.3,81164,2025
5,3,Chapter Three: The Turnbow Trap,8.4,81474,2025
5,4,Chapter Four: Sorcerer,9.3,125309,2025
5,5,Chapter Five: Shock Jock,7.8,88928,2025
5,6,Chapter Six: Escape from Camazotz,7.9,94196,2025
5,7,Chapter Seven: The Bridge,5.6,193793,2025
5,8,Chapter Eight: The Rightside Up,7.4,177931,2025
