season,episode,title,rating,votes
1,1,The Name of the Game,8.7,39579
1,2,Cherry,8.5,31703
1,3,Get Some,8.3,29919
1,4,The Female of the Species,8.7,30252
1,5,Good for the Soul,8.3,28845
1,6,The Innocents,8.1,27761
1,7,The Self-Preservation Society,8.7,28306
1,8,You Found Me,9.1,33410
2,1,The Big Ride,8.1,26770
2,2,Proper Preparation and Planning,7.6,25241
2,3,Over the Hill with the Swords of a Thousand Men,9,28849
2,4,Nothing Like It in the World,8,24793
2,5,We Gotta Go Now,8.3,24900
2,6,The Bloody Doors Off,8.9,26921
2,7,"Butcher, Baker, Candlestick Maker",9,27709
2,8,What I Know,9.4,36979
3,1,Payback,8.3,27704
3,2,The Only Man in the Sky,8.6,26777
3,3,Barbary Coast,8.2,25699
3,4,Glorious Five Year Plan,8.9,28536
3,5,The Last Time to Look on This World of Lies,8.2,25650
3,6,Herogasm,9.6,59237
3,7,Here Comes a Candle to Light You to Bed,8.9,29314
3,8,The Instant White-Hot Wild,8.3,33561
4,1,Department of Dirty Tricks,7.3,32363
4,2,Life Among the Septics,7,29250
4,3,We'll Keep the Red Flag Flying Here,7.4,28208
4,4,Wisdom of the Ages,8.8,37970
4,5,"Beware the Jabberwock, My Son",8,28722
4,6,Dirty Business,7.4,28834
4,7,The Insider,8.2,26504
4,8,Season Four Finale,9,42023
5,1,Fifteen Inches of Sheer Dynamite,8.7,49122
5,2,Teenage Kix,8.2,41268
5,3,Every One of You Sons of Bitches,8,39079
5,4,King of Hell,7.2,39171
5,5,One-Shots,7.2,42116
5,6,Though the Heavens Fall,8,43186
5,7,"The Frenchman, the Female, and the Man Called Mother's Milk",5.8,58564
5,8,Blood and Bone,5.6,130428
