season,episode,title,rating,votes,episode_year
1,1,When You're Lost in the Darkness,9.1,124108,2023
1,2,Infected,9,112149,2023
1,3,"Long, Long Time",8.1,241934,2023
1,4,Please Hold to My Hand,8.3,78158,2023
1,5,Endure and Survive,9.4,90205,2023
1,6,Kin,8.7,66832,2023
1,7,Left Behind,7.3,78489,2023
1,8,When We Are in Need,9.2,68958,2023
1,9,Look for the Light,8.9,56463,2023
2,1,Future Days,7.2,43415,2025
2,2,Through the Valley,9.1,62695,2025
2,3,The Path,6.7,33865,2025
2,4,Day One,6.1,41208,2025
2,5,Feel Her Love,7.1,29816,2025
2,6,The Price,8.4,32300,2025
2,7,Convergence,6.2,26679,2025
