season,episode,title,rating,votes,episode_year
1,1,Pilot,7.3,13394,2005
1,2,Diversity Day,8.1,13063,2005
1,3,Health Care,7.6,10901,2005
1,4,The Alliance,7.8,10492,2005
1,5,Basketball,8.2,11598,2005
1,6,Hot Girl,7.5,10350,2005
2,1,The Dundies,8.6,11607,2005
2,2,Sexual Harassment,8.1,10025,2005
2,3,Office Olympics,8.2,9865,2005
2,4,The Fire,8.1,9641,2005
2,5,Halloween,7.9,9185,2005
2,6,The Fight,7.9,9167,2005
2,7,The Client,8.5,9679,2005
2,8,Performance Review,8,8684,2005
2,9,E-Mail Surveillance,8.2,8854,2005
2,10,Christmas Party,8.7,9722,2005
2,11,Booze Cruise,8.5,9476,2006
2,12,The Injury,9,11048,2006
2,13,The Secret,8.1,8444,2006
2,14,The Carpet,7.6,8327,2006
2,15,Boys and Girls,8,8318,2006
2,16,Valentine's Day,8.1,8307,2006
2,17,Dwight's Speech,8.2,8693,2006
2,18,Take Your Daughter to Work Day,8.2,8564,2006
2,19,Michael's Birthday,8,8256,2006
2,20,Drug Testing,8.2,8332,2006
2,21,Conflict Resolution,8.5,8545,2006
2,22,Casino Night,9.3,12133,2006
3,1,Gay Witch Hunt,8.9,10943,2006
3,2,The Convention,8,8078,2006
3,3,The Coup,8.4,8379,2006
3,4,Grief Counseling,7.8,8026,2006
3,5,Initiation,7.9,7806,2006
3,6,Diwali,7.7,8123,2006
3,7,Branch Closing,8.5,8111,2006
3,8,The Merger,8.6,8360,2006
3,9,The Convict,8.2,8377,2006
3,10,A Benihana Christmas,8.6,8716,2006
3,11,Back from Vacation,8.5,7965,2007
3,12,Traveling Salesmen,8.5,7982,2007
3,13,The Return,8.7,8325,2007
3,14,Ben Franklin,7.8,7737,2007
3,15,Phyllis' Wedding,8,7844,2007
3,16,Business School,8.8,8928,2007
3,17,Cocktails,8.3,7703,2007
3,18,The Negotiation,8.9,8717,2007
3,19,Safety Training,8.6,8094,2007
3,20,Product Recall,8.5,7927,2007
3,21,Women's Appreciation,8.6,8142,2007
3,22,Beach Games,9,9275,2007
3,23,The Job,9.2,9783,2007
4,1,Fun Run,8.7,8952,2007
4,2,Dunder Mifflin Infinity,8.1,7547,2007
4,3,Launch Party,8.2,7429,2007
4,4,Money,8.5,7818,2007
4,5,Local Ad,8.6,7894,2007
4,6,Branch Wars,8.3,7542,2007
4,7,Survivor Man,8,7279,2007
4,8,The Deposition,8.6,7679,2007
4,9,Dinner Party,9.4,15194,2008
4,10,Chair Model,7.8,7105,2008
4,11,Night Out,8.5,7412,2008
4,12,Did I Stutter?,8.1,7085,2008
4,13,Job Fair,7.6,6814,2008
4,14,"Goodbye, Toby",9.2,9755,2008
5,1,Weight Loss,8.7,8086,2008
5,2,Business Ethics,8.1,6891,2008
5,3,Baby Shower,7.8,6893,2008
5,4,Crime Aid,7.9,6645,2008
5,5,Employee Transfer,7.8,6796,2008
5,6,Customer Survey,8.4,7056,2008
5,7,Business Trip,8,6662,2008
5,8,Frame Toby,8.5,7452,2008
5,9,The Surplus,8.6,7207,2008
5,10,Moroccan Christmas,8.2,6844,2008
5,11,The Duel,8.6,7092,2009
5,12,Prince Family Paper,7.8,6829,2009
5,13,Stress Relief,9.7,20970,2009
5,14,Lecture Circuit: Part 1,8,6636,2009
5,15,Lecture Circuit: Part 2,8,6526,2009
5,16,Blood Drive,7.8,6433,2009
5,17,Golden Ticket,8.5,7038,2009
5,18,New Boss,8.1,6623,2009
5,19,Two Weeks,8.2,6556,2009
5,20,Dream Team,8.1,6547,2009
5,21,Michael Scott Paper Company,8.5,7072,2009
5,22,Heavy Competition,8.5,6753,2009
5,23,Broke,9.2,9114,2009
5,24,Casual Friday,8.1,6489,2009
5,25,Cafe Disco,8.7,7721,2009
5,26,Company Picnic,8.9,7652,2009
6,1,Gossip,8.7,7614,2009
6,2,The Meeting,7.9,6276,2009
6,3,The Promotion,7.8,6231,2009
6,4,Niagara: Part 1,9.2,10352,2009
6,5,Niagara: Part 2,9.4,10214,2009
6,6,Mafia,7.5,6583,2009
6,7,The Lover,8.5,6891,2009
6,8,Koi Pond,8,6300,2009
6,9,Double Date,7.9,6229,2009
6,10,Murder,8.6,7370,2009
6,11,Shareholder Meeting,8,6249,2009
6,12,Scott's Tots,8.2,7156,2009
6,13,Secret Santa,8.4,6614,2009
6,14,The Banker,6.7,7759,2010
6,15,Sabre,7.5,5991,2010
6,16,Manager and Salesman,7.8,5903,2010
6,17,The Delivery: Part 1,8.3,6343,2010
6,18,The Delivery: Part 2,8.4,6313,2010
6,19,St. Patrick's Day,7.5,5839,2010
6,20,New Leads,7.5,5872,2010
6,21,Happy Hour,8.4,6526,2010
6,22,Secretary's Day,7.6,5867,2010
6,23,Body Language,7.7,5849,2010
6,24,The Cover-Up,8,5954,2010
6,25,The Chump,7.6,5673,2010
6,26,Whistleblower,7.8,5805,2010
7,1,Nepotism,8.2,6576,2010
7,2,Counseling,8,6059,2010
7,3,Andy's Play,8.1,6450,2010
7,4,Sex Ed,7.7,5998,2010
7,5,The Sting,7.6,5876,2010
7,6,Costume Contest,8,6018,2010
7,7,Christening,7.2,5975,2010
7,8,Viewing Party,7.7,5985,2010
7,9,WUPHF.com,7.5,5769,2010
7,10,China,8,6111,2010
7,11,"Classy Christmas, Part 1",8.8,7488,2010
7,12,"Classy Christmas, Part 2",8.6,617,2010
7,13,Ultimatum,8.1,6102,2011
7,14,The Seminar,7.5,5855,2011
7,15,The Search,8.4,6402,2011
7,16,PDA,8.2,6261,2011
7,17,Threat Level Midnight,9.3,12324,2011
7,18,Todd Packer,7.3,5744,2011
7,19,Garage Sale,9.3,9951,2011
7,20,Training Day,7.5,5900,2011
7,21,Michael's Last Dundies,8.9,8139,2011
7,22,"Goodbye, Michael",9.8,22209,2011
