season,episode,title,rating,votes,episode_year
1,1,3 AM,8.5,12753,2017
1,2,Two Dead Men,8.1,10864,2017
1,3,Kandahar,8.3,10447,2017
1,4,Resupply,8.2,9865,2017
1,5,Gunner,8.6,9814,2017
1,6,The Judas Goat,8.1,9388,2017
1,7,Crosshairs,8.6,9418,2017
1,8,Cold Steel,8.7,9536,2017
1,9,Front Toward Enemy,8.9,9873,2017
1,10,Virtue of the Vicious,9.1,11137,2017
1,11,Danger Close,9.2,11605,2017
1,12,Home,9.5,14930,2017
1,13,Memento Mori,9.2,11792,2017
2,1,Roadhouse Blues,8.8,9189,2019
2,2,Fight or Flight,8,7268,2019
2,3,Trouble the Water,8.8,7702,2019
2,4,Scar Tissue,7.6,6849,2019
2,5,One-Eyed Jacks,8.1,6637,2019
2,6,Nakazat,7.8,6465,2019
2,7,One Bad Day,8.1,6412,2019
2,8,My Brother's Keeper,8,6358,2019
2,9,Flustercluck,8,6243,2019
2,10,The Dark Hearts of Men,8.6,6768,2019
2,11,The Abyss,8.3,6286,2019
2,12,Collision Course,8.7,6634,2019
2,13,The Whirlwind,9,7882,2019
