season,episode,title,rating,votes,episode_year
1,1,The Target,7.8,10881,2002
1,2,The Detail,8.1,8768,2002
1,3,The Buys,8.1,8190,2002
1,4,Old Cases,8.2,7897,2002
1,5,The Pager,8.2,7562,2002
1,6,The Wire,8.5,7730,2002
1,7,One Arrest,8.4,7261,2002
1,8,Lessons,8.5,7251,2002
1,9,Game Day,8.7,7532,2002
1,10,The Cost,9.2,8655,2002
1,11,The Hunt,8.8,7454,2002
1,12,Cleaning Up,9.1,8133,2002
1,13,Sentencing,9,7905,2002
2,1,Ebb Tide,7.6,6852,2003
2,2,Collateral Damage,8,6341,2003
2,3,Hot Shots,8,6151,2003
2,4,Hard Cases,8,6051,2003
2,5,Undertow,8.1,5928,2003
2,6,All Prologue,8.8,6778,2003
2,7,Backwash,8.2,5836,2003
2,8,Duck and Cover,8.3,5891,2003
2,9,Stray Rounds,8.5,5943,2003
2,10,Storm Warnings,9,6698,2003
2,11,Bad Dreams,9.2,7321,2003
2,12,Port in a Storm,9,6791,2003
3,1,Time After Time,7.9,5871,2004
3,2,All Due Respect,8.3,5643,2004
3,3,Dead Soldiers,8.3,5619,2004
3,4,Amsterdam,8.3,5583,2004
3,5,Straight and True,8.5,5564,2004
3,6,Homecoming,8.6,5617,2004
3,7,Back Burners,8.5,5452,2004
3,8,Moral Midgetry,8.9,6172,2004
3,9,Slapstick,8.7,5647,2004
3,10,Reformation,8.7,5621,2004
3,11,Middle Ground,9.6,10159,2004
3,12,Mission Accomplished,9.3,7030,2004
4,1,Boys of Summer,8.3,5649,2006
4,2,Soft Eyes,8.4,5339,2006
4,3,Home Rooms,8.6,5410,2006
4,4,Refugees,8.3,5220,2006
4,5,Alliances,8.4,5203,2006
4,6,Margin of Error,8.7,5448,2006
4,7,Unto Others,8.4,5128,2006
4,8,Corner Boys,8.5,5203,2006
4,9,Know Your Place,8.5,5129,2006
4,10,Misgivings,8.8,5523,2006
4,11,A New Day,8.9,5657,2006
4,12,That's Got His Own,9.3,6658,2006
4,13,Final Grades,9.6,8735,2006
5,1,More with Less,8,5140,2008
5,2,Unconfirmed Reports,8.1,4935,2008
5,3,Not for Attribution,8.5,5035,2008
5,4,Transitions,8.8,5260,2008
5,5,React Quotes,8.5,5000,2008
5,6,The Dickensian Aspect,8.3,4846,2008
5,7,Took,8.4,4944,2008
5,8,Clarifications,8.9,5799,2008
5,9,Late Editions,9.4,6428,2008
5,10,-30-,9.6,9277,2008
