rank,title,director,year,imdb_rating,id,site,producer_site,audience_scores,tomato_meter_scores,director_rot_tom,distributor,production_co,produced_by,producers_imdb,production_company
1,The Shawshank Redemption,Frank Darabont,1994,9.3,tt0111161,https://www.imdb.com/title/tt0111161/,https://www.imdb.com/title/tt0111161/companycredits?ref_=ttfc_sa_3,98,89,Frank Darabont,Columbia Pictures|ARP Sélection|Columbia TriStar Films AB|Filmayer|Norsk Filmdistribusjon,Castle Rock Entertainment,Columbia Pictures|ARP Sélection|Columbia TriStar Films AB|Filmayer|Norsk Filmdistribusjon,Liz Glotzer|David V. Lester|Niki Marvin,Castle Rock Entertainment
2,The Godfather,Francis Ford Coppola,1972,9.2,tt0068646,https://www.imdb.com/title/tt0068646/,https://www.imdb.com/title/tt0068646/companycredits?ref_=ttfc_sa_3,98,97,Francis Ford Coppola,Paramount Distribution|Cinema International Corporation (CIC)|Paramount Pictures UK|Paramount Pictures,Paramount Pictures|Albert S. Ruddy Productions|Alfran Productions,Paramount Distribution|Cinema International Corporation (CIC)|Paramount Pictures UK|Paramount Pictures,Gray Frederickson|Albert S. Ruddy,Paramount Pictures|Albert S. Ruddy Productions|Alfran Productions
3,The Dark Knight,Christopher Nolan,2008,9.1,tt0468569,https://www.imdb.com/title/tt0468569/,https://www.imdb.com/title/tt0468569/companycredits?ref_=ttfc_sa_3,94,94,Christopher Nolan,Alexandra Films|Blitz|Columbia TriStar Warner Filmes de Portugal|Continental Film|Forum Cinemas,Warner Bros.|Legendary Pictures|DC Comics|Syncopy|Legendary Entertainment,Alexandra Films|Blitz|Columbia TriStar Warner Filmes de Portugal|Continental Film|Forum Cinemas,Kevin de la Noy|Jordan Goldberg|Philip Lee|Benjamin Melniker|Christopher Nolan|Lorne Orleans|Charles Roven|Emma Thomas|Thomas Tull|Michael E. Uslan,Warner Bros.|Legendary Pictures|DC Comics|Syncopy|Legendary Entertainment
4,The Godfather Part II,Francis Ford Coppola,1974,9,tt0071562,https://www.imdb.com/title/tt0071562/,https://www.imdb.com/title/tt0071562/companycredits?ref_=ttfc_sa_3,97,96,Francis Ford Coppola,Paramount Distribution|Cinema International Corporation (CIC),Paramount Pictures|The Coppola Company|American Zoetrope,Paramount Distribution|Cinema International Corporation (CIC),Francis Ford Coppola|Gray Frederickson|Fred Roos|Mona Skager,Paramount Pictures|The Coppola Company|American Zoetrope
5,12 Angry Men,Sidney Lumet,1957,9,tt0050083,https://www.imdb.com/title/tt0050083/,https://www.imdb.com/title/tt0050083/companycredits?ref_=ttfc_sa_3,97,100,Sidney Lumet,United Artists|Dear Film|Nova Film,Orion-Nova Productions,United Artists|Dear Film|Nova Film,Henry Fonda|George Justin|Reginald Rose,Orion-Nova Productions
6,The Lord of the Rings: The Return of the King,Peter Jackson,2003,9,tt0167260,https://www.imdb.com/title/tt0167260/,https://www.imdb.com/title/tt0167260/companycredits?ref_=ttfc_sa_3,86,94,Peter Jackson,New Line Cinema|A-Film Distribution|Alliance Atlantis Communications|Cinergia|Deltamac Co.,New Line Cinema|WingNut Films|The Saul Zaentz Company,New Line Cinema|A-Film Distribution|Alliance Atlantis Communications|Cinergia|Deltamac Co.,Peter Jackson|Michael Lynne|Mark Ordesky|Barrie M. Osborne|Rick Porras|Jamie Selkirk|Robert Shaye|Fran Walsh|Bob Weinstein|Harvey Weinstein,New Line Cinema|WingNut Films|The Saul Zaentz Company
7,Schindler's List,Steven Spielberg,1994,9,tt0108052,https://www.imdb.com/title/tt0108052/,https://www.imdb.com/title/tt0108052/companycredits?ref_=ttfc_sa_3,NA,NA,NA,Universal Pictures|ITI Cinema|Lucernafilm - Alfa|Paramount Films of India|United International Pictures (UIP),Universal Pictures|Amblin Entertainment,Universal Pictures|ITI Cinema|Lucernafilm - Alfa|Paramount Films of India|United International Pictures (UIP),Irving Glovin|Kathleen Kennedy|Branko Lustig|Gerald R. Molen|Robert Raymond|Lew Rywin|Steven Spielberg,Universal Pictures|Amblin Entertainment
8,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,8.9,tt0120737,https://www.imdb.com/title/tt0120737/,https://www.imdb.com/title/tt0120737/companycredits?ref_=ttfc_sa_3,95,91,Peter Jackson,New Line Cinema|A-Film Distribution|Alliance Atlantis Communications|Entertainment Film Distributors|FS Film,New Line Cinema|WingNut Films|Marzano Films|The Saul Zaentz Company,New Line Cinema|A-Film Distribution|Alliance Atlantis Communications|Entertainment Film Distributors|FS Film,Peter Jackson|Michael Lynne|Mark Ordesky|Barrie M. Osborne|Rick Porras|Tim Sanders|Jamie Selkirk|Robert Shaye|Ellen Somers|Fran Walsh|Bob Weinstein|Harvey Weinstein,New Line Cinema|WingNut Films|Marzano Films|The Saul Zaentz Company
9,Pulp Fiction,Quentin Tarantino,1994,8.8,tt0110912,https://www.imdb.com/title/tt0110912/,https://www.imdb.com/title/tt0110912/companycredits?ref_=ttfc_sa_3,96,92,Quentin Tarantino,39 Escalones|Alliance Atlantis Motion Picture Distribution|Argus-SV|Bac Films|Buena Vista International,Miramax|A Band Apart|Jersey Films,39 Escalones|Alliance Atlantis Motion Picture Distribution|Argus-SV|Bac Films|Buena Vista International,Lawrence Bender|Danny DeVito|Richard N. Gladstein|Michael Shamberg|Stacey Sher|Bob Weinstein|Harvey Weinstein,Miramax|A Band Apart|Jersey Films
10,"The Good, the Bad and the Ugly",Sergio Leone,1967,8.8,tt0060196,https://www.imdb.com/title/tt0060196/,https://www.imdb.com/title/tt0060196/companycredits?ref_=ttfc_sa_3,97,97,Sergio Leone,Produzioni Europee Associate (PEA)|United Artists,Produzioni Europee Associate (PEA)|Arturo González Producciones Cinematográficas|Constantin Film,Produzioni Europee Associate (PEA)|United Artists,Alberto Grimaldi,Produzioni Europee Associate (PEA)|Arturo González Producciones Cinematográficas|Constantin Film
