city,state,metro,county,zhvi,zhvi_yoy_pct,zori,zori_yoy_pct,annual_rent,rent_to_price_pct,price_to_rent,gross_yield_pct,est_cap_rate_pct,tier,pop_2024,pop_growth_pct,county_pop_2024,county_pop_growth_pct,net_mig_rate_per1k,vacancy_rate_pct,rental_vacancy_pct,renter_pct,zhvi_date,zori_date
Cahokia Heights,IL,"St. Louis, MO-IL",Saint Clair County,49433.9224297328,-3.95,1312.2222222222224,NA,15746.666666666668,2.654,3.1,31.85,20.71,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Sag Harbor,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2280815.834601706,4.85,53555.5,18.52,642666,2.348,3.5,28.18,18.32,Strong Buy,2816,2.33,1535909,0.9,2.22,11.64,3.67,18.09,2026-07-31,2026-07-31
Water Mill,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,4812700.201358714,6.58,87277.77777777777,NA,1047333.3333333333,1.813,4.6,21.76,14.15,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,2026-07-31,2026-07-31
East Hampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2052300.018760151,0.88,36750.69551282051,12.29,441008.3461538461,1.791,4.7,21.49,13.97,Strong Buy,1556,3.73,1535909,0.9,2.22,11.64,3.67,18.09,2026-07-31,2026-07-31
Southampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2257836.9376698583,6.27,40014.531746031746,26.87,480174.38095238095,1.772,4.7,21.27,13.82,Strong Buy,4693,3.28,1535909,0.9,2.22,11.64,3.67,18.09,2026-07-31,2026-07-31
Detroit,MI,"Detroit-Warren-Dearborn, MI",Wayne County,76083.62687728247,-5.61,1347.3940822806896,3.46,16168.728987368275,1.771,4.7,21.25,13.81,Strong Buy,645705,1.15,1771063,-1.04,3.75,12.9,4.58,35.52,2026-07-31,2026-07-31
Bridgehampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,4729896.042923263,5.68,82500,NA,990000,1.744,4.8,20.93,13.6,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Jennings,MO,"St. Louis, MO-IL",Saint Louis County,69976.8345575818,1.08,1160.8333333333333,1.59,13930,1.659,5,19.91,12.94,Strong Buy,13024,0.95,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Homestead,PA,"Pittsburgh, PA",Allegheny County,77974.9336186468,-5.28,1290.5555555555557,NA,15486.666666666668,1.655,5,19.86,12.91,Strong Buy,2852,-1.01,1231814,-1.43,2.72,9.6,6.37,35.07,2026-07-31,2026-07-31
Glasgow Village,MO,"St. Louis, MO-IL",Saint Louis County,84421.1950186296,1.21,1354.824074074074,-0.11,16257.888888888887,1.605,5.2,19.26,12.52,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Harvey,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,107086.301853664,0.93,1692.5,NA,20310,1.581,5.3,18.97,12.33,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Century Village,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,90068.67685851875,-13.76,1410.7666666666669,2.2,16929.200000000004,1.566,5.3,18.8,12.22,Strong Buy,NA,NA,1582055,5.87,15.98,16.36,6.94,30.14,2026-07-31,2026-07-31
Gary,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,88085.16745791114,-2.46,1374.238017429194,6.35,16490.85620915033,1.56,5.3,18.72,12.17,Strong Buy,67555,-2.1,502955,0.8,4.19,10.57,4.92,29.14,2026-07-31,2026-07-31
Youngstown,OH,"Youngstown-Warren-Boardman, OH-PA",Mahoning County,71210.35297510982,7.88,1067.1296296296296,8.65,12805.555555555555,1.499,5.6,17.98,11.69,Strong Buy,59123,-1.28,225786,-0.98,2.29,9.15,4.52,29.72,2026-07-31,2026-07-31
Jackson,MS,"Jackson, MS",Hinds County,84299.10514449485,1.27,1250.6334008780816,3.64,15007.60081053698,1.484,5.6,17.8,11.57,Strong Buy,141449,-7.55,211975,-6.53,-12.73,15.54,7.94,42.12,2026-07-31,2026-07-31
Lauderdale Lakes,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,138347.8689616633,-9.53,2042.5589225589224,3.74,24510.707070707067,1.476,5.6,17.72,11.52,Strong Buy,37333,3.55,2037472,4.84,14.84,13.18,6.08,36.74,2026-07-31,2026-07-31
Northwoods,MO,"St. Louis, MO-IL",Saint Louis County,84918.28288057992,1.73,1249,NA,14988,1.471,5.7,17.65,11.47,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Dolton,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,158114.44985128538,3.51,2287.0833333333335,4.07,27445,1.446,5.8,17.36,11.28,Strong Buy,20697,-2.99,5182617,-1.6,5.9,8.18,4.67,42.49,2026-07-31,2026-07-31
Flint,MI,"Flint, MI",Genesee County,67029.95657499392,0.24,957.4382284382284,6.48,11489.258741258742,1.428,5.8,17.14,11.14,Strong Buy,79735,-1.69,402279,-0.87,3.33,9.45,3.6,29.16,2026-07-31,2026-07-31
Pitcairn,PA,"Pittsburgh, PA",Allegheny County,92656.13710679988,-4.6,1300,NA,15600,1.403,5.9,16.84,10.94,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Bellefontaine Neighbors,MO,"St. Louis, MO-IL",Saint Louis County,102307.29147096346,-3.94,1419.388888888889,2.04,17032.666666666668,1.387,6,16.65,10.82,Strong Buy,10401,-2.76,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Berkeley,MO,"St. Louis, MO-IL",Saint Louis County,96380.73838270882,5.03,1318.0555555555557,12.32,15816.666666666668,1.368,6.1,16.41,10.67,Strong Buy,8058,-1.99,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Tarrant,AL,"Birmingham-Hoover, AL",Jefferson County,76362.52516843851,3.43,1026.5555555555557,NA,12318.666666666668,1.344,6.2,16.13,10.49,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
McComb,MS,"McComb, MS",Pike County,92923.02863840078,-0.91,1216,NA,14592,1.309,6.4,15.7,10.21,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Sharon,PA,"Youngstown-Warren-Boardman, OH-PA",Mercer County,73610.52668793757,-4.78,961.25,NA,11535,1.306,6.4,15.67,10.19,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Midfield,AL,"Birmingham-Hoover, AL",Jefferson County,81957.50388532008,1.85,1049.8333333333333,NA,12598,1.281,6.5,15.37,9.99,Strong Buy,4930,-4.92,664744,-1.48,0.68,13.13,7.2,36.28,2026-07-31,2026-07-31
Dellwood,MO,"St. Louis, MO-IL",Saint Louis County,112894.61673354112,3.09,1420,NA,17040,1.258,6.6,15.09,9.81,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Pine Bluff,AR,"Pine Bluff, AR",Jefferson County,73266.83852557334,-1.47,919.2777777777778,NA,11031.333333333334,1.255,6.6,15.06,9.79,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Cleveland,OH,"Cleveland-Elyria, OH",Cuyahoga County,116759.19531294324,-2,1424.4026536624897,4.27,17092.831843949876,1.22,6.8,14.64,9.52,Strong Buy,365379,-1.74,1240594,-1.75,1.72,9.97,5.22,40.95,2026-07-31,2026-07-31
Camden,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,146599.23031474257,-6.17,1785.6777777777777,1.04,21428.13333333333,1.218,6.8,14.62,9.5,Strong Buy,71749,0.01,533988,2.07,5.74,5.92,4.3,34.97,2026-07-31,2026-07-31
Northridge,OH,"Dayton-Kettering, OH",Montgomery County,99642.71707553609,-0.87,1195,NA,14340,1.199,6.9,14.39,9.35,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Fairfield,AL,"Birmingham-Hoover, AL",Jefferson County,95020.06814578762,-4,1129.6666666666667,NA,13556,1.189,7,14.27,9.27,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Ferguson,MO,"St. Louis, MO-IL",Saint Louis County,117580.08120008413,-1.36,1382.148148148148,6.14,16585.777777777777,1.175,7.1,14.11,9.17,Strong Buy,18043,-2.38,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
Ojus,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,215366.43918196388,-7.67,2519.604273504274,0.99,30235.251282051286,1.17,7.1,14.04,9.13,Strong Buy,NA,NA,2838461,5.29,19.88,11.11,5.36,47.81,2026-07-31,2026-07-31
Sauk Village,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,163654.50084696096,4.64,1915,NA,22980,1.17,7.1,14.04,9.13,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-31,2026-07-31
East Cleveland,OH,"Cleveland-Elyria, OH",Cuyahoga County,68905.4509515945,-8.42,792.1888888888889,4.45,9506.266666666666,1.15,7.2,13.8,8.97,Strong Buy,13402,-2.55,1240594,-1.75,1.72,9.97,5.22,40.95,2026-07-31,2026-07-31
Inkster,MI,"Detroit-Warren-Dearborn, MI",Wayne County,110373.64598463778,5.04,1268.3809523809523,0.87,15220.571428571428,1.149,7.3,13.79,8.96,Strong Buy,25108,-3.36,1771063,-1.04,3.75,12.9,4.58,35.52,2026-07-31,2026-07-31
Maple Heights,OH,"Cleveland-Elyria, OH",Cuyahoga County,135790.15039957294,3.5,1557.1296296296296,9.12,18685.555555555555,1.147,7.3,13.76,8.94,Strong Buy,23081,-2.34,1240594,-1.75,1.72,9.97,5.22,40.95,2026-07-31,2026-07-31
