zip,city,state,metro,county,zip_lat,zip_lon,zhvi_latest,zori_latest,zhvi_yoy_pct,gross_yield_pct,cap_rate_pct,cash_on_cash_pct,cash_flow_monthly,total_expense_monthly,down_payment,tj_miles,nearest_tj_city,nearest_tj_state,tj_within_2mi,tj_within_5mi,tj_within_10mi,zhvi_date,zori_date
01002,Amherst,MA,"Springfield, MA",Hampshire County,42.377212,-72.464795,527465,2808,0.23,6.39,3.06,-9.39,-1156,3964,131866,4.52,Hadley,MA,FALSE,TRUE,TRUE,2026-03-31,2026-03-31
01007,Belchertown,MA,"Springfield, MA",Hampshire County,42.283935,-72.400409,467794,2412,1.59,6.19,2.88,-12.61,-1376,3789,116948,9.16,Hadley,MA,FALSE,FALSE,TRUE,2026-03-31,2026-03-31
01013,Chicopee,MA,"Springfield, MA",Hampden County,42.142009,-72.595496,308965,1699,1.67,6.6,3.24,-23.11,-1666,3365,77241,15.09,Hadley,MA,FALSE,FALSE,FALSE,2026-03-31,2026-03-31
01020,Chicopee,MA,"Springfield, MA",Hampden County,42.172611,-72.56192,320663,1954,2.1,7.31,3.86,-19.62,-1468,3423,80166,12.81,Hadley,MA,FALSE,FALSE,FALSE,2026-03-31,2026-03-31
01040,Holyoke,MA,"Springfield, MA",Hampden County,42.211658,-72.642448,323014,1666,2.82,6.19,2.89,-22.87,-1724,3390,80754,11.16,Hadley,MA,FALSE,FALSE,FALSE,2026-03-31,2026-03-31
01060,Northampton,MA,"Springfield, MA",Hampshire County,42.321251,-72.630395,498154,2351,3.62,5.66,2.43,-12.85,-1493,3844,124539,4.85,Hadley,MA,FALSE,TRUE,TRUE,2026-03-31,2026-03-31
01069,Palmer,MA,"Springfield, MA",Hampden County,42.188862,-72.30648,331849,1800,3.53,6.51,3.16,-21,-1626,3426,82962,17.04,Hadley,MA,FALSE,FALSE,FALSE,2026-03-31,2026-03-31
01075,South Hadley,MA,"Springfield, MA",Hampshire County,42.256532,-72.580248,377373,1767,-0.93,5.62,2.39,-19.87,-1750,3516,94343,7.17,Hadley,MA,FALSE,FALSE,TRUE,2026-03-31,2026-03-31
01085,Westfield,MA,"Springfield, MA",Hampden County,42.153503,-72.771602,380481,1943,3.25,6.13,2.83,-18.05,-1603,3546,95120,18.12,Hadley,MA,FALSE,FALSE,FALSE,2026-03-31,2026-03-31
01089,West Springfield,MA,"Springfield, MA",Hampden County,42.125451,-72.649734,354726,1495,3.94,5.06,1.9,-23.42,-1939,3434,88681,16.85,Hadley,MA,FALSE,FALSE,FALSE,2026-03-31,2026-03-31
