season,episode,title,rating,votes
1,1,Velma,2.7,5417
1,2,The Candy (Wo)man,2.7,4598
1,3,Velma Kai,2.8,3250
1,4,Velma Makes a List,2.8,3368
1,5,Marching Band Sleepover,3,2277
1,6,The Sins of the Fathers and Some of the Mothers,3.1,2462
1,7,Fog Fest,3,1956
1,8,A Velma in the Woods,3,1997
1,9,Family (Wo)man,3,1721
1,10,The Brains of the Operation,3.2,2034
2,1,The Mystery of Teen Romance,3.2,902
2,2,Creaky Friday,3.2,839
2,3,When Velma Met Money,3.3,828
2,4,Seancé,3.3,806
2,5,Burning Woman,3.3,791
2,6,Private Velmjamin,3.4,792
2,7,Female Utopia,3.3,780
2,8,Aman Hunt,3.4,781
2,9,The Real Villain,3.7,843
2,10,Til Death,3.4,862
2,11,This Halloween Needs to Be More Special!,4,642
