season,episode,title,rating,votes
1,1,The Original,8.8,24901
1,2,Chestnut,8.5,18935
1,3,The Stray,8.2,17328
1,4,Dissonance Theory,8.6,17259
1,5,Contrapasso,8.6,16473
1,6,The Adversary,8.8,16668
1,7,Trompe L'Oeil,9.4,22260
1,8,Trace Decay,8.7,15743
1,9,The Well-Tempered Clavier,9.3,20414
1,10,The Bicameral Mind,9.7,33199
2,1,Journey into Night,8.1,14103
2,2,Reunion,8,12113
2,3,Virtù e Fortuna,7.9,11361
2,4,The Riddle of the Sphinx,8.9,14722
2,5,Akane no Mai,7.8,12350
2,6,Phase Space,8,10651
2,7,Les Écorchés,8.5,11689
2,8,Kiksuya,9.2,19365
2,9,Vanishing Point,8.7,11653
2,10,The Passenger,8.7,13160
3,1,Parce Domine,8.2,11979
3,2,The Winter Line,8.1,9809
3,3,The Absence of Field,8.1,9283
3,4,The Mother of Exiles,8.7,10599
3,5,Genre,7.9,10023
3,6,Decoherence,8.2,8818
3,7,Passed Pawn,7.8,8348
3,8,Crisis Theory,7.2,10182
4,1,The Auguries,7.2,5744
4,2,Well Enough Alone,7.6,4851
4,3,Années Folles,8.1,5001
4,4,Generation Loss,8.7,6225
4,5,Zhuangzi,8.5,5318
4,6,Fidelity,8.1,4582
4,7,Metanoia,8.1,4603
4,8,"Que Será, Será",6.9,5343
