season,episode,title,rating,votes,episode_year
1,1,"To Me, My X-Men",8.2,8276,2024
1,2,Mutant Liberation Begins,9,8307,2024
1,3,Fire Made Flesh,8.5,7433,2024
1,4,Motendo/Lifedeath - Part 1,6.9,7197,2024
1,5,Remember It,9.7,13039,2024
1,6,Lifedeath - Part 2,7.7,6336,2024
1,7,Bright Eyes,8.5,6370,2024
1,8,Tolerance Is Extinction - Part 1,9.2,7038,2024
1,9,Tolerance Is Extinction - Part 2,9.3,6840,2024
1,10,Tolerance Is Extinction - Part 3,9.3,6620,2024
2,1,Days of Past Future,8.2,3857,2026
2,2,A Force to Be Reckoned With,8.2,3656,2026
2,3,Rise of Apocalypse: Part 1,8.5,3585,2026
2,4,Rise of Apocalypse: Part II,9.4,4497,2026
2,5,"Weapon X, Lies, and DVDs",7.7,3327,2026
2,6,Danger.exe,8,2978,2026
2,7,"Strange Land, Savage Heart",7.9,2773,2026
2,8,The Dead Man's Hand,8.3,2769,2026
2,9,Survival of the Fittest,8.5,2849,2026
