season,episode,title,rating,votes,episode_year
1,1,The Gang Gets Racist,8.1,6631,2005
1,2,Charlie Wants an Abortion,8.1,5873,2005
1,3,Underage Drinking: A National Concern,8.2,5688,2005
1,4,Charlie Has Cancer,8,5291,2005
1,5,Gun Fever,7.8,5021,2005
1,6,The Gang Finds a Dead Guy,8,4917,2005
1,7,Charlie Got Molested,8.4,5243,2005
2,1,Charlie Gets Crippled,8.4,5160,2006
2,2,The Gang Goes Jihad,8.5,5224,2006
2,3,Dennis and Dee Go on Welfare,9,6061,2006
2,4,Mac Bangs Dennis' Mom,9.2,6487,2006
2,5,Hundred Dollar Baby,8.6,5241,2006
2,6,The Gang Gives Back,8.3,4624,2006
2,7,The Gang Exploits a Miracle,7.9,4345,2006
2,8,The Gang Runs for Office,7.9,4272,2006
2,9,Charlie Goes America All Over Everybody's Ass,8.2,4351,2006
2,10,Dennis and Dee Get a New Dad,8.5,4438,2006
3,1,The Gang Finds a Dumpster Baby,8.5,4717,2007
3,2,The Gang Gets Invincible,8.6,4798,2007
3,3,Dennis and Dee's Mom Is Dead,8.2,4155,2007
3,4,The Gang Gets Held Hostage,8.9,5109,2007
3,5,The Aluminum Monster vs. Fatty Magoo,7.9,4128,2007
3,6,The Gang Solves the North Korea Situation,8.3,4189,2007
3,7,The Gang Sells Out,8.1,3880,2007
3,8,Frank Sets Sweet Dee on Fire,8.4,4172,2007
3,9,Sweet Dee's Dating a Retarded Person,9.2,6164,2007
3,10,Mac Is a Serial Killer,9,5024,2007
3,11,Dennis Looks Like a Registered Sex Offender,8.4,3957,2007
3,12,The Gang Gets Whacked: Part 1,8,3733,2007
3,13,The Gang Gets Whacked: Part 2,8.3,3762,2007
3,14,Bums: Making a Mess All Over the City,8.5,4006,2007
3,15,The Gang Dances Their Asses Off,8.9,4721,2007
4,1,Mac and Dennis: Manhunters,8.4,4065,2008
4,2,The Gang Solves the Gas Crisis,9.1,5402,2008
4,3,America's Next Top Paddy's Billboard Model Contest,8.3,3361,2008
4,4,Mac's Banging the Waitress,8.5,3908,2008
4,5,Mac & Charlie Die: Part 1,9,4480,2008
4,6,Mac & Charlie Die: Part 2,8.5,3917,2008
4,7,Who Pooped the Bed?,8.3,4342,2008
4,8,Paddy's Pub: The Worst Bar in Philadelphia,8.5,3856,2008
4,9,Dennis Reynolds: An Erotic Life,8.1,3805,2008
4,10,Sweet Dee Has a Heart Attack,9,4964,2008
4,11,The Gang Cracks the Liberty Bell,7.6,4018,2008
4,12,The Gang Gets Extreme: Home Makeover Edition,8.3,3880,2008
4,13,The Nightman Cometh,9.6,11166,2008
5,1,The Gang Exploits the Mortgage Crisis,8.3,3790,2009
5,2,The Gang Hits the Road,9.1,4850,2009
5,3,The Great Recession,8,3477,2009
5,4,The Gang Gives Frank an Intervention,8.7,4193,2009
5,5,The Waitress Is Getting Married,8.8,4096,2009
5,6,The World Series Defense,8.3,3504,2009
5,7,The Gang Wrestles for the Troops,8.5,3832,2009
5,8,Paddy's Pub: Home of the Original Kitten Mittens,8.9,4234,2009
5,9,Mac and Dennis Break Up,8.5,3700,2009
5,10,The D.E.N.N.I.S. System,9.3,5713,2009
5,11,Mac and Charlie Write a Movie,8,3381,2009
5,12,The Gang Reignites the Rivalry,8.5,3544,2009
6,1,Mac Fights Gay Marriage,7.9,3484,2010
6,2,Dennis Gets Divorced,7.6,3288,2010
6,3,The Gang Buys a Boat,8.9,4342,2010
6,4,Mac's Big Break,8.1,3362,2010
6,5,Mac and Charlie: White Trash,8.2,3426,2010
6,6,Mac's Mom Burns Her House Down,7.6,3178,2010
6,7,Who Got Dee Pregnant?,9.1,4507,2010
6,8,The Gang Gets a New Member,7.7,3237,2010
6,9,Dee Reynolds: Shaping America's Youth,8.9,3586,2010
6,10,Charlie Kelly: King of the Rats,8.3,3379,2010
6,11,The Gang Gets Stranded in the Woods,8.6,3547,2010
6,12,Dee Gives Birth,8.5,3378,2010
6,13,A Very Sunny Christmas,9.2,6402,2009
7,1,Frank's Pretty Woman,8.6,4048,2011
7,2,The Gang Goes to the Jersey Shore,9.2,5122,2011
7,3,Frank Reynolds' Little Beauties,8.5,3939,2011
7,4,Sweet Dee Gets Audited,7.9,3303,2011
7,5,Frank's Brother,6.9,3855,2011
7,6,The Storm of the Century,8.3,3542,2011
7,7,CharDee MacDennis: The Game of Games,9.2,5053,2011
7,8,The ANTI-Social Network,8.3,3352,2011
7,9,The Gang Gets Trapped,8.8,4064,2011
7,10,How Mac Got Fat,7.7,3271,2011
7,11,Thunder Gun Express,8.8,3932,2011
7,12,The High School Reunion,8.2,3309,2011
7,13,The High School Reunion Part 2: The Gang's Revenge,8.5,3446,2011
