season,episode,title,rating,votes
1,1,The Boy in the Iceberg,7.9,10274
1,2,The Avatar Returns,8.1,9226
1,3,The Southern Air Temple,8.4,9027
1,4,The Warriors of Kyoshi,8,8763
1,5,The King of Omashu,8,8718
1,6,Imprisoned,7.7,8434
1,7,"The Spirit World (Winter Solstice, Part 1)",8,8226
1,8,"Avatar Roku (Winter Solstice, Part 2)",8.8,8837
1,9,The Waterbending Scroll,7.7,8044
1,10,Jet,7.6,8264
1,11,The Great Divide,6.8,8663
1,12,The Storm,9,9339
1,13,The Blue Spirit,9.1,9390
1,14,The Fortuneteller,7.6,7837
1,15,Bato of the Water Tribe,7.7,7717
1,16,The Deserter,8.4,7859
1,17,The Northern Air Temple,7.8,7620
1,18,The Waterbending Master,8.6,7910
1,19,"The Siege of the North, Part 1",9.3,9419
1,20,"The Siege of the North, Part 2",9.6,9695
2,1,The Avatar State,8.6,7841
2,2,The Cave of Two Lovers,8.1,7742
2,3,Return to Omashu,8.2,7323
2,4,The Swamp,7.5,7471
2,5,Avatar Day,7.3,7405
2,6,The Blind Bandit,9.2,9068
2,7,Zuko Alone,9.6,11711
2,8,The Chase,9,8232
2,9,Bitter Work,8.5,7512
2,10,The Library,8.7,7831
2,11,The Desert,8.7,7632
2,12,The Serpent's Pass,8.2,7172
2,13,The Drill,8.9,7778
2,14,City of Walls and Secrets,8.6,7441
2,15,The Tales of Ba Sing Se,9.3,11313
2,16,Appa's Lost Days,8.9,8219
2,17,Lake Laogai,9.1,8013
2,18,The Earth King,8.5,7152
2,19,The Guru,9,8006
2,20,The Crossroads of Destiny,9.6,10752
3,1,The Awakening,8.6,7733
3,2,The Headband,8.3,7577
3,3,The Painted Lady,7.8,7577
3,4,Sokka's Master,8.8,8064
3,5,The Beach,8.6,8356
3,6,The Avatar and the Fire Lord,9.5,10005
3,7,The Runaway,8.1,7195
3,8,The Puppetmaster,9.1,8843
3,9,Nightmares and Daydreams,7.6,7598
3,10,The Day of Black Sun,9.1,8108
3,11,"The Day of Black Sun, Part 2: The Eclipse",9.5,8970
3,12,The Western Air Temple,8.9,7909
3,13,The Firebending Masters,9.3,8997
3,14,The Boiling Rock: Part 1,8.7,7559
3,15,"The Boiling Rock, Part 2",9.3,8293
3,16,The Southern Raiders,8.9,8127
3,17,The Ember Island Players,8.5,8226
3,18,"Sozin's Comet, Part 1: The Phoenix King",9,9047
3,19,"Sozin's Comet, Part 2: The Old Masters",9.5,10363
3,20,"Sozin's Comet, Part 3: Into the Inferno",9.8,16124
3,21,"Sozin's Comet, Part 4: Avatar Aang",9.9,28640
