season,episode,title,rating,votes,episode_year
1,1,Uno,8.4,35782,2015
1,2,Mijo,8.9,33852,2015
1,3,Nacho,8.6,29300,2015
1,4,Hero,8.3,27545,2015
1,5,Alpine Shepherd Boy,8,27282,2015
1,6,Five-O,9.4,38210,2015
1,7,Bingo,8.6,25566,2015
1,8,RICO,8.6,25013,2015
1,9,Pimento,9.4,31697,2015
1,10,Marco,8.6,26389,2015
2,1,Switch,8.2,23167,2016
2,2,Cobbler,8.4,22038,2016
2,3,Amarillo,8.2,21456,2016
2,4,Gloves Off,8.9,23063,2016
2,5,Rebecca,8,22712,2016
2,6,Bali Ha'i,8.4,21003,2016
2,7,Inflatable,8.3,20724,2016
2,8,Fifi,8.3,20467,2016
2,9,Nailed,9.3,24078,2016
2,10,Klick,9,22339,2016
3,1,Mabel,8.1,21624,2017
3,2,Witness,9,22083,2017
3,3,Sunk Costs,8.4,20451,2017
3,4,Sabrosito,8.9,21816,2017
3,5,Chicanery,9.7,44076,2017
3,6,Off Brand,8.4,20118,2017
3,7,Expenses,8.2,19789,2017
3,8,Slip,8.5,19901,2017
3,9,Fall,8.8,19583,2017
3,10,Lantern,9.2,24516,2017
4,1,Smoke,8.2,20680,2018
4,2,Breathe,8.8,20027,2018
4,3,Something Beautiful,8.4,19459,2018
4,4,Talk,8.2,19491,2018
4,5,Quite a Ride,8.4,19722,2018
4,6,Piñata,8.5,19372,2018
4,7,Something Stupid,8.3,19302,2018
4,8,Coushatta,8.8,19888,2018
4,9,Wiedersehen,9.1,20603,2018
4,10,Winner,9.6,30995,2018
5,1,Magic Man,8.7,22503,2020
5,2,50% Off,8.7,21639,2020
5,3,The Guy for This,9,21933,2020
5,4,Namaste,8.5,20729,2020
5,5,Dedicado a Max,8.5,20928,2020
5,6,Wexler v. Goodman,9.3,25241,2020
5,7,JMM,9.1,23262,2020
5,8,Bagman,9.7,40454,2020
5,9,Bad Choice Road,9.7,38527,2020
5,10,Something Unforgivable,9.4,30026,2020
6,1,Wine and Roses,8.8,29736,2022
6,2,Carrot and Stick,9.1,29930,2022
6,3,Rock and Hard Place,9.7,50460,2022
6,4,Hit and Run,8.6,26862,2022
6,5,Black and Blue,8.1,26281,2022
6,6,Axe and Grind,8.2,25668,2022
6,7,Plan and Execution,9.9,88623,2022
6,8,Point and Shoot,9.8,58254,2022
6,9,Fun and Games,9.4,37169,2022
6,10,Nippy,8.5,35001,2022
6,11,Breaking Bad,9,36809,2022
6,12,Waterworks,9.4,39708,2022
6,13,Saul Gone,9.8,80931,2022
