season,episode,title,rating,votes
1,1,Magic Xylophone,7.7,1154
1,2,Hospital,7.8,964
1,3,Keepy Uppy,8.2,946
1,4,Daddy Robot,7.9,859
1,5,Shadowlands,8.3,921
1,6,The Weekend,8.1,821
1,7,BBQ,8.2,838
1,8,Fruitbat,8,827
1,9,Horsey Ride,7.4,726
1,10,Hotel,7.6,710
1,11,Bike,9.1,1025
1,12,Bob Bilby,8.2,729
1,13,Spy Game,7.4,661
1,14,Takeaway,8.8,923
1,15,Butterflies,7.9,668
1,16,Yoga Ball,8.2,688
1,17,Calypso,7.8,692
1,18,The Doctor,7.9,616
1,19,The Claw,8.4,667
1,20,Markets,7.9,624
1,21,Blue Mountains,7.5,626
1,22,The Pool,8.7,766
1,23,Shops,7.4,597
1,24,Wagon Ride,8.3,611
1,25,Taxi,8.2,604
1,26,The Beach,8.7,745
1,27,Pirates,8,578
1,28,Grannies,8.6,792
1,29,The Creek,8.9,812
1,30,Fairies,7.9,607
1,31,Work,7.6,534
1,32,Bumpy and the Wise Old Wolfhound,9.2,852
1,33,Trampoline,7.8,533
1,34,The Dump,8.4,572
1,35,Zoo,7.8,528
1,36,Backpackers,7.7,523
1,37,The Adventure,7.5,497
1,38,Copycat,8.7,658
1,39,The Sleepover,8.5,625
1,40,Early Baby,7.8,538
1,41,Mums and Dads,7.5,508
1,42,Hide and Seek,7.7,492
1,43,Camping,9.6,1852
1,44,Mount Mumandad,7.9,511
1,45,Kids,7.8,499
1,46,Chickenrat,7.4,500
1,47,Neighbours,7.7,480
1,48,Teasing,8.3,533
1,49,Asparagus,8,535
1,50,Shaun,7.6,481
1,51,Daddy Putdown,8.2,440
1,52,Verandah Santa,8.3,468
2,1,Dance Mode,8.9,827
2,2,Hammerbarn,8.6,654
2,3,Featherwand,8.1,531
2,4,Squash,8.3,563
2,5,Hairdressers,7.7,494
2,6,Stumpfest,8.4,594
2,7,Favourite Thing,8,496
2,8,Daddy Dropoff,8.6,598
2,9,Bingo,9,954
2,10,Rug Island,8.8,721
2,11,Charades,7.5,507
2,12,Sticky Gecko,8.2,538
2,13,Dad Baby,8.7,543
2,14,Mum School,7.9,469
2,15,Trains,7.7,453
2,16,Army,8.7,708
2,17,Fancy Restaurant,8.3,502
2,18,Piggyback,8,455
2,19,The Show,9,701
2,20,Tickle Crabs,7.4,460
2,21,Escape,8.8,617
2,22,Bus,8.3,515
2,23,Queens,7.5,442
2,24,Flat Pack,9.2,959
2,25,Helicopter,7.5,451
2,26,Sleepytime,9.7,10600
2,27,Grandad,9.2,817
2,28,Seesaw,8.5,526
2,29,Movies,8,536
2,30,Library,7.6,474
2,31,Barky Boats,8.3,520
2,32,Burger Shop,7.6,428
2,33,Circus,7.2,462
2,34,Swim School,7.7,478
2,35,Cafe,8.9,613
2,36,Postman,8,439
2,37,The Quiet Game,8.8,589
2,38,Mr Monkeyjocks,8.2,476
2,39,Double Babysitter,8.8,651
2,40,Bad Mood,7.7,460
2,41,Octopus,8.3,502
2,42,Bin Night,8.7,588
2,43,Muffin Cone,8.4,509
2,44,Duck Cake,8.8,564
2,45,Handstand,8.9,570
2,46,Road Trip,8.2,462
2,47,Ice Cream,8.1,499
2,48,Dunny,7.7,452
2,49,Typewriter,7.4,435
2,50,Baby Race,9.5,2500
2,51,Christmas Swim,8.6,484
2,52,Easter,8.6,443
3,1,Perfect,8.7,581
3,2,Bedroom,9.1,693
3,3,Obstacle Course,8.3,552
3,4,Promises,8.3,496
3,5,Omelette,8.4,556
3,6,Born Yesterday,8.4,553
3,7,Mini Bluey,8.8,674
3,8,Unicorse,8.5,659
3,9,Curry Quest,9,647
3,10,Magic,7.5,511
3,11,Chest,8.4,531
3,12,Sheep Dog,8.2,487
3,13,Housework,8.2,482
3,14,Pass The Parcel,9.1,789
3,15,Explorers,8.3,470
3,16,Phones,8.1,452
3,17,Pavlova,8.5,535
3,18,Rain,9.5,1340
3,19,Pizza Girls,8.2,481
3,20,Driving,7.8,422
3,21,Tina,7.1,497
3,22,Whale Watching,8.3,489
3,23,Family Meeting,8,473
3,24,Faceytalk,9,754
3,25,Ragdoll,8.3,470
3,26,Fairytale,9.4,1023
3,27,Musical Statues,8,466
3,28,Stories,7.8,477
3,29,Puppets,8.4,515
3,30,Turtleboy,9.1,675
3,31,Onesies,9.4,1131
3,32,Tradies,8.8,592
3,33,Granny Mobile,9.2,784
3,34,Space,8.7,616
3,35,Smoochy Kiss,8.3,476
3,36,Dirt,8.2,499
3,37,The Decider,8.6,577
3,38,Cubby,8.1,435
3,39,Exercise,7.9,421
3,40,Relax,8.7,485
3,41,Stickbird,9,560
3,42,Show and Tell,8,395
3,43,Dragon,9.3,823
3,44,Wild Girls,7.1,449
3,45,TV Shop,8.6,504
3,46,Slide,8.6,468
3,47,Cricket,9.6,2843
3,48,Ghostbasket,8.1,416
3,49,The Sign,9.7,5738
3,50,Surprise!,8.7,507
4,1,Bakers,7.7,92
