season,episode,title,rating,votes
1,1,"BoJack Horseman: The BoJack Horseman Story, Chapter One",7.1,9843
1,2,BoJack Hates the Troops,7.6,8798
1,3,Prickly Muffin,7.3,8053
1,4,Zoës and Zeldas,7.4,7772
1,5,"Live Fast, Diane Nguyen",7.3,7454
1,6,Our A-Story Is a 'D' Story,7.8,7468
1,7,Say Anything,7.9,7479
1,8,The Telescope,8.6,8712
1,9,Horse Majeure,7.8,7024
1,10,One Trick Pony,7.6,6915
1,11,Downer Ending,9.2,11036
1,12,Later,8.3,7510
2,1,Brand New Couch,8,6902
2,2,Yesterdayland,7.7,6468
2,3,Still Broken,7.9,6468
2,4,After the Party,7.9,6450
2,5,Chickens,7.7,6624
2,6,Higher Love,7.5,6094
2,7,Hank After Dark,8.2,6504
2,8,Let's Find Out,8.8,7904
2,9,The Shot,8.3,6452
2,10,Yes And,8.5,6768
2,11,Escape from L.A.,9.4,11844
2,12,Out to Sea,8.5,6745
3,1,Start Spreading the News,7.8,5982
3,2,The BoJack Horseman Show,8,6134
3,3,BoJack Kills,7.4,5947
3,4,Fish Out of Water,9.6,17041
3,5,Love And/Or Marriage,8.1,6061
3,6,Brrap Brrap Pew Pew,8,6356
3,7,Stop the Presses,8.3,6151
3,8,Old Acquaintance,7.8,5722
3,9,Best Thing That Ever Happened,8.5,6549
3,10,It's You,8.8,7128
3,11,"That's Too Much, Man!",9.6,14451
3,12,That Went Well,9,7783
4,1,See Mr. Peanutbutter Run,7.5,6113
4,2,The Old Sugarman Place,9.4,11833
4,3,Hooray! Todd Episode!,8.4,6529
4,4,Commence Fracking,7.6,5705
4,5,Thoughts and Prayers,8.1,6054
4,6,Stupid Piece of Sh*t,9.2,9166
4,7,Underground,8.1,6115
4,8,The Judge,7.4,5565
4,9,Ruthie,9,8162
4,10,lovin that cali lifestyle!!,8.4,6048
4,11,Time's Arrow,9.8,20157
4,12,What Time Is It Right Now,9,7009
5,1,The Light Bulb Scene,8,5894
5,2,The Dog Days Are Over,9,7784
5,3,Planned Obsolescence,7.9,5827
5,4,BoJack the Feminist,8,5769
5,5,The Amelia Earhart Story,8.4,6136
5,6,Free Churro,9.8,25307
5,7,INT. SUB,8.8,6932
5,8,Mr. Peanutbutter's Boos,8.5,6027
5,9,Ancient History,8.2,5526
5,10,Head in the Clouds,9,6656
5,11,The Showstopper,9.6,11049
5,12,The Stopped Show,9.1,6626
6,1,A Horse Walks into a Rehab,9.1,7463
6,2,The New Client,8.5,6048
6,3,Feel-Good Story,8,5677
6,4,Surprise!,9,6735
6,5,"A Little Uneven, Is All",8,5270
6,6,The Kidney Stays in the Picture,8.1,5349
6,7,The Face of Depression,9.4,8615
6,8,"A Quick One, While He's Away",8.5,5729
6,9,Intermediate Scene Study w/ BoJack Horseman,8.3,5538
6,10,Good Damage,8.9,6412
6,11,Sunk Cost and All That,8.7,5626
6,12,Xerox of a Xerox,9.3,7193
6,13,The Horny Unicorn,8.6,5572
6,14,Angela,9,6381
6,15,The View from Halfway Down,9.9,33987
6,16,Nice While It Lasted,9.6,13779
