season,episode,title,rating,votes
1,1,Pilot,7.7,7144
1,2,The Tagger,7.5,5856
1,3,The Slump,7.5,5484
1,4,M.E. Time,7.6,5301
1,5,The Vulture,7.9,5156
1,6,Halloween,8.4,5814
1,7,48 Hours,8,5058
1,8,Old School,7.6,4860
1,9,Sal's Pizza,7.5,4750
1,10,Thanksgiving,8.1,4866
1,11,Christmas,8.1,4660
1,12,Pontiac Bandit,8,4718
1,13,The Bet,8.7,5312
1,14,The Ebony Falcon,7.5,4396
1,15,Operation: Broken Feather,8,4585
1,16,The Party,8.4,4802
1,17,Full Boyle,7.8,4348
1,18,The Apartment,7.5,4229
1,19,Tactical Village,8.3,4486
1,20,Fancy Brudgom,7.5,4210
1,21,Unsolvable,8,4270
1,22,Charges and Specs,8.8,5029
2,1,Undercover,8.1,4375
2,2,Chocolate Milk,7.6,4128
2,3,The Jimmy Jab Games,8.1,4315
2,4,Halloween II,8.7,4827
2,5,The Mole,8.1,4121
2,6,Jake and Sophia,8.1,4120
2,7,Lockdown,7.7,3979
2,8,USPIS,7.7,3959
2,9,The Road Trip,8.1,4096
2,10,The Pontiac Bandit Returns,8.2,4062
2,11,Stakeout,7.7,3893
2,12,Beach House,8.2,4111
2,13,Payback,7.8,3836
2,14,Defense Rests,7.6,3801
2,15,Windbreaker City,8.1,3893
2,16,The Wednesday Incident,7.9,3810
2,17,Boyle-Linetti Wedding,8.1,3907
2,18,Captain Peralta,7.7,3772
2,19,Sabotage,7.8,3738
2,20,AC/DC,7.6,3688
2,21,Det. Dave Majors,7.8,3748
2,22,The Chopper,8.5,3905
2,23,Johnny and Dora,9,5095
3,1,New Captain,8.2,4133
3,2,The Funeral,7.6,3748
3,3,Boyle's Hunch,7.7,3666
3,4,The Oolong Slayer,8.4,3926
3,5,Halloween III,8.9,4698
3,6,Into the Woods,7.6,3639
3,7,The Mattress,7.6,3620
3,8,Ava,8.1,3709
3,9,The Swedes,7.7,3733
3,10,Yippie Kayak,8.7,4196
3,11,Hostage Situation,7.6,3567
3,12,9 Days,7.9,3814
3,13,The Cruise,8,3672
3,14,Karen Peralta,7.5,3479
3,15,The 9-8,7.9,3530
3,16,House Mouses,7.7,3402
3,17,Adrian Pimento,7.7,3512
3,18,Cheddar,7.7,3503
3,19,Terry Kitties,7.6,3344
3,20,Paranoia,8.1,3435
3,21,Maximum Security,8,3441
3,22,Bureau,8.6,3704
3,23,Greg and Larry,9,4282
4,1,"Coral Palms, Part 1",8.1,3855
4,2,"Coral Palms, Part 2",8.1,3671
4,3,"Coral Palms, Part 3",8.3,3693
4,4,The Night Shift,7.5,3507
4,5,Halloween IV,8.7,4162
4,6,Monster in the Closet,7.8,3383
4,7,Mr. Santiago,8.1,3573
4,8,Skyfire Cycle,7.6,3378
4,9,The Overmining,7.9,3342
4,10,Captain Latvia,7.5,3345
4,11,"The Fugitive, Part 1",8.3,3523
4,12,"The Fugitive, Part 2",8.4,3267
4,13,The Audit,7.6,3244
4,14,Serve & Protect,7.7,3251
4,15,The Last Ride,8.2,3361
4,16,Moo Moo,8.8,5984
4,17,Cop-Con,8.2,3296
4,18,Chasing Amy,7.9,3209
4,19,Your Honor,7.8,3148
4,20,The Slaughterhouse,7.9,3146
4,21,The Bank Job,8.4,3335
4,22,Crime & Punishment,8.5,3532
5,1,The Big House Pt. 1,8.4,3799
5,2,The Big House Pt. 2,8.3,3597
5,3,Kicks,7.8,3288
5,4,HalloVeen,9.4,6796
5,5,Bad Beat,7.8,3237
5,6,The Venue,7.6,3236
5,7,Two Turkeys,8,3330
5,8,Return to Skyfire,7.4,3226
5,9,99,8.7,4038
5,10,Game Night,8.4,4101
5,11,The Favor,7.8,3184
5,12,Safe House,8.6,3727
5,13,The Negotiation,8.2,3470
5,14,The Box,9.5,10351
5,15,The Puzzle Master,7.6,3180
5,16,NutriBoom,7.7,3166
5,17,DFW,7.7,3397
5,18,Gray Star Mutual,7.8,3124
5,19,Bachelor/ette Party,8.3,3288
5,20,Show Me Going,8.2,3503
5,21,White Whale,7.8,3063
5,22,Jake & Amy,9.1,4846
6,1,Honeymoon,8.3,4086
6,2,Hitchcock & Scully,8.7,4503
6,3,The Tattler,7.5,3402
6,4,Four Movements,7.3,3647
6,5,A Tale of Two Bandits,8,3514
6,6,The Crime Scene,8.4,3805
6,7,The Honeypot,8.3,3541
6,8,"He Said, She Said",7.1,5461
6,9,The Golden Child,8,3389
6,10,Gintars,7.3,3160
6,11,The Therapist,7.9,3234
6,12,Casecation,7.5,3518
6,13,The Bimbo,7.8,3080
6,14,Ticking Clocks,8.2,3439
6,15,Return of the King,6.4,3748
6,16,Cinco de Mayo,9,4432
6,17,Sicko,8.3,3124
6,18,Suicide Squad,8.9,3969
7,1,Manhunter,7.9,3416
7,2,Captain Kim,8.1,3283
7,3,Pimemento,8.5,3604
7,4,The Jimmy Jab Games II,7.8,3168
7,5,Debbie,7.2,3351
7,6,Trying,7.7,3115
7,7,Ding Dong,8.6,3547
7,8,The Takeback,8.1,3167
7,9,Dillman,8.6,3313
7,10,Admiral Peralta,7.8,2955
7,11,Valloweaster,8.1,3235
7,12,Ransom,8.6,3387
7,13,Lights Out,9.1,4599
8,1,The Good Ones,4.9,9627
8,2,The Lake House,7.6,3862
8,3,Blue Flu,7,3578
8,4,Balancing,7.5,3248
8,5,PB&J,7.8,3433
8,6,The Set Up,6.7,3563
8,7,Game of Boyles,7.9,3216
8,8,Renewal,7.9,2979
8,9,The Last Day Pt 1,9.2,4655
8,10,The Last Day Pt 2,9.4,6185
