season,episode,title,rating,votes,episode_year
1,1,Ambush,7.3,7872,2008
1,2,Rising Malevolence,7.3,6911,2008
1,3,Shadow of Malevolence,7.3,6461,2008
1,4,Destroy Malevolence,7.4,6302,2008
1,5,Rookies,7.9,6879,2008
1,6,Downfall of a Droid,6.5,5858,2008
1,7,Duel of the Droids,7.1,5810,2008
1,8,Bombad Jedi,6,5905,2008
1,9,Cloak of Darkness,7.9,5930,2008
1,10,Lair of Grievous,8.1,6098,2008
1,11,Dooku Captured,7.3,5512,2009
1,12,The Gungan General,6.9,5359,2009
1,13,Jedi Crash,7.3,5353,2009
1,14,Defenders of Peace,7.4,5302,2009
1,15,Trespass,7.5,5364,2009
1,16,The Hidden Enemy,7.6,5521,2009
1,17,Blue Shadow Virus,6.6,5099,2009
1,18,Mystery of a Thousand Moons,6.9,4981,2009
1,19,Storm Over Ryloth,7.6,5208,2009
1,20,Innocents of Ryloth,7.9,5366,2009
1,21,Liberty on Ryloth,7.6,5093,2009
1,22,Hostage Crisis,7.8,5203,2009
2,1,Holocron Heist,7.8,5126,2009
2,2,Cargo of Doom,8,5044,2009
2,3,Children of the Force,7.6,4883,2009
2,4,Senate Spy,6.8,4703,2009
2,5,Landing at Point Rain,8.2,5373,2009
2,6,Weapons Factory,7.8,4914,2009
2,7,Legacy of Terror,7.6,4805,2009
2,8,Brain Invaders,8,4936,2009
2,9,Grievous Intrigue,7.8,4619,2010
2,10,The Deserter,8.1,4893,2010
2,11,Lightsaber Lost,7.5,4697,2010
2,12,The Mandalore Plot,8,4989,2010
2,13,Voyage of Temptation,8.1,4945,2010
2,14,Duchess of Mandalore,7.6,4667,2010
2,15,Senate Murders,6.7,4313,2010
2,16,Cat and Mouse,7.5,4891,2010
2,17,Bounty Hunters,7.5,4525,2010
2,18,The Zillo Beast,7.3,4473,2010
2,19,The Zillo Beast Strikes Back,7.6,4503,2010
2,20,Death Trap,7.7,4501,2010
2,21,R2 Come Home,7.5,4396,2010
2,22,Lethal Trackdown,7.9,4457,2010
3,1,Clone Cadets,7.8,5508,2010
3,2,ARC Troopers,8.6,5400,2010
3,3,Supply Lines,6.9,4635,2010
3,4,Sphere of Influence,6.9,4169,2010
3,5,Corruption,6.6,4312,2010
3,6,The Academy,6.9,4273,2010
3,7,Assassin,7.5,4284,2010
3,8,Evil Plans,6.1,4174,2010
3,9,Hunt for Ziro,7,4238,2010
3,10,Heroes on Both Sides,7.5,4346,2010
3,11,Pursuit of Peace,7.1,4189,2010
3,12,Nightsisters,8.6,5201,2011
3,13,Monster,8.7,5187,2011
3,14,Witches of the Mist,8.9,5295,2011
3,15,Overlords,8.9,5907,2011
3,16,Altar of Mortis,8.6,5433,2011
3,17,Ghosts of Mortis,8.9,5889,2011
3,18,The Citadel,8.1,4559,2011
3,19,Counter Attack,8,4410,2011
3,20,Citadel Rescue,8.2,4452,2011
3,21,Padawan Lost,7.6,4246,2011
3,22,Wookiee Hunt,7.9,4297,2011
4,1,Water War,7,4168,2011
4,2,Gungan Attack,7,4046,2011
4,3,Prisoners,7.1,4005,2011
4,4,Shadow Warrior,7.1,3933,2011
4,5,Mercy Mission,6.1,3945,2011
4,6,Nomad Droids,6.2,3915,2011
4,7,Darkness on Umbara,8.5,5319,2011
4,8,The General,8.6,5269,2011
4,9,Plan of Dissent,8.8,5286,2011
4,10,Carnage of Krell,9.4,6707,2011
4,11,Kidnapped,7.6,4051,2011
4,12,Slaves of the Republic,7.8,4114,2011
4,13,Escape from Kadavo,8.1,4147,2012
4,14,A Friend in Need,7.9,4155,2012
4,15,Deception,8.3,4390,2012
4,16,Friends and Enemies,8.3,4312,2012
4,17,The Box,8.7,4799,2012
4,18,Crisis on Naboo,8.3,4281,2012
4,19,Massacre,8.1,4385,2012
4,20,Bounty,8.2,4348,2012
4,21,Brothers,8.2,4642,2012
4,22,Revenge,9.1,5513,2012
5,1,Revival,8.8,5252,2012
5,2,A War on Two Fronts,7.3,4019,2012
5,3,Front Runners,7.3,3934,2012
5,4,The Soft War,7.4,3906,2012
5,5,Tipping Points,7.9,4027,2012
5,6,The Gathering,7.8,4191,2012
5,7,A Test of Strength,7.6,3959,2012
5,8,Bound for Rescue,7.3,3868,2012
5,9,A Necessary Bond,7.9,3973,2012
5,10,Secret Weapons,6.3,3877,2012
5,11,A Sunny Day in the Void,6,3973,2012
5,12,Missing in Action,7.2,3931,2013
5,13,Point of No Return,7,3758,2013
5,14,Eminence,8.8,5228,2013
5,15,Shades of Reason,9.1,5686,2013
5,16,The Lawless,9.7,8661,2013
5,17,Sabotage,8.1,4763,2013
5,18,The Jedi Who Knew Too Much,9.1,5761,2013
5,19,To Catch a Jedi,9.1,5568,2013
5,20,The Wrong Jedi,9.7,9942,2013
6,1,The Unknown,8.2,4567,2014
6,2,Conspiracy,8.2,4499,2014
6,3,Fugitive,8.4,4519,2014
6,4,Orders,9,5446,2014
6,5,An Old Friend,7,3755,2014
6,6,The Rise of Clovis,7.2,3760,2014
6,7,Crisis at the Heart,7.4,3744,2014
6,8,The Disappeared: Part 1,6.4,3690,2014
6,9,The Disappeared: Part 2,6.6,3662,2014
6,10,The Lost One,8.6,4444,2014
6,11,Voices,8.8,4827,2014
6,12,Destiny,8.7,4690,2014
6,13,Sacrifice,9.2,5485,2014
7,1,The Bad Batch,8.2,6568,2020
7,2,A Distant Echo,8.1,5952,2020
7,3,On the Wings of Keeradaks,7.7,5739,2020
7,4,Unfinished Business,8.5,6048,2020
7,5,Gone with a Trace,6.4,6034,2020
7,6,Deal No Deal,6.1,5934,2020
7,7,Dangerous Debt,6,5966,2020
7,8,Together Again,7,5692,2020
7,9,Old Friends Not Forgotten,9.7,16406,2020
7,10,The Phantom Apprentice,9.8,21633,2020
7,11,Shattered,9.8,19817,2020
7,12,Victory and Death,9.9,25293,2020
