season,episode,title,rating,votes
1,1,Wolferton Splash,8.2,7871
1,2,Hyde Park Corner,8.9,7894
1,3,Windsor,8.1,6209
1,4,Act of God,8.6,6395
1,5,Smoke and Mirrors,8.5,5995
1,6,Gelignite,8,5509
1,7,Scientia Potentia Est,8.7,5888
1,8,Pride & Joy,8.3,5427
1,9,Assassins,9,6717
1,10,Gloriana,8.5,5398
2,1,Misadventure,8.1,5040
2,2,A Company of Men,8.1,4876
2,3,Lisbon,8.3,4793
2,4,Beryl,8.5,5469
2,5,Marionettes,8.9,5493
2,6,Vergangenheit,9.1,5957
2,7,Matrimonium,8.1,4770
2,8,Dear Mrs. Kennedy,9.1,6281
2,9,Paterfamilias,8.7,5609
2,10,Mystery Man,8.3,4690
3,1,Olding,7.9,5559
3,2,Margaretology,8.4,5283
3,3,Aberfan,9.3,7943
3,4,Bubbikins,8.6,5530
3,5,Coup,8,4788
3,6,Tywysog Cymru,9.1,6611
3,7,Moondust,8.1,5458
3,8,Dangling Man,8.1,4483
3,9,Imbroglio,8,4145
3,10,Cri de Coeur,8.2,4348
4,1,Gold Stick,8.4,4922
4,2,The Balmoral Test,8.6,4874
4,3,Fairytale,8.7,4809
4,4,Favourites,8.2,4401
4,5,Fagan,8.5,4745
4,6,Terra Nullius,8.8,4779
4,7,The Hereditary Principle,8.2,4309
4,8,48:1,8.5,4199
4,9,Avalanche,8.2,3934
4,10,War,8.7,4318
5,1,Queen Victoria Syndrome,7.4,4200
5,2,The System,7.6,3617
5,3,Mou Mou,8.4,4566
5,4,Annus Horribilis,7.9,3560
5,5,The Way Ahead,7.6,3322
5,6,Ipatiev House,7.9,3476
5,7,No Woman's Land,7.5,3090
5,8,Gunpowder,8.2,3249
5,9,Couple 31,7.8,3047
5,10,Decommissioned,7.3,3060
6,1,Persona Non Grata,7.8,3146
6,2,Two Photographs,7.8,2944
6,3,Dis-Moi Oui,8.1,3304
6,4,Aftermath,8.2,3525
6,5,Willsmania,7.6,2804
6,6,Ruritania,7.4,2635
6,7,Alma Mater,7.4,2598
6,8,Ritz,8.6,3500
6,9,Hope Street,8,2469
6,10,"Sleep, Dearie Sleep",9,4114
