season,episode,title,rating,votes
1,1,Rebirth,8.4,11476
1,2,Confrontation,9,11419
1,3,Dealings,8.4,8913
1,4,Pursuit,8.8,9183
1,5,Tactics,8.5,8695
1,6,Unraveling,8.2,8274
1,7,Overcast,9.2,11289
1,8,Glare,8.4,8024
1,9,Encounter,8.6,8179
1,10,Doubt,8.2,7768
1,11,Assault,8.7,8179
1,12,Love,8.3,7569
1,13,Confession,8.3,7467
1,14,Friend,8.2,7381
1,15,Wager,8.9,8442
1,16,Decision,8.3,7327
1,17,Execution,8,7312
1,18,Ally,7.3,7131
1,19,Matsuda,7.6,7074
1,20,Makeshift,7.3,6982
1,21,Performance,7.8,6929
1,22,Guidance,8.2,6998
1,23,Frenzy,8.9,8076
1,24,Revival,9.4,11484
1,25,Silence,9.6,17103
1,26,Renewal,7,8647
1,27,Abduction,7.2,6695
1,28,Impatience,7.3,6530
1,29,Father,8,8932
1,30,Justice,7.6,6402
1,31,Transfer,7.6,6435
1,32,Selection,7.8,6530
1,33,Scorn,7.1,6377
1,34,Vigilance,7.2,6278
1,35,Malice,8,6619
1,36,1.28,9,8966
1,37,New World,8.8,11443
