season,episode,title,rating,votes
1,1,Death Has a Shadow,7.6,5494
1,2,I Never Met the Dead Man,7.4,4242
1,3,Chitty Chitty Death Bang,7.5,3982
1,4,Mind Over Murder,7.4,3743
1,5,A Hero Sits Next Door,7.4,3627
1,6,The Son Also Draws,7.1,3481
1,7,Brian: Portrait of a Dog,7.4,3513
2,1,"Peter, Peter, Caviar Eater",7.5,3336
2,2,Holy Crap,7.2,3131
2,3,Da Boom,8.1,3766
2,4,Brian in Love,7.4,3047
2,5,Love Thy Trophy,7.6,3033
2,6,Death Is a Bitch,8.2,3476
2,7,The King Is Dead,7.2,2858
2,8,"I Am Peter, Hear Me Roar",8,3135
2,9,"If I'm Dyin', I'm Lyin'",7.2,2775
2,10,Running Mates,7.3,2746
2,11,A Picture Is Worth a Thousand Bucks,7,2746
2,12,Fifteen Minutes of Shame,7.5,2724
2,13,Road to Rhode Island,8.1,3253
2,14,Let's Go to the Hop,7.7,2733
2,15,Dammit Janet!,7.3,2604
2,16,There's Something About Paulie,6.9,2718
2,17,He's Too Sexy for His Fat,7.7,2689
2,18,E. Peterbus Unum,8.1,2873
2,19,The Story on Page One,7.3,2479
2,20,Wasted Talent,8,2783
2,21,Fore Father,7.1,2443
3,1,The Thin White Line,8,2812
3,2,Brian Does Hollywood,7.6,2591
3,3,Mr. Griffin Goes to Washington,7.5,2470
3,4,"One If by Clam, Two If by Sea",7.5,2496
3,5,And the Wiener Is...,7.6,2463
3,6,Death Lives,8,2578
3,7,Lethal Weapons,7.3,2551
3,8,The Kiss Seen Round the World,6.7,2538
3,9,Mr. Saturday Knight,7.3,2391
3,10,A Fish Out of Water,7.1,2481
3,11,Emission Impossible,8.1,2618
3,12,To Love and Die in Dixie,8.1,2711
3,13,Screwed the Pooch,7.3,2302
3,14,"Peter Griffin: Husband, Father... Brother?",7.6,2330
3,15,"Ready, Willing and Disabled",7.5,2279
3,16,A Very Special Family Guy Freakin' Christmas,7.6,2480
3,17,Brian Wallows and Peter's Swallows,7.5,2473
3,18,From Method to Madness,7.4,2277
3,19,"Stuck Together, Torn Apart",7.6,2239
3,20,Road to Europe,7.8,2433
3,21,Family Guy Viewer Mail #1,7.4,2348
3,22,When You Wish Upon a Weinstein,7.3,2335
4,1,North by North Quahog,7.7,2659
4,2,Fast Times at Buddy Cianci Jr. High,7.5,2391
4,3,Blind Ambition,7.5,2318
4,4,Don't Make Me Over,7.4,2367
4,5,The Cleveland-Loretta Quagmire,7.6,2382
4,6,Petarded,8.2,2989
4,7,Brian the Bachelor,7.4,2271
4,8,8 Simple Rules for Buying My Teenage Daughter,7.5,2289
4,9,Breaking Out Is Hard to Do,7.6,2240
4,10,Model Misbehavior,7.2,2165
4,11,Peter's Got Woods,7.5,2294
4,12,The Perfect Castaway,7.6,2219
4,13,Jungle Love,7.2,2154
4,14,PTV,8.5,3430
4,15,Brian Goes Back to College,7.6,2206
4,16,The Courtship of Stewie's Father,7.7,2201
4,17,Fat Guy Strangler,8,2509
4,18,"The Father, the Son and the Holy Fonz",7.2,2159
4,19,Brian Sings and Swings,7.2,2143
4,20,Patriot Games,7.7,2450
4,21,"I Take Thee, Quagmire",7.5,2147
4,22,Sibling Rivalry,7.5,2135
4,23,Deep Throats,7.4,2109
4,24,Peterotica,7.5,2114
4,25,You May Now Kiss the... Uh... Guy Who Receives,7.1,2106
4,26,Petergeist,7.8,2325
4,27,Untitled Griffin Family History,7.7,2180
4,28,Stewie B. Goode,7.6,1931
4,29,Bango Was His Name Oh!,7.6,1915
4,30,Stu & Stewie's Excellent Adventure,7.8,2041
5,1,Stewie Loves Lois,8.2,2648
5,2,Mother Tucker,7.4,2161
5,3,Hell Comes to Quahog,7.5,2113
5,4,Saving Private Brian,7.6,2274
5,5,Whistle While Your Wife Works,7.6,2108
5,6,Prick Up Your Ears,7.3,2054
5,7,Chick Cancer,7.4,2089
5,8,Barely Legal,7.8,2274
5,9,Road to Rupert,7.9,2266
5,10,Peter's Two Dads,7.6,2141
5,11,The Tan Aquatic with Steve Zissou,7.6,2053
5,12,Airport '07,7.7,2143
5,13,Bill & Peter's Bogus Journey,7.2,2018
5,14,No Meals on Wheels,7.2,1945
5,15,Boys Do Cry,7.3,1955
5,16,No Chris Left Behind,7.3,1987
5,17,"It Takes a Village Idiot, and I Married One",7.5,1962
5,18,Meet the Quagmires,8.4,2828
6,1,Blue Harvest,8.2,8752
6,2,Movin' Out (Brian's Song),7.2,2063
6,3,"Believe It or Not, Joe's Walking on Air",7.4,2085
6,4,Stewie Kills Lois,8.3,2915
6,5,Lois Kills Stewie,8.4,2872
6,6,Padre de Familia,6.9,2018
6,7,Peter's Daughter,7.3,1998
6,8,McStroke,7.6,2207
6,9,Back to the Woods,7.4,2067
6,10,"Play It Again, Brian",7.2,1967
6,11,The Former Life of Brian,6.8,1938
6,12,Long John Peter,7.5,2059
7,1,Love Blactually,6.8,2151
7,2,I Dream of Jesus,8,2947
7,3,Road to Germany,8.1,2709
7,4,Baby Not on Board,7.5,2114
7,5,The Man with Two Brians,7.6,2075
7,6,Tales of a Third Grade Nothing,7.1,2157
7,7,Ocean's Three and a Half,7.6,2108
7,8,Family Gay,7.4,2231
7,9,The Juice Is Loose!,6.4,2031
7,10,FOX-y Lady,6.8,1924
7,11,Not All Dogs Go to Heaven,7.6,2377
7,12,420,7.6,2222
7,13,Stew-Roids,7.9,2255
7,14,We Love You Conrad,7.3,1942
7,15,Three Kings,8.1,2476
7,16,Peter's Progress,7.1,1947
8,1,Road to the Multiverse,9.1,5441
8,2,Family Goy,7.1,2075
