season,episode,title,rating,votes,episode_year
1,1,Space Pilot 3000,8.6,5793,1999
1,2,The Series Has Landed,8,4611,1999
1,3,"I, Roommate",8.2,4467,1999
1,4,Love's Labours Lost in Space,8,4207,1999
1,5,Fear of a Bot Planet,7.8,3984,1999
1,6,A Fishful of Dollars,8.2,4088,1999
1,7,My Three Suns,7.7,3871,1999
1,8,A Big Piece of Garbage,8,3838,1999
1,9,Hell Is Other Robots,8.1,3948,1999
2,1,A Flight to Remember,8.2,3818,1999
2,2,Mars University,7.7,3602,1999
2,3,When Aliens Attack,8,3477,1999
2,4,Fry and the Slurm Factory,8.3,3823,1999
2,5,I Second That Emotion,7.6,3348,1999
2,6,"Brannigan, Begin Again",7.8,3337,1999
2,7,A Head in the Polls,7.6,3243,1999
2,8,Xmas Story,8.1,3498,1999
2,9,Why Must I Be a Crustacean in Love?,8,3319,2000
2,10,Put Your Head on My Shoulders,7.5,3106,2000
2,11,The Lesser of Two Evils,7.6,3071,2000
2,12,Raging Bender,7.6,3017,2000
2,13,A Bicyclops Built for Two,8,3219,2000
2,14,How Hermes Requisitioned His Groove Back,8,3133,2000
2,15,A Clone of My Own,7.5,2980,2000
2,16,The Deep South,7.8,3110,2000
2,17,Bender Gets Made,7.6,2965,2000
2,18,The Problem with Popplers,8.5,3319,2000
2,19,Mother's Day,7.8,2948,2000
2,20,Anthology of Interest I,8.5,3337,2000
3,1,The Honking,7.5,3036,2000
3,2,War Is the H-Word,8.4,3242,2000
3,3,The Cryonic Woman,7.4,2904,2000
3,4,Parasites Lost,9,3780,2001
3,5,Amazon Women in the Mood,8.6,3719,2001
3,6,Bendless Love,7.3,2782,2001
3,7,The Day the Earth Stood Stupid,8.5,3106,2001
3,8,That's Lobstertainment!,7.1,2795,2001
3,9,The Birdbot of Ice-Catraz,7.5,2734,2001
3,10,The Luck of the Fryrish,9.4,6104,2001
3,11,The Cyber House Rules,7.7,2807,2001
3,12,Insane in the Mainframe,8.1,2928,2001
3,13,Bendin' in the Wind,7.3,2816,2001
3,14,Time Keeps on Slipping,8.3,3092,2001
3,15,I Dated a Robot,7.6,2808,2001
4,1,Roswell That Ends Well,9.1,3948,2001
4,2,A Tale of Two Santas,7.7,2752,2001
4,3,Anthology of Interest II,8.2,2893,2002
4,4,Love and Rocket,7.7,2742,2002
4,5,Leela's Homeworld,8.7,3286,2002
4,6,Where the Buggalo Roam,7.5,2642,2002
4,7,A Pharaoh to Remember,7.6,2723,2002
4,8,Godfellas,8.9,3894,2002
