season,episode,title,rating,votes
1,1,Winter Is Coming,8.9,80513
1,2,The Kingsroad,8.6,61136
1,3,Lord Snow,8.5,57942
1,4,"Cripples, Bastards, and Broken Things",8.6,55286
1,5,The Wolf and the Lion,9,58199
1,6,A Golden Crown,9.1,57203
1,7,You Win or You Die,9.2,57970
1,8,The Pointy End,8.9,54101
1,9,Baelor,9.6,79269
1,10,Fire and Blood,9.4,66700
2,1,The North Remembers,8.6,49937
2,2,The Night Lands,8.3,47526
2,3,What Is Dead May Never Die,8.6,46962
2,4,Garden of Bones,8.6,45920
2,5,The Ghost of Harrenhal,8.6,46122
2,6,The Old Gods and the New,8.9,48026
2,7,A Man Without Honor,8.8,46489
2,8,The Prince of Winterfell,8.6,45704
2,9,Blackwater,9.7,86570
2,10,Valar Morghulis,9.3,56274
3,1,Valar Dohaeris,8.6,48001
3,2,"Dark Wings, Dark Words",8.4,44889
3,3,Walk of Punishment,8.7,45449
3,4,And Now His Watch Is Ended,9.5,62711
3,5,Kissed by Fire,8.9,47693
3,6,The Climb,8.7,46217
3,7,The Bear and the Maiden Fair,8.6,44746
3,8,Second Sons,8.9,46070
3,9,The Rains of Castamere,9.9,185446
3,10,Mhysa,9.1,52431
4,1,Two Swords,9,54936
4,2,The Lion and the Rose,9.7,89780
4,3,Breaker of Chains,8.8,48269
4,4,Oathkeeper,8.7,46641
4,5,First of His Name,8.6,45995
4,6,The Laws of Gods and Men,9.7,92678
4,7,Mockingbird,9,50776
4,8,The Mountain and the Viper,9.7,90072
4,9,The Watchers on the Wall,9.6,82425
4,10,The Children,9.7,81112
5,1,The Wars to Come,8.3,47285
5,2,The House of Black and White,8.3,43932
5,3,High Sparrow,8.3,42850
5,4,Sons of the Harpy,8.5,43792
5,5,Kill the Boy,8.5,43979
5,6,"Unbowed, Unbent, Unbroken",7.9,51307
5,7,The Gift,8.8,46449
5,8,Hardhome,9.8,144608
5,9,The Dance of Dragons,9.4,66759
5,10,Mother's Mercy,9.2,65416
6,1,The Red Woman,8.4,57743
6,2,Home,9.2,66765
6,3,Oathbreaker,8.6,52223
6,4,Book of the Stranger,9,56947
6,5,The Door,9.7,109749
6,6,Blood of My Blood,8.3,51138
6,7,The Broken Man,8.5,50438
6,8,No One,8.3,55150
6,9,Battle of the Bastards,9.9,312219
6,10,The Winds of Winter,9.9,230750
7,1,Dragonstone,8.5,69167
7,2,Stormborn,8.7,62238
7,3,The Queen's Justice,9.1,66095
7,4,The Spoils of War,9.7,125990
7,5,Eastwatch,8.6,61975
7,6,Beyond the Wall,9,88486
7,7,The Dragon and the Wolf,9.4,90108
8,1,Winterfell,7.6,160384
8,2,A Knight of the Seven Kingdoms,7.9,160362
8,3,The Long Night,7.5,255935
8,4,The Last of the Starks,5.5,195515
8,5,The Bells,5.9,227432
8,6,The Iron Throne,4,306069
