season,episode,title,rating,votes,episode_year
1,1,Tourist Trapped,8.2,6388,2012
1,2,The Legend of the Gobblewonker,7.7,5806,2012
1,3,Headhunters,7.9,5501,2012
1,4,The Hand That Rocks the Mabel,7.6,5271,2012
1,5,The Inconveniencing,8.5,5402,2012
1,6,Dipper vs. Manliness,7.7,5157,2012
1,7,Double Dipper,8.6,5318,2012
1,8,Irrational Treasure,8.1,4968,2012
1,9,The Time Traveler's Pig,9,5485,2012
1,10,Fight Fighters,8.5,5064,2012
1,11,Little Dipper,7.8,4725,2012
1,12,Summerween,8.6,5111,2012
1,13,Boss Mabel,7.7,4701,2012
1,14,Bottomless Pit!,8,4729,2012
1,15,The Deep End,7.6,4686,2012
1,16,Carpet Diem,8.5,4694,2012
1,17,Boyz Crazy,7.2,4724,2012
1,18,Land Before Swine,8.3,4604,2012
1,19,Dreamscaperers,9.3,5515,2012
1,20,Gideon Rises,9.3,5444,2012
2,1,Scary-oke,8.8,5060,2014
2,2,Into the Bunker,9.3,5414,2014
2,3,The Golf War,8.1,4707,2014
2,4,Sock Opera,8.7,4975,2014
2,5,Soos and the Real Girl,8.6,4846,2014
2,6,Little Gift Shop of Horrors,7.7,4526,2014
2,7,Society of the Blind Eye,9.2,5217,2014
2,8,Blendin's Game,9,4901,2014
2,9,The Love God,7.5,4502,2014
2,10,Northwest Mansion Mystery,9.2,5699,2015
2,11,Not What He Seems,9.8,11091,2015
2,12,A Tale of Two Stans,9.6,6748,2015
2,13,"Dungeons, Dungeons, and More Dungeons",8.3,4566,2015
2,14,The Stanchurian Candidate,8,4370,2015
2,15,The Last Mabelcorn,8.8,4738,2015
2,16,Roadside Attraction,7.8,4478,2015
2,17,Dipper and Mabel vs. the Future,9.3,5426,2015
2,18,Weirdmageddon Part 1,9.5,6029,2015
2,19,Weirdmageddon 2: Escape from Reality,9.4,5626,2015
2,20,Weirdmageddon 3: Take Back the Falls,9.7,11323,2016
2,21,Weirdmageddon 4: Somewhere in the Woods,9.8,8133,2016
