season,episode,title,rating,votes
1,1,Apéritif,8.3,11893
1,2,Amuse-Bouche,8.1,10012
1,3,Potage,8.1,9327
1,4,Oeuf,7.7,8485
1,5,Coquilles,7.9,8632
1,6,Entrée,8.5,8431
1,7,Sorbet,8.6,8606
1,8,Fromage,9,9130
1,9,Trou Normand,8.2,7965
1,10,Buffet Froid,8.7,8327
1,11,Rôti,8.5,7865
1,12,Relevés,8.8,8008
1,13,Savoureux,9.2,9711
2,1,Kaiseki,8.8,8608
2,2,Sakizuke,9,8338
2,3,Hassun,8.6,7777
2,4,Takiawase,9.2,8540
2,5,Mukozuke,9.2,8612
2,6,Futamono,9.2,8455
2,7,Yakimono,9.2,8288
2,8,Su-zakana,8.3,7460
2,9,Shiizakana,8.5,7371
2,10,Naka-Choko,8.8,7734
2,11,Ko no Mono,8.9,7624
2,12,Tome-wan,9.2,8441
2,13,Mizumono,9.8,27790
3,1,Antipasto,8.1,8282
3,2,Primavera,7.9,7245
3,3,Secondo,7.9,6709
3,4,Aperitivo,7.8,6545
3,5,Contorno,9,7510
3,6,Dolce,8.6,6662
3,7,Digestivo,9.3,8358
3,8,The Great Red Dragon,8.4,5998
3,9,...And the Woman Clothed with the Sun,8.2,5670
3,10,...And the Woman Clothed in Sun,8.4,5721
3,11,...And the Beast from the Sea,8.5,5717
3,12,The Number of the Beast Is 666,8.8,6198
3,13,The Wrath of the Lamb,9.7,18131
